[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉欣,嘅,飯盒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-jan1,ge3,faan6-hap2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine,’s,lunch box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,鈴,、,鈴,、,鈴,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ling1,#,ling1,#,ling1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ring,#,ring,#,ring,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,到,午餐,時間,喇,！,每,個,小朋友,都,拎,飯盒,出嚟,，,放,喺,枱,上面,。,每,個,飯盒,都,有,唔同,嘅,顏色,，,唔同,嘅,圖案,，,又,紅,又,綠,，,又,有,花花,又,有,熊仔,，,一齊,放,喺,枱,上面,，,七彩繽紛,，,真係,好,靚,啊,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau6,dou3,ng5-caan1,si4-gaan3,laa3,#,mui5,go3,siu2-pang4-jau5,dou1,ling1,faan6-hap2,ceot1-lai4,#,fong3,hai2,toi2,soeng6-min6,#,mui5,go3,faan6-hap2,dou1,jau5,m4-tung4,ge3,ngaan4-sik1,#,m4-tung4,ge3,tou4-on3,#,jau6,hung4,jau6,luk6,#,jau6,jau5,faa1-faa1,jau6,jau5,hung4-zai2,#,jat1-cai4,fong3,hai2,toi2,soeng6-min6,#,cat1-coi2-ban1-fan1,#,zan1-hai6,hou2,leng3,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again,arrive,lunch,time,(particle),#,every,(measure),child,"all, also",take,lunch box,out,#,to put,at,table,on top of,#,every,(measure),lunch box,"all, also",have,different,(linker),colour,#,different,(linker),pattern,#,also,red,also,green,#,also,have,flower,also,have,little bear,#,together,put,at,table,on top of,#,colourful,#,really,very,beautiful,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咦,？,當,大家,都,開開心心,準備,食飯,嘅,時候,，,最,細粒,嘅,嘉欣,反而,郁都唔郁,，,仲,嬲爆爆,噉,望住,自己,個,飯盒,。,究竟,點解,呢,？,唔通,佢,唔,肚餓,？,定係,啱啱,同,朋友,鬧交,，,所以,冇,胃口,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji2,#,dong1,daai6-gaa1,dou1,hoi1-hoi1-sam1-sam1,zeon2-bei6,sik6-faan6,ge3,si4-hau6,#,zeoi3,sai3-nap1,ge3,gaa1-jan1,faan2-ji4,juk1-dou1-m4-juk1,#,zung6,nau1-baau3-baau3,gam2,mong6-zyu6,zi6-gei2,go3,faan6-hap2,#,gau3-ging2,dim2-gaai2,ne1,#,m4-tung1,keoi5,m4,tou5-ngo6,#,ding6-hai6,ngaam1-ngaam1,tung4,pang4-jau5,naau6-gaau1,#,so2-ji5,mou5,wai6-hau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
look!,#,when,everyone,"all, also",happily,get ready,to have meal,(linker),time,#,most,small,(linker),Katherine,on the contrary,not moving,#,even,grumpy,-ly,staring,oneself,(measure),lunch box,#,exactly,why,(particle),#,could it be,she,not,hungry,#,or,just now,with,friend,argue,#,therefore,don't have,appetite,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉欣,乸,住,塊,面,，,嘴,都,扁,埋,噉,，,慢慢,用,食指,撂,起,個,飯盒,蓋,，,極速,𥊙,咗,裏面,一眼,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-jan1,naa2,zyu6,faai3,min6,#,zeoi2,dou1,bin2,maai4,gam2,#,maan6-maan2,jung6,sik6-zi2,liu1,hei2,go3,faan6-hap2,goi3,#,gik6-cuk1,zong1,zo2,leoi5-min6,jat1-ngaan5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
