[0],,,,,,,,,,,,,,,,,,,,,,,
買,嘢,,,,,,,,,,,,,,,,,,,,,,
maai5,je5,,,,,,,,,,,,,,,,,,,,,,
to buy,thing,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,
爸爸,同埋,哥哥,、,細妹,落,街,。,兩個,小朋友,都,話,想,買,嘢食,。,,,,,,,,
baa4-baa1,tung4-maai4,go4-go1,#,sai3-mui2,lok6,gaai1,#,loeng5-go3,siu2-pang4-jau5,dou1,waa6,soeng2,maai5,je5-sik6,#,,,,,,,,
father,and,elder brother,#,younger sister,to go down,street,#,two,child,"all, also",to say,to want,to buy,food,#,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,
爸爸,同,佢哋,講,：,「,我,一,人,俾,二十,蚊,你哋,，,去,揾,你哋,鍾意,嘅,嘢,啦,！,」,
baa4-baa1,tung4,keoi5-dei6,gong2,#,#,ngo5,jat1,jan4,bei2,ji6-sap6,man1,nei5-dei6,#,heoi3,wan2,nei5-dei6,zung1-ji3,ge3,je5,laa1,#,#,
father,with,they,to say,#,#,I,one,person,to give,twenty,dollar,you (plural),#,to go,to find,you (plural),to like,(linker),thing,(particle),#,#,
[2],,,,,,,,,,,,,,,,,,,,,,,
哥哥,好,鍾意,朱古力,，,佢,用,晒,二十,蚊,買,咗,四,包,。,,,,,,,,,
go4-go1,hou2,zung1-ji3,zyu1-gu1-lik1,#,keoi5,jung6,saai3,ji6-sap6,man1,maai5,zo2,sei3,baau1,#,,,,,,,,,
elder brother,very,to like,chocolate,#,he,to use,all,twenty,dollar,to buy,-en,four,pack,#,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,
細妹,好,鍾意,食,包,，,佢,嘅,錢,買,到,五,個,菠蘿包,。,,,,,,,,,
sai3-mui2,hou2,zung1-ji3,sik6,baau1,#,keoi5,ge3,cin2,maai5,dou2,ng5,go3,bo1-lo4-baau1,#,,,,,,,,,
younger sister,very,to like,to eat,bread,#,she,’s,money,to buy,can,five,(measure),pineapple bun,#,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,
睇到,啲,包,，,佢,喺度,諗,：,「,不如,都,係,要,一個,，,我,食,唔到,好多,。,」,,,
tai2-dou2,di1,baau1,#,keoi5,hai2-dou6,nam2,#,#,bat1-jyu4,dou1,hai6,jiu3,jat1-go3,#,ngo5,sik6,m4-dou2,hou2-do1,#,#,,,
to see,some,bread,#,she,right here,to think,#,#,how about,"all, also",is,to want,one,#,I,to eat,cannot,many,#,#,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,
行,多,一陣,，,哥哥,見到,啲,好,靚,嘅,紙,，,佢,好,想,要,嚟,畫,嘢,。,,,,
haang4,do1,jat1-zan6,#,go4-go1,gin3-dou2,di1,hou2,leng3,ge3,zi2,#,keoi5,hou2,soeng2,jiu3,lai4,waak6,je5,#,,,,
to walk,more,a while,#,elder brother,to see,some,very,beautiful,(linker),paper,#,he,very,to want,to want,for,drawing,thing,#,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,
「,哎吔,，,冇,錢,喇,，,我,用,咗,啲,錢,買,嘢食,。,」,,,,,,,,
#,ai1-jaa3,#,mou5,cin2,laa3,#,ngo5,jung6,zo2,di1,cin2,maai5,je5-sik6,#,#,,,,,,,,
#,Oh!,#,don't have,money,already,#,I,to use,-en,some,money,to buy,food,#,#,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,
跟住,，,細妹,見到,一個,好,細,嘅,袋,仔,，,上面,有,Hello,Kitty,。,,,,,,,,
gan1-zyu6,#,sai3-mui2,gin3-dou2,jat1-go3,hou2,sai3,ge3,doi2,zai2,#,soeng6-min6,jau5,#,#,#,,,,,,,,
and then,#,younger sister,to see,one,very,small,(linker),bag,little,#,above,have,Hello,Kitty,#,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,
細妹,好,想,要,，,佢,想,送,俾,佢,個,公仔,。,,,,,,,,,,,
sai3-mui2,hou2,soeng2,jiu3,#,keoi5,soeng2,sung3,bei2,keoi5,go3,gung1-zai2,#,,,,,,,,,,,
younger sister,very,to want,to want,#,she,to want,to send,to give,she,(measure),doll,#,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,
「,咦,，,係,喎,，,我,個,袋,入面,有,十六,蚊,喎,。,」,,,,,,,,
#,ji2,#,hai6,wo3,#,ngo5,go3,doi2,jap6-min6,jau5,sap6-luk6,man1,wo3,#,#,,,,,,,,
#,Look!,#,is,(particle),#,I,(measure),bag,inside,have,sixteen,dollar,(particle),#,#,,,,,,,,
[5d],,,,,,,,,,,,,,,,,,,,,,,
細妹,用,咗,呢個,袋,仔,嚟,俾,公仔,放,嘢,。,,,,,,,,,,,,
sai3-mui2,jung6,zo2,nei1-go3,doi2,zai2,lai4,bei2,gung1-zai2,fong3,je5,#,,,,,,,,,,,,
younger sister,to use,-en,this one,bag,little,to,to give,doll,to put,thing,#,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,
喺,𨋢,入面,，,哥哥,已經,好,餓,，,開,咗,一,包,朱古力,嚟,食,。,佢,一啲,都,唔,覺得,飽,。
hai2,lip1,jap6-min6,#,go4-go1,ji5-ging1,hou2,ngo6,#,hoi1,zo2,jat1,baau1,zyu1-gu1-lik1,lei4,sik6,#,keoi5,jat1-di1,dou1,m4,gok3-dak1,baau2,#
at,lift / elevator,inside,#,elder brother,already,very,hungry,#,to open,-en,one,pack,chocolate,to,to eat,#,he,a bit,"all, also",not,to feel,full,#
[6b],,,,,,,,,,,,,,,,,,,,,,,
到,屋企,，,細妹,食,咗,個,包,，,而家,唔,肚餓,喇,。,,,,,,,,,,
dou3,uk1-kei2,#,sai3-mui2,sik6,zo2,go3,baau1,#,ji4-gaa1,m4,tou5-ngo6,laa3,#,,,,,,,,,,
to,home,#,younger sister,to eat,-en,(measure),bread,#,now,not,hungry,already,#,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,
過,咗,一陣,，,媽媽,同,兩個,小朋友,出去,玩,。,佢哋,坐,巴士,嚟,到,淺水灣,沙灘,。,,,,,
gwo3,zo2,jat1-zan6,#,maa4-maa1,tung4,loeng5-go3,siu2-pang4-jau5,ceot1-heoi3,waan2,#,keoi5-dei6,co5,baa1-si2,lei4,dou3,cin2-seoi2-waan1,saa1-taan1,#,,,,,
to pass,-en,a while,#,mother,and,two,child,to get out,to play,#,they,to sit,bus,to come,to,Repulse Bay,beach,#,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,
落車,喇,！,呢度,好,靚,，,天氣,好好,，,又,冇乜,人,。,,,,,,,,,,
lok6-ce1,laa3,#,nei1-dou6,hou2,leng3,#,tin1-hei3,hou2-hou2,#,jau6,mou5-mat1,jan4,#,,,,,,,,,,
off the car,already,#,here,very,beautiful,#,weather,good,#,again,have not really,people,#,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,,,,
沙灘,好,熱,喎,！,好,大,太陽,喎,！,佢哋,覺得,好,口渴,，,想,飲,啲,嘢,。,,,,
saa1-taan1,hou2,jit6,wo3,#,hou2,daai6,taai3-joeng4,wo3,#,keoi5-dei6,gok3-dak1,hou2,hau2-hot3,#,soeng2,jam2,di1,je5,#,,,,
beach,very,hot,(particle),#,very,big,sun,(particle),#,they,to feel,very,thirsty,#,to want,to drink,some,thing,#,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,
媽媽,都,俾,咗,二十,蚊,哥哥,同,細妹,。,,,,,,,,,,,,,,
maa4-maa1,dou1,bei2,zo2,ji6-sap6,man1,go4-go1,tung4,sai3-mui2,#,,,,,,,,,,,,,,
mother,"all, also",to give,-en,twenty,dollar,elder brother,and,younger sister,#,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,你哋,去,揾,啲,你哋,鍾意,嘅,嘢,買,嚟,飲,啦,！,」,,,,,,
