[2a],,,,,,,,,,,,,,,,,,
星期日,，,文仔,媽媽,買,咗,件,新,雨褸,畀,佢,。,,,,,,,
sing1-kei4-jat6,#,Man4-zai2,maa4-maa1,maai5,zo2,gin6,san1,jyu5-lau1,bei2,keoi5,#,,,,,,,
Sunday,#,Aa Man,mother,buy,-ed,(measure),new,raincoat,for,him,#,,,,,,,
[2b],,,,,,,,,,,,,,,,,,
件,雨褸,橙紅色,，,好,靚,，,文仔,好,想,着住,佢,。,,,,,,
gin6,jyu5-lau1,caang2-hung4-sik1,#,hou2,leng3,#,Man4-zai2,hou2,soeng2,zoek3-zyu6,keoi5,#,,,,,,
(measure),raincoat,orange red colour,#,very,pretty,#,Aa Man,really,want to,wear,it,#,,,,,,
[2c],,,,,,,,,,,,,,,,,,
媽媽,話,：,「,阿仔,，,雨褸,淨係,落雨,嗰陣,先,着,㗎咋,！,」,,,,
maa4-maa1,waa6,#,#,aa3-zai2,#,jyu5-lau1,zing6-hai6,lok6-jyu5,go2-zan6,sin1,zoek3,gaa3-zaa3,#,#,,,,
mother,say,#,#,son,#,raincoat,only,rain,that time,then,wear,(particle),#,#,,,,
[3a],,,,,,,,,,,,,,,,,,
星期一,，,天氣,好,好,，,太陽,好,曬,。,啲,花,都,開,得,好,靚,。,
sing1-kei4-jat1,#,tin1-hei3,hou2,hou2,#,taai3-joeng4,hou2,saai3,#,di1,faa1,dou1,hoi1,dak1,hou2,leng3,#,
Monday,#,weather,very,good,#,the sun,very,shiny,#,those,flower,all,bloom,in a way,very,pretty,#,
[3b],,,,,,,,,,,,,,,,,,
文仔,問,媽媽,：,「,今日,會唔會,落雨,啊,？,」,,,,,,,,
Man4-zai2,man6,maa4-maa1,#,#,gam1-jat6,wui5-m4-wui5,lok6-jyu5,aa3,#,#,,,,,,,,
Aa Man,ask,mother,#,#,today,will or will not,rain,(particle),#,#,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,
媽媽,話,：,「,應該,唔會,喇,。,」,,,,,,,,,,
maa4-maa1,waa6,#,#,jing1-goi1,m4-wui5,laa3,#,#,,,,,,,,,,
mother,say,#,#,should,will not,(particle),#,#,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,
星期二,，,個,天,好,藍,，,淨係,得,一,嚿,白,雲,。,,,,,
sing1-kei4-ji6,#,go3,tin1,hou2,laam4,#,zing6-hai6,dak1,jat1,gau6,baak6,wan4,#,,,,,
Tuesday,#,(measure),the sky,very,blue,#,only,have,one,(measure),white,cloud,#,,,,,
[4b],,,,,,,,,,,,,,,,,,
文仔,唔開心,，,佢,諗,：,「,今日,一定,冇,雨,落,喇,。,」,,,,
Man4-zai2,m4-hoi1-sam1,#,keoi5,nam2,#,#,gam1-jat6,jat1-ding6,mou5,jyu5,lok6,laa3,#,#,,,,
Aa Man,unhappy,#,he,think,#,#,today,sure,don't have,rain,to fall,(particle),#,#,,,,
[5a],,,,,,,,,,,,,,,,,,
星期三,，,天氣,好,熱,，,個,太陽,非常,曬,，,犀利,過,之前,。,,,,
