[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,要,永遠,喺埋一齊,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,jiu3,wing5-jyun5,hai2-maai4-jat1-cai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,need,forever,to be together,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心心,喺,孤兒院,長大,，,佢,最好,嘅,朋友,就係,孤兒院,養,嘅,狗仔,旺財,。,,,,,,,,,,,,,,,,,,,,,,,,,
sam1-sam1,hai2,gu1-ji4-jyun2,zoeng2-daai6,#,keoi5,zeoi3-hou2,ge3,pang4-jau5,zau6-hai6,gu1-ji4-jyun2,joeng5,ge3,gau2-zai2,wong6-coi4,#,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy,at,orphanage,grow up,#,she,best,(linker),friend,is,orphanage,raise,(linker),puppy,Wonka,#,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旺財,肥嘟嘟,，,眼仔碌碌,，,每,次,見到,心心,都會,好,開心,噉,汪,汪,叫,，,又,跟,岀,跟,入,。,,,,,,,,,,,,,,,,,,
wong6-coi4,fei4-dyut1-dyut1,#,ngaan5-zai2-luk1-luk1,#,mui5,ci3,gin3-dou2,sam1-sam1,dou1-wui5,hou2,hoi1-sam1,gam2,wong1,wong1,giu3,#,jau6,gan1,ceot1,gan1,jap6,#,,,,,,,,,,,,,,,,,,
Wonka,chubby,#,round little eyes,#,every,time,saw,Sammy,will also,very,happy,-ly,(bark),(bark),shout,#,again,follow,out,follow,in,#,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,晏晝,，,心心,如常,準備,好,狗糧,，,打算,餵,旺財,食,午餐,。,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,aan3-zau3,#,sam1-sam1,jyu4-soeng4,zeon2-bei6,hou2,gau2-loeng4,#,daa2-syun3,wai3,wong6-coi4,sik6,ng5-caan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,
