[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心,足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam1,zuk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart,satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏天,，,最好,梗係,喺,屋企,開,住,冷氣,睇,電視,啦,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haa6-tin1,#,zeoi3-hou2,gang2-hai6,hai2,uk1-kei2,hoi1,zyu6,laang5-hei3,tai2,din6-si6,laa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer,#,best,of course,at,home,to open,-ing,air-conditioning,to look,television,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依家,好,熱,呀,，,阿孝,除,晒,衫,等,自己,涼,啲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji1-gaa1,hou2,jit6,aa3,#,aa3-haau3,ceoi4,saai3,saam1,dang2,zi6-gei2,loeng4,di1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
now,very,hot,(particle),#,Ah-hau,to take off,all,clothes,to wait,oneself,cool,a bit,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,望,出,窗,，,有,一,班,人,喺,出面,搞,咗,幾,個月,都,唔知,搞,緊,咩,，,又,搬,沙,，,又,搬,水,噉,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,mong6,ceot1,coeng1,#,jau5,jat1,baan1,jan4,hai2,ceot1-min6,gaau2,zo2,gei2,go3-jyut6,dou1,m4-zi1,gaau2,gan2,me1,#,jau6,bun1,saa1,#,jau6,bun1,seoi2,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,to look,out,window,#,have,one,class,people,at,outside,to do,-en,several,month(s),all,don't know,to do,-ing,what,#,also,to move,sand,#,also,to move,water,in this way,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
