[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鬥氣,冤家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dau3-hei3,jyun1-gaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at loggerheads,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿家,同,阿心,細細個,就,開始,鬥氣,㗎,喇,！,有,一,次,仲,鬥,睇,鬼片,唔,講嘢,，,點知,阿家,一,見,到,骨頭,就,驚,到,喊,咗,出嚟,。,,,,,
Aa3-gaa1,tung4,Aa3-sam1,sai3-sai3-go3,zau6,hoi1-ci2,dau3-hei3,gaa3,laa3,#,jau5,jat1,ci3,zung6,dau3,tai2,gwai2-pin2,m4,gong2-je5,#,dim2-zi1,Aa3-gaa1,jat1,gin3,dou2,gwat1-tau4,zau6,geng1,dou3,haam3,zo2,ceot1-lei4,#,,,,,
Ah-Ka,and,Ah-Sum,very young,then,to begin,to be at loggerheads,(particle),already,#,there was,one,time,even,to fight,to watch,ghost movie,not,speaking,#,unexpectedly,Ah-Ka,once,see,(marker),bone,then,afraid,to,to cry,-en,to come out,#,,,,,
[Line 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,次,佢哋,兩個,仲,鬥,到,整親,，,一齊,落,咗,去,醫療室,。,,,,,,,,,,,,,,,,,,,,,,,
nei1,ci3,keoi5-dei6,loeng5-go3,zung6,dau3,dou3,zing2-can1,#,jat1-cai4,lok6,zo2,heoi3,ji1-liu4-sat1,#,,,,,,,,,,,,,,,,,,,,,,,
this,time,they,two,even,to fight,to the extent,to get hurt,#,together,to fall,-en,to go,medical room,#,,,,,,,,,,,,,,,,,,,,,,,
[Line 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩個,趁,老師,見,唔,到,，,又,開始,喺,度,郁,手,郁,腳,……,,,,,,,,,,,,,,,,,,,,,,
loeng5-go3,can3,lou5-si1,gin3,m4,dou2,#,jau6,hoi1-ci2,hai2,dou6,juk1,sau2,juk1,goek3,#,,,,,,,,,,,,,,,,,,,,,,
two,while,teacher,to see,not,(marker),#,again,to begin,at,here,to move,hand,to move,"foot, leg",#,,,,,,,,,,,,,,,,,,,,,,
[Line 5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,兩個,好,停,手,喇,！,」,老師,入,咗,嚟,。,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,loeng5-go3,hou2,ting4,sau2,laa3,#,#,lou5-si1,jap6,zo2,lei4,#,,,,,,,,,,,,,,,,,,,,,,,,
#,you,two,had better,to stop,hand,already,#,#,teacher,to enter,-en,to come,#,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩個,終於,肯,停,手,！,呢個,時候,，,老師,發現,冇,晒,膠布,。,,,,,,,,,,,,,,,,,,,,,,,
loeng5-go3,zung1-jyu1,hang2,ting4,sau2,#,nei1-go3,si4-hau6,#,lou5-si1,faat3-jin6,mou5,saai3,gaau1-bou3,#,,,,,,,,,,,,,,,,,,,,,,,
two,at last,to agree,to stop,hand,#,this,time,#,teacher,to find out,to not have,all,bandages,#,,,,,,,,,,,,,,,,,,,,,,,
[Line 8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,同,阿家,、,阿心,講,：,「,嗱,，,我,而家,出去,拎,啲,嘢,，,你哋,坐,喺度,，,我,返,到,嚟,唔,要,再,見,到,你哋,郁,手,郁,腳,㗎,！,」
keoi5,tung4,Aa3-gaa1,#,Aa3-sam1,gong2,#,#,naa4,#,ngo5,ji4-gaa1,ceot1-heoi3,ling1,di1,je5,#,nei5-dei6,co5,hai2-dou6,#,ngo5,faan2,dou3,lei4,m4,jiu3,zoi3,gin3,dou2,nei5-dei6,juk1,sau2,juk1,goek3,gaa3,#,#
she,and,Ah-Ka,#,Ah-Sum,to say,#,#,listen up,#,I,now,to get out,to take,some,thing,#,you (plural),to sit,right here,#,I,to return,to arrive,to come,not,to want,again,see,(marker),you (plural),to move,hand,to move,"foot, leg",(particle),#,#
[Line 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,o4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Okay,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,見,佢哋,靜,靜,噉,坐,咗,喺度,，,就,出,咗,去,。,,,,,,,,,,,,,,,,,,,,,,,
lou5-si1,gin3,keoi5-dei6,zing6,zing2,gam2,co5,zo2,hai2-dou6,#,zau6,ceot1,zo2,heoi3,#,,,,,,,,,,,,,,,,,,,,,,,
teacher,to see,they,quiet,quiet,that way,to sit,-en,right here,#,then,to go out,-en,to go,#,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嘭,！,」,佢哋,一,睇,見,老師,出去,，,又,開始,嚟,料,喇,……,,,,,,,,,,,,,,,,,,,,,
#,paang4,#,#,keoi5-dei6,jat1,tai2,gin3,lou5-si1,ceot1-heoi3,#,jau6,hoi1-ci2,lei4,liu4,laa3,#,,,,,,,,,,,,,,,,,,,,,
#,bang,#,#,they,one,to look,to see,teacher,to get out,#,again,to begin,to come,to provoke,already,#,,,,,,,,,,,,,,,,,,,,,
