[Line 0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹沖,稱,象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cou4-cung1,cing3,zoeng6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cao Chong,weigh,elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從前,，,有,一,位,丞相,，,佢,叫做,曹操,。,佢,有,幾,個,仔,，,個個,都,好,有,成就,。,大仔,叫,曹丕,，,後嚟,做,咗,皇帝,；,又,有,一個,細,仔,，,叫做,曹植,，,係,著名,嘅,文學家,。,佢哋,嘅,故事,出名,到,人盡皆知,。,但係,其實,曹操,仲有,一個,細,仔,，,大家,又,知唔知,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung4-cin4,#,jau5,jat1,wai2,sing4-soeng3,#,keoi5,giu3-zou6,cou4-cou1,#,keoi5,jau5,gei2,go3,zai2,#,go3-go3,dou1,hou2,jau5,sing4-zau6,#,daai6-zai2,giu3,cou4-pei1,#,hau6-lei4,zou6,zo2,wong4-dai3,#,jau6,jau5,jat1-go3,sai3,zai2,#,giu3-zou6,cou4-zik6,#,hai6,zyu3-ming4,ge3,man4-hok6-gaa1,#,keoi5-dei6,ge3,gu3-si6,ceot1-meng2,dou3,jan4-zeon6-gaai1-zi1,#,daan6-hai6,kei4-sat6,cou4-cou1,zung6-jau5,jat1-go3,sai3,zai2,#,daai6-gaa1,jau6,zi1-m4-zi1,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the past,#,have,one,(measure),prime minister,#,he,is called,Cao Cao,#,he,have,several,(measure),son,#,everyone,"all, also",very,have,accomplishment,#,eldest son,is called,Cao Pi,#,afterwards,become,-en,emperor,#,also,have,one (measure),younger,son,#,called,Cao Zhi,#,is,famous,(linker),writer,#,they,(linker),story,famous,to the extent,everyone knows,#,but,actually,Cao Cao,still have,one,younger,son,#,everyone,also,know or not,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹操,呢個,細,仔,，,叫做,曹沖,，,佢,自細,就,聰明,過,人,。,佢,五,六,歲,嗰陣,，,已經,識,得,諗,方法,解決,一啲,連,大人,都,解決,唔到,嘅,難題,。,有,一,次,，,有,人,送,咗,一,隻,好,靚,嘅,山雞,畀,曹操,。,呢,隻,山雞,啲,羽毛,好,靚,，,五顏六色,，,曹操,想,睇,呢,隻,山雞,跳舞,，,於是,係噉,逗,隻,山雞,，,但係,隻,山雞,一直,都,唔,睬,佢,。,,,,,,,,,,,,,
cou4-cou1,nei1-go3,sai3,zai2,#,giu3-zou6,cou4-cung1,#,keoi5,zi6-sai3,zau6,cung1-ming4,gwo3,jan4,#,keoi5,ng5,luk6,seoi3,go2-zan2,#,ji5-ging1,sik1,dak1,nam2,fong1-faat3,gaai2-kyut3,jat1-di1,lin4,daai6-jan4,dou1,gaai2-kyut3,m4-dou2,ge3,naan4-tai4,#,jau5,jat1,ci3,#,jau5,jan4,sung3,zo2,jat1,zek3,hou2,leng3,ge3,saan1-gai1,bei2,cou4-cou1,#,nei1,zek3,saan1-gai1,di1,jyu5-mou4,hou2,leng3,#,ng5-ngaan4-luk6-sik1,#,cou4-cou1,soeng2,tai2,nei1,zek3,saan1-gai1,tiu3-mou5,#,jyu1-si6,hai6-gam2,dau6,zek3,saan1-gai1,#,daan6-hai6,zek3,saan1-gai1,jat1-zik6,dou1,m4,coi2,keoi5,#,,,,,,,,,,,,,
Cao Cao,this,younger,son,#,is called,Cao Chong,#,he,from a young age,then,intelligent,than,other people,#,he,five,six,years old,that time,#,already,know,able to,think,method,to resolve,some,even,adult,"all, also",to resolve,cannot,(linker),difficult problem,#,have,one,time,#,have,people,send,-en,one,(measure),very,beautiful,(linker),pheasant,to,Cao Cao,#,this,(measure),pheasant,those,feather,very,beautiful,#,colourful,#,Cao Cao,want to,see,this,(measure),pheasant,to dance,#,so,keep doing,tease,(measure),pheasant,#,but,(measure),pheasant,keep on,"all, also",not,respond,he,#,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,細,仔,曹沖,就話,：,「,好,簡單,啫,，,等,我,嚟,啦,。,」,曹沖,放,咗,一塊,銅,鏡,喺,隻,山雞,面前,，,山雞,見到,銅,鏡,入面,有,隻,好,靚,嘅,山雞,。,山雞,為咗,同,佢,鬥,靚,，,就,開始,跳舞,，,點知,鏡,入面,嘅,山雞,跟住,一齊,跳,。,最尾,，,山雞,跳,咗,好,耐,都,唔,停,，,因為,佢,要,等,鏡,入面,嗰,隻,停,，,佢,先,肯,停,。,從此,，,大家,都,覺得,曹沖,真係,一,位,神童,。
ni1-go3,si4-hau6,#,sai3,zai2,cou4-cung1,zau6-waa6,#,#,hou2,gaan2-daan1,ze1,#,dang2,ngo5,lai4,laa1,#,#,cou4-cung1,fong3,zo2,jat1-faai3,tung4,geng3,hai2,zek3,saan1-gai1,min6-cin4,#,saan1-gai1,gin3-dou2,tung4,geng3,jap6-min6,jau5,zek3,hou2,leng3,ge3,saan1-gai1,#,saan1-gai1,wai6-zo2,tung4,keoi5,dau3,leng3,#,zau6,hoi1-ci2,tiu3-mou5,#,dim2-zi1,geng3,jap6-min6,ge3,saan1-gai1,gan1-zyu6,jat1-cai4,tiu3,#,zeoi3-mei1,#,saan1-gai1,tiu3,zo2,hou2,noi6,dou1,m4,ting4,#,jan1-wai6,keoi5,jiu3,dang2,geng3,jap6-min6,go2,zek3,ting4,#,keoi5,sin1,hang2,ting4,#,cung4-ci2,#,daai6-gaa1,dou1,gok3-dak1,cou4-cung1,zan1-hai6,jat1,wai2,san4-tung4,#
