 [0],,,,,,,,,,,,,
揾食,,,,,,,,,,,,,
wan2-sik6,,,,,,,,,,,,,
make money,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,
「,奶茶,凍,咖啡,?,」,,,,,,,,
#,naai5-caa4,dung3,gaa3-fe1,#,#,,,,,,,,
#,milk tea,iced,coffee,#,#,,,,,,,,
[1b],,,,,,,,,,,,,
鴛鴦,檸檬茶,外賣,拎,上,電單車,。,,,,,,,
jyun1-joeng1,ling4-mung1-caa4,ngoi6-maai6,ling1,soeng5,din6-daan1-ce1,#,,,,,,,
coffee with milk tea,lemon tea,take out,take,up,motorbike,#,,,,,,,
[1c],,,,,,,,,,,,,
今年,又,有,疫情,外面,咁,熱,你,想,點樣,呢,？,,
gam1-nin2,jau6,jau5,jik6-cing4,ngoi6-min6,gam3,jit6,nei5,soeng2,dim2-joeng2,ne1,#,,
this year,again,have,pandemic,outside,so,hot,you,want,how to,(particle),#,,
[1d],,,,,,,,,,,,,
攞,個,電話,出嚟,撳下,掣,又,做乜,要,出街,呢,？,,
lo2,go3,din6-waa2,ceot1-lei4,gam6-haa5,zai3,jau6,zou6-mat1,jiu3,ceot1-gaai1,ne1,#,,
take,(measure),telephone,out,to press,button,again,for what,need to,go out,(particle),#,,
[2a],,,,,,,,,,,,,
打開,個,APP,畀,你,揀,想,食,早餐,午餐,晚餐,。,,
daa2-hoi1,go3,APP,bei2,nei5,gaan2,soeng2,sik6,zou2-caan1,ng5-caan1,maan5-caan1,#,,
open,(measure),APP,let,you,choose,want,to eat,breakfast,lunch,dinner,#,,
[2b],,,,,,,,,,,,,
坐低,得閒,埋嚟,睇,睇,揀下,呢,間,嗰,間,邊,間,。,
co5-dai1,dak1-haan4,maai4-lei4,tai2,tai2,gaan2-haa5,ni1,gaan1,go2,gaan1,bin1,gaan1,#,
sit down,to have free time,come over,look,look,to choose a bit,this,(measure),that,(measure),which,(measure),#,
[2c],,,,,,,,,,,,,
凌晨,時間,碰下,運氣,睇下,邊,間,仲係,未,閂,。,,,
ling4-san4,si4-gaan3,pung3-haa5,wan6-hei3,tai2-haa5,bin1,gaan1,zung6-hai6,mei6,saan1,#,,,
before dawn,time,try a bit,luck,to see,which,(measure),still,not yet,close,#,,,
[2d],,,,,,,,,,,,,
快啲,啦,過,咗,十,點,佢,就,唔,會,幫,你,落單,。
faai3-di1,laa1,gwo3,zo2,sap6,dim2,keoi5,zau6,m4,wui5,bong1,nei5,lok6-daan1,#
faster,(particle),pass,-en,ten,o'clock,it,then,not,will,help,you,to order,#
[3a],,,,,,,,,,,,,
每日,公司,做嘢,咁,攰,好多時,九,點,先,放工,。,,,
mui5-jat6,gung1-si1,zou6-je5,gam3,gui6,hou2-do1-si4,gau2,dim2,sin1,fong3-gung1,#,,,
every day,company,work,so,tired,most of the time,nine,o'clock,then,off work,#,,,
[3b],,,,,,,,,,,,,
可以,嗌,埋,嘢食,陣間,返屋企,唔好,嘥,嗰,一,個鐘,。,,
ho2-ji5,aai3,maai4,je5-sik6,zan6-gaan1,faan1-uk1-kei2,m4-hou2,saai1,go2,jat1,go3-zung1,#,,
can,order,also,food,later,go home,do not,waste,that,one,hour,#,,
[3c],,,,,,,,,,,,,
香港,九龍,新界,都,咁,方便,點樣,嗌,都,得,。,,,
hoeng1-gong2,gau2-lung4,san1-gaai3,dou1,gam3,fong1-bin6,dim2-joeng2,aai3,dou1,dak1,#,,,
Hong Kong,Kowloon,New Territories,"all, also",so,convenient,no matter how,order,"all, also",can,#,,,
