[0],,,,,,,,,,,,,,,,
屋企人,,,,,,,,,,,,,,,,
uk1-kei2-jan4,,,,,,,,,,,,,,,,
family,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,
今日,，,爸爸,、,媽媽,、,哥哥,、,細妹,都,喺,屋企,。,,,,
gam1-jat6,#,baa4-baa1,#,maa4-maa1,#,go4-go1,#,sai3-mui2,dou1,hai2,uk1-kei2,#,,,,
today,#,father,#,mother,#,elder brother,#,younger sister,all,at,home,#,,,,
[2a],,,,,,,,,,,,,,,,
哥哥,同,細妹,都,想,出街,，,哥哥,想,去,打波,，,,,,,
go4-go1,tung4,sai3-mui2,dou1,soeng2,ceot1-gaai1,#,go4-go1,soeng2,heoi3,daa2-bo1,#,,,,,
elder brother,and,younger sister,also,want to,go out,#,elder brother,want to,go,play basketball,#,,,,,
[2b],,,,,,,,,,,,,,,,
細妹,想,同,同學,行街,。,,,,,,,,,,,
sai3-mui2,soeng2,tung4,tung4-hok6,haang4-gaai1,#,,,,,,,,,,,
younger sister,want,with,schoolmate,go shopping,#,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,
但係,今日,落大雨,，,佢哋,出,唔到,街,；,,,,,,,,
daan6-hai6,gam1-jat6,lok6-daai6-jyu5,#,keoi5-dei6,ceot1,m4-dou2,gaai1,#,,,,,,,,
but,today,pouring rain,#,they,go out,cannot,out,#,,,,,,,,
[3b],,,,,,,,,,,,,,,,
佢哋,全,日,都,喺,屋企,：,哥哥,玩,手機,，,細妹,睇書,。,,,
keoi5-dei6,cyun4,jat6,dou1,hai2,uk1-kei2,#,go4-go1,waan2,sau2-gei1,#,sai3-mui2,tai2-syu1,#,,,
they,whole,day,also,at,home,#,elder brother,play,smartphone,#,younger sister,read book,#,,,
[4a],,,,,,,,,,,,,,,,
細妹,鍾意,靜,，,唔,鍾意,嘈,，,佢,喺,嘈,嘅,地方,睇,唔到,書,。
sai3-mui2,zung1-ji3,zing6,#,m4,zung1-ji3,cou4,#,keoi5,hai2,cou4,ge3,dei6-fong1,tai2,m4-dou2,syu1,#
younger sister,like,quiet,#,not,like,noisy,#,she,at,noisy,('s),place,read,cannot,book,#
[4b],,,,,,,,,,,,,,,,
哥哥,同,細妹,唔同,，,佢,唔,怕,嘈,。,,,,,,,
go4-go1,tung4,sai3-mui2,m4-tung4,#,keoi5,m4,paa3,cou4,#,,,,,,,
elder brother,and,younger sister,different,#,he,not,fear,noisy,#,,,,,,,
[5a],,,,,,,,,,,,,,,,
噉,今日,屋企,嘈,唔,嘈,？,細妹,覺得,有啲,嘈,，,,,,,
gam2,gam1-jat6,uk1-kei2,cou4,m4,cou4,#,sai3-mui2,gok3-dak1,jau5-di1,cou4,#,,,,,
in this way,today,home,noisy,not,noisy,#,younger sister,feel,a bit,noisy,#,,,,,
[5b],,,,,,,,,,,,,,,,
佢,睇,唔到,書,；,哥哥,打,緊,機,，,都,覺得,有少少,嘈,。,,
keoi5,tai2,m4-dou2,syu1,#,go4-go1,daa2,gan2,gei1,#,dou1,gok3-dak1,jau5-siu2-siu2,cou4,#,,
she,read,cannot,book,#,elder brother,play,-ing,phone,#,also,feel,a little bit,noisy,#,,
[6a],,,,,,,,,,,,,,,,
點解,屋企,咁,嘈,？,,,,,,,,,,,,
dim2-gaai2,uk1-kei2,gam3,cou4,#,,,,,,,,,,,,
why,home,so,noisy,#,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,
因為,爸爸,喺,廳,睇,緊,電視,，,部,電視,好,大聲,。,,,,
jan1-wai6,baa4-baa1,hai2,teng1,tai2,gan2,din6-si6,#,bou6,din6-si6,hou2,daai6-seng1,#,,,,
because,father,at,living room,watch,-ing,television,#,(measure),television,very,loudly,#,,,,
[7a],,,,,,,,,,,,,,,,
媽媽,唔,覺得,嘈,；,,,,,,,,,,,,
maa4-maa1,m4,gok3-dak1,cou4,#,,,,,,,,,,,,
mother,not,feel,noisy,#,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,
佢,諗,緊,另,一啲,嘢,，,聽,唔到,部,電視,嘅,聲,。,,,
keoi5,nam2,gan2,ling6,jat1-di1,je5,#,teng1,m4-dou2,bou6,din6-si6,ge3,seng1,#,,,
she,think,-ing,another,some,thing,#,hear,cannot,(measure),television,('s),sound,#,,,
[8],,,,,,,,,,,,,,,,
媽媽,諗,緊,咩,呢,？,哥哥,同,細妹,都,唔知,。,,,,,
maa4-maa1,nam2,gan2,me1,ne1,#,go4-go1,tung4,sai3-mui2,dou1,m4-zi1,#,,,,,
mother,think,-ing,what,(particle),#,elder brother,and,younger sister,also,don't know,#,,,,,
[9],,,,,,,,,,,,,,,,
爸爸,知,唔知,呢,？,佢,要,知,，,但係,佢,唔知,。,,,,
baa4-baa1,zi1,m4-zi1,ne1,#,keoi5,jiu3,zi1,#,daan6-hai6,keoi5,m4-zi1,#,,,,
father,know,don't know,(particle),#,he,need to,know,#,but,he,don't know,#,,,,
[10a],,,,,,,,,,,,,,,,
媽媽,喺,廁所,出嚟,，,大聲,噉,問,爸爸,：,,,,,,,
maa4-maa1,hai2,ci3-so2,ceot1-lai4,#,daai6-seng1,gam2,man6,baa4-baa1,#,,,,,,,
mother,at,toilet,come out,#,loudly,in this way,ask,father,#,,,,,,,
[10b],,,,,,,,,,,,,,,,
「,你,覺,唔,覺得,我,唔同,咗,？,」,,,,,,,
#,nei5,gok3,m4,gok3-dak1,ngo5,m4-tung4,zo2,#,#,,,,,,,
#,you,feel,not,feel,I,different,-ed,#,#,,,,,,,
[11],,,,,,,,,,,,,,,,
爸爸,唔識,答,，,諗,咗,一陣,：,「,Er……,你,頭髮,長,咗,？,」,
baa4-baa1,m4-sik1,daap3,#,nam2,zo2,jat1-zan6,#,#,Er,nei5,tau4-faat3,coeng4,zo2,#,#,
father,don't know,reply,#,think,-ed,a while,#,#,Um...,your,hair,long,-ed,#,#,
[12],,,,,,,,,,,,,,,,
哥哥,問,細妹,：,「,你,覺,唔,覺得,媽媽,條,問題,好,難,答,？,」
go4-go1,man6,sai3-mui2,#,#,nei5,gok3,m4,gok3-dak1,maa4-maa1,tiu4,man6-tai4,hou2,naan4,daap3,#,#
elder brother,ask,younger sister,#,#,you,feel,not,feel,mother,(measure),question,very,difficult,to reply,#,#
[13],,,,,,,,,,,,,,,,
喺,廳,嘅,媽媽,大叫,：,「,唔係,啊,！,係,我,重,咗,啊,！,」
hai2,teng1,ge3,maa4-maa1,daai6-giu3,#,#,m4-hai6,aa3,#,hai6,ngo5,cung5,zo2,aa3,#,#
at,living room,('s),mother,shout,#,#,is not,(particle),#,is,I,heavy,-ed,(particle),#,#
[14],,,,,,,,,,,,,,,,
細妹,同,阿哥,講,：,「,我,覺得,媽媽,嘈,過,部,電視,。,」,,
sai3-mui2,tung4,aa3-go1,gong2,#,#,ngo5,gok3-dak1,maa4-maa1,cou4,gwo3,bou6,din6-si6,#,#,,
younger sister,and,elder brother,say,#,#,I,feel,mother,noisy,-er,(measure),television,#,#,,
