[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大禹,治,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-jyu5,zi6,seoi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayu,tame,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相信,大家,都,聽過,一個,《,聖經,》,故事,，,就係,神,睇見,世人,罪惡滔天,，,所以,用,洪水,懲罰,世人,。,唔知,大家,又,知唔知,，,中國,古代,都,有,大,洪水,嘅,傳說,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soeng1-seon3,daai6-gaa1,dou1,teng1-gwo3,jat1-go3,#,sing3-ging1,#,gu3-si6,#,zau6-hai6,san4,tai2-gin3,sai3-jan4,zeoi6-ok3-tou1-tin1,#,so2-ji5,jung6,hung4-seoi2,cing4-fat6,sai3-jan4,#,m4-zi1,daai6-gaa1,jau6,zi1-m4-zi1,#,zung1-gwok3,gu2-doi6,dou1,jau5,daai6,hung4-seoi2,ge3,cyun4-syut3,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
believe,everyone,"all, also",heard,one (measure),#,Bible,#,story,#,which is,god,see,people,godlessly depraved,#,therefore,use,deluge,to punish,people,#,don't know,everyone,again,know or not,#,China,ancient times,also,have,big,deluge,(linker),legend,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,好,耐,好,耐,以前,，,有,一場,大,洪水,，,周圍,都,水浸,。,抬頭,望,去,，,四周圍,都,睇唔到,陸地,，,搞到,有,人,要,住,喺,樹,上面,，,有,人,要,住,喺,山窿,入面,。,仲要,水,入面,都係,咬,人,嘅,蛇,同,龍,，,大家,都,唔知,點算,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,hou2,noi6,hou2,noi6,ji5-cin4,#,jau5,jat1-coeng4,daai6,hung4-seoi2,#,zau1-wai4,dou1,seoi2-zam3,#,toi4-tau4,mong6,heoi3,#,sei3-zau1-wai4,dou1,tai2-m4-dou2,luk6-dei6,#,gaau2-dou3,jau5,jan4,jiu3,zyu6,hai2,syu6,soeng6-min6,#,jau5,jan4,jiu3,zyu6,hai2,saan1-lung1,jap6-min6,#,zung6-jiu3,seoi2,jap6-min6,dou1-hai6,ngaau5,jan4,ge3,se4,tung4,lung4,#,daai6-gaa1,dou1,m4-zi1,dim2-syun3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,very,long time,very,long time,before,#,have,one (measure),big,deluge,#,surrounding,"all, also",flood,#,raise head,look,over,#,surrounding,"all, also",cannot see,land,#,make,have,people,have to,live,at,tree,above,#,have,people,have to,live,at,cave,inside,#,even,water,inside,all is,bite,people,(linker),snake,and,dragon,#,everyone,"all, also",don't know,what to do,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,皇帝,派,咗,個人,去,治理,洪水,。,呢個,人,見到,周圍,都,俾,水,浸,到,睇唔見,陸地,，,就,起,咗,好多,圍牆,，,諗住,阻,住,啲,洪水,。,不過,啲,洪水,太,勁,，,沖,冧,晒,啲,圍牆,。,皇帝,好,嬲,，,嬲,到,將,佢,流放,咗,去,一個,叫,羽山,嘅,地方,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,wong4-dai3,paai3,zo2,go3-jan4,heoi3,zi6-lei5,hung4-seoi2,#,nei1-go3,jan4,gin3-dou2,zau1-wai4,dou1,bei2,seoi2,zam3,dou3,tai2-m4-gin3,luk6-dei6,#,zau6,hei2,zo2,hou2-do1,wai4-coeng4,#,nam2-zyu6,zo2,zyu6,di1,hung4-seoi2,#,bat1-gwo3,di1,hung4-seoi2,taai3,ging6,#,cung1,lam3,saai3,di1,wai4-coeng4,#,wong4-dai3,hou2,nau1,#,nau1,dou3,zoeng1,keoi5,lau4-fong3,zo2,heoi3,jat1-go3,giu3,jyu5-saan1,ge3,dei6-fong1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
