[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妮妮,同,哥哥,去,主題樂園,玩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nei4-Nei4,tung4,go4-go1,heoi3,zyu2-tai4-lok6-jyun4,waan2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nini,and,elder brother,go to,theme park,to play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,陽光,好,大,，,爸爸,媽媽,帶,妮妮,同,哥哥,去,主題樂園,玩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,joeng4-gwong1,hou2,daai6,#,baa4-baa1,maa4-maa1,daai3,Nei4-Nei4,tung4,go4-go1,heoi3,zyu2-tai4-lok6-jyun4,waan2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,sunshine,very,big,#,father,mother,carry,Nini,with,elder brother,go to,theme park,to play,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妮妮,同,哥哥,一齊,玩,遊船河,、,摩天輪,，,同埋,睇,好,刺激,嘅,恐龍,劇場,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nei4-Nei4,tung4,go4-go1,jat1-cai4,waan2,jau4-syun4-ho2,#,mo1-tin1-leon4,#,tung4-maai4,tai2,hou2,ci3-gik1,ge3,hung2-lung4,kek6-coeng4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nini,and,elder brother,together,play,cruise,#,ferris wheel,#,and,watch,very,exciting,-,dinosaur,theatre,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玩,完,之後,，,妮妮,同,哥哥,都,成身,汗,喇,。,爸爸,媽媽,帶,咗,佢哋,一齊,去,餐廳,食,雪糕,。,哥哥,拎住,杯,雪糕,。,突然,，,有,個,小朋友,跑,嚟,跑,去,，,唔小心,撞,咗,埋去,哥哥,度,。
waan2,jyun4,zi1-hau6,#,Nei4-Nei4,tung4,go4-go1,dou1,seng4-san1,hon6,laa3,#,baa4-baa1,maa4-maa1,daai3,zo2,keoi5-dei6,jat1-cai4,heoi3,caan1-teng1,sik6,syut3-gou1,#,go4-go1,ling1-zyu6,bui1,syut3-gou1,#,dat6-jin4,#,jau5,go3,siu2-pang4-jau5,paau2,lai4,paau2,heoi3,#,m4-siu2-sam1,zong6,zo2,maai4-heoi3,go4-go1,dou6,#
play,finished,after,#,Nini,with,elder brother,also,the whole body,sweat,(particle),#,father,mother,bring,-ed,them,together,to go to,restaurant,to eat,ice cream,#,elder brother,holding,cup of,ice cream,#,suddenly,#,there is,(measure),child,run,come,run,go,#,careless,hit,-ed,to,elder brother,there,#
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,杯,雪糕,跌,咗,落,妮妮,心愛,嘅,公主,裙,度,呀,！,嗚,嗚,嗚,…,妮妮,條,公主,裙,變,咗,一撻撻,啡色,，,唔靚,喇,。,,,,,,,,,,,,,,,
go4-go1,bui1,syut3-gou1,dit3,zo2,lok6,Nei4-Nei4,sam1-oi3,ge3,gung1-zyu2,kwan4,dou6,aa3,#,wu1,wu1,wu1,#,Nei4-Nei4,tiu4,gung1-zyu2,kwan4,bin3,zo2,jat1-taat3-taat3,fe1-sik1,#,m4-leng3,laa3,#,,,,,,,,,,,,,,,
elder brother,cup of,ice cream,drop,-ed,down,Nini,favourite,-,princess,dress,there,(particle),#,Uu...,Uu...,Uu...,#,Nini,(measure),princess,dress,change into,-ed,spots of,brown,#,not beautiful,(particle),#,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妮妮,不停,喊,。,哥哥,覺得,佢,冇,做,錯,，,所以,唔同,妮妮,講,「,對唔住,」,。,妮妮,決定,以後,唔同,哥哥,玩,喇,！,,,,,,,,,,,,,,,,,,
Nei4-Nei4,bat1-ting4,haam3,#,go4-go1,gok3-dak1,keoi5,mou5,zou6,co3,#,so2-ji5,m4-tung4,Nei4-Nei4,gong2,#,deoi3-m4-zyu6,#,#,Nei4-Nei4,kyut3-ding6,ji5-hau6,m4-tung4,go4-go1,waan2,laa3,#,,,,,,,,,,,,,,,,,,
Nini,nonstop,cry,#,elder brother,think,he,didn't,do,wrong,#,so,not with,Nini,say,#,sorry,#,#,Nini,decide,afterwards,not with,elder brother,play,(particle),#,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,同,爸爸,講,要,玩,射,水槍,遊戲,，,妮妮,就,同,媽媽,講,要,睇,公主,唱歌,表演,。,,,,,,,,,,,,,,,,,,,,,,,,
go4-go1,tung4,baa4-baa1,gong2,jiu3,waan2,se6,seoi2-coeng1,jau4-hei3,#,Nei4-Nei4,zau6,tung4,maa4-maa1,gong2,jiu3,tai2,gung1-zyu2,coeng3-go1,biu2-jin2,#,,,,,,,,,,,,,,,,,,,,,,,,
elder brother,with,father,say,want to,play,shoot,water gun,game,#,Nini,as a result,with,mother,say,want to,watch,princess,singing,performance,#,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間,過,得,好,快,，,終於,到咗,夜晚,嘅,煙花,表演,喇,！,啲,煙花,圖案,好似,一朵朵,花,噉,，,好多,顏色,，,好,精彩,呀,！,,,,,,,,,,,,,,,,
