[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,嘅,秘密,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,ge3,bei3-mat6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,’s,secret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,某,個,遙遠,嘅,國家,，,有,一,條,風景,優美,嘅,小,村莊,，,條,村,俾,山,圍繞,，,附近,仲有,一個,好,靚,嘅,湖泊,添,！,雖然,村,入面,住,嘅,人,唔多,，,但,可以,自給自足,，,所以,佢哋,每日,都,生活,得,好,開心,！,,,,,,,,,,,,,,,
hai2,mau5,go3,jiu4-jyun5,ge3,gwok3-gaa1,#,jau5,jat1,tiu4,fung1-ging2,jau1-mei5,ge3,siu2,cyun1-zong1,#,tiu4,cyun1,bei2,saan1,wai4-jiu2,#,fu6-gan6,zung6-jau5,jat1-go3,hou2,leng3,ge3,wu4-bok6,tim1,#,seoi1-jin4,cyun1,jap6-min6,zyu6,ge3,jan4,m4-do1,#,daan6,ho2-ji5,zi6-kap1-zi6-zuk1,#,so2-ji5,keoi5-dei6,mui5-jat6,dou1,sang1-wut6,dak1,hou2,hoi1-sam1,#,,,,,,,,,,,,,,,
at,certain,(measure),distant,(linker),country,#,have,one,(measure),landscape,beautiful,(linker),small,village,#,(measure),village,by,hill,encircle,#,nearby,still have,one (measure),very,beautiful,(linker),lake,(particle),#,although,village,inside,live,(linker),people,not many,#,but,can,be self-sufficient,#,therefore,they,every day,"all, also",live,(suffix),very,happy,#,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,都係,呢,條,村,嘅,村民,之一,，,佢,今年,九,歲,，,最,鍾意,就係,放學,之後,去,村,附近,嘅,湖,邊,玩,，,今日,都,唔,例外,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,dou1-hai6,nei1,tiu4,cyun1,ge3,cyun1-man4,zi1-jat1,#,keoi5,gam1-nin4,gau2,seoi3,#,zeoi3,zung1-ji3,zau6-hai6,fong3-hok6,zi1-hau6,heoi3,cyun1,fu6-gan6,ge3,wu4,bin1,waan2,#,gam1-jat6,dou1,m4,lai6-ngoi6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,also is,this,(measure),village,’s,villager,one of,#,she,this year,nine,year-old,#,most,like,which is,after school,after,go,village,nearby,(linker),lake,side,to play,#,today,"all, also",not,exception,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,Saru,！,你,喺,湖,邊,做咩,呀,？,」,同學,喺,遠處,大叫,問,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Saru,#,nei5,hai2,wu4,bin1,zou6-me1,aa3,#,#,tung4-hok6,hai2,jyun5-cyu3,daai6-giu3,man6,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Saru,#,you,at,lake,side,doing what,(particle),#,#,schoolmate,at,from far away,shout,to ask,she,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,就,大叫,答,返,佢哋,：,「,我,捉,緊,蜻蜓,呀,！,你哋,都,一齊,吖,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,zau6,daai6-giu3,daap3,faan1,keoi5-dei6,#,#,ngo5,zuk1,gan2,cing1-ting4,aa3,#,nei5-dei6,dou1,jat1-cai4,aa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,then,shout,to reply,back,they,#,#,I,catch,-ing,dragonfly,(particle),#,you (plural),"all, also",together,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遠處,嘅,同學,聽到,，,唔知,講,咗,啲,咩,，,笑,住,噉,跑,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun5-cyu3,ge3,tung4-hok6,teng1-dou2,#,m4-zi1,gong2,zo2,di1,me1,#,siu3,zyu6,gam2,paau2,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from far away,(linker),schoolmate,heard,#,don't know,say,-en,some,what,#,laugh,-ing,in that way,run,away,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,冇,介意,，,佢,覺得,自己,一個,玩,都,好,開心,，,所以,佢,冇,再,叫,住,啲,同學,，,而,係,繼續,玩,佢,嘅,「,捉,蜻蜓,」,遊戲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,mou5,gaai3-ji3,#,keoi5,gok3-dak1,zi6-gei2,jat1-go3,waan2,dou1,hou2,hoi1-sam1,#,so2-ji5,keoi5,mou5,zoi3,giu3,zyu6,di1,tung4-hok6,#,ji4,hai6,gai3-zuk6,waan2,keoi5,ge3,#,zuk1,cing1-ting4,#,jau4-hei3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saru,don't have,mind,#,she,feel,oneself,one (measure),play,also,very,happy,#,therefore,she,don't have,again,call,-ing,those,schoolmate,#,and,is,continue,to play,she,’s,#,catch,dragonfly,#,game,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,佢,離遠,見到,湖,對面,有,嘢,郁,緊,……,於是,佢,放,輕,腳步,，,靜靜雞,噉,行,過去,，,想,睇,下,係咩,嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
