[0],,,,,,,,,,,,,,,,
明仔,,,,,,,,,,,,,,,,
Ming4-Zai2,,,,,,,,,,,,,,,,
Ming,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,
大家好,，,我,叫,明仔,。,,,,,,,,,,,
daai6-gaa1-hou2,#,ngo5,giu3,Ming4-Zai2,#,,,,,,,,,,,
hi everybody,#,I,call,Ming,#,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,
我,屋企,有,爸爸,、,媽媽,同,細妹,。,,,,,,,,
ngo5,uk1-kei2,jau5,baa4-baa1,#,maa4-maa1,tung4,sai3-mui2,#,,,,,,,,
I,home,there are,father,#,mother,and,younger sister,#,,,,,,,,
[3a],,,,,,,,,,,,,,,,
我,細妹,好,靚,㗎,。,我,好,鍾意,細妹,，,,,,,,
ngo5,sai3-mui2,hou2,leng3,gaa3,#,ngo5,hou2,zung1-ji3,sai3-mui2,#,,,,,,
I,younger sister,very,beautiful,(particle),#,I,really,like,younger sister,#,,,,,,
[3b],,,,,,,,,,,,,,,,
不過,細妹,仲,細,，,成日,喊,。,,,,,,,,,
bat1-gwo3,sai3-mui2,zung6,sai3,#,sing4-jat6,haam3,#,,,,,,,,,
however,younger sister,still,small,#,always,cry,#,,,,,,,,,
[4],,,,,,,,,,,,,,,,
啊,？,細妹,又,喊,喇,。,唔緊要,，,等,我,同,佢,玩,吓,先,。
aa3,#,sai3-mui2,jau6,haam3,laa4,#,m4-gan2-jiu3,#,dang2,ngo5,tung4,keoi5,waan2,haa5,sin1,#
(particle),#,younger sister,again,cry,(particle),#,doesn't matter,#,let,me,with,her,play,a while,first,#
[5a],,,,,,,,,,,,,,,,
「,嘟,嘟,……,嘟,嘟,……,」,,,,,,,,,
#,dut1,dut1,,dut1,dut1,,#,,,,,,,,,
#,toot,toot,#,toot,toot,#,#,,,,,,,,,
[5b],,,,,,,,,,,,,,,,
細妹,你,睇吓,，,呢,架,係,咩,嚟,㗎,？,,,,,,
sai3-mui2,nei5,tai2-haa5,#,nei1,gaa3,hai6,me1,lai4,gaa3,#,,,,,,
younger sister,you,look,#,this,(measure),is,what,is,(particle),#,,,,,,
[5c],,,,,,,,,,,,,,,,
係,火車,啊,。,,,,,,,,,,,,,
hai6,fo2-ce1,aa3,#,,,,,,,,,,,,,
