[0],,,,,,,,,,,,,,,,,,,,,,,,,,
叻,叻,花貓,,,,,,,,,,,,,,,,,,,,,,,,
lek1,lek1,faa1-maau1,,,,,,,,,,,,,,,,,,,,,,,,
smart,smart,kitty,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,
「,救命,！,」,媽媽,喺,個,廳,嗰度,大叫,。,,,,,,,,,,,,,,,,
#,gau3-meng6,#,#,maa4-maa1,hai2,go3,teng1,go2-dou6,daai6-giu3,#,,,,,,,,,,,,,,,,
#,Help!,#,#,mother,at,(measure),living room,there,shout,#,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,
琦琦,跑,入去,，,見到,媽媽,企,喺,張,枱,上面,。,,,,,,,,,,,,,,,
kei4-kei2,paau2,jap6-heoi3,#,gin3-dou2,maa4-maa1,kei5,hai2,zoeng1,toi2,soeng6-min6,#,,,,,,,,,,,,,,,
Kay,to run,in,#,saw,mother,stand,at,(measure),table,above,#,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,
佢,個,口,好,大,，,對,眼,好,細,，,對,手,好,長,，,放,咗,喺,個,頭,上面,。,,,,
keoi5,go3,hau2,hou2,daai6,#,deoi3,ngaan5,hou2,sai3,#,deoi3,sau2,hou2,coeng4,#,fong3,zo2,hai2,go3,tau4,soeng6-min6,#,,,,
she,(measure),mouth,very,big,#,pair,eye,very,small,#,pair,hand,very,long,#,to put,-en,at,(measure),head,above,#,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,
琦琦,問,媽媽,︰,「,乜嘢,事,咁,驚,？,」,,,,,,,,,,,,,,,,
kei4-kei2,man6,maa4-maa1,#,#,mat1-je5,si6,gam3,geng1,#,#,,,,,,,,,,,,,,,,
Kay,to ask,mother,#,#,what,matter,so,afraid,#,#,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,
「,老鼠,！,」,「,哦,！,花貓,又,曳曳,。,」,琦琦,一啲,都,唔,驚,。,,,,,,,,,
#,lou5-syu2,#,#,#,o2,#,faa1-maau1,jau6,jai1-jai1,#,#,kei4-kei2,jat1-di1,dou1,m4,geng1,#,,,,,,,,,
#,mouse,#,#,#,Oh!,#,kitty,again,naughty,#,#,Kay,a bit,"all, also",not,afraid,#,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,
