[title],,,,,,,,,,,,,,,,
我,想,揸,巴士,返學,！,,,,,,,,,,,
ngo5,soeng2,zaa1,baa1-si2,faan1-hok6,#,,,,,,,,,,,
I,want to,drive ,bus,go to school,#,,,,,,,,,,,
[0],,,,,,,,,,,,,,,,
今日,爸爸,媽媽,帶,阿女,去,緊,幼稚園,嗰度,行,。,,,,,,
gam1-jat6,baa4-baa1,maa4-maa1,daai3,aa3-neoi2,heoi3,gan2,jau3-zi6-jyun2,go2-dou6,haang4,#,,,,,,
today,father,mother,bring,daughter,go,-ing,kindergarten,there,walk,#,,,,,,
[1],,,,,,,,,,,,,,,,
爸,：,仲有,十日,就,開學,，,到,嗰陣,就,成日,行,,,,,
baa1,#,zung6-jau5,sap6-jat6,zau6,hoi1-hok6,#,dou3,go2-zan6,zau6,sing4-jat6,haang4,,,,,
dad,#,there are still,ten days,as a result,start school,#,when,that time,as a result,always,walk,,,,,
[2],,,,,,,,,,,,,,,,
呢條,路,㗎喇,，,認,下,啦,阿女,。,,,,,,,,
nei1-tiu4,lou6,gaa3-laa3,#,jing6,haa5,laa1,aa3-neoi2,#,,,,,,,,
this,road,(particle),#,remember,(suffix),(particle),daughter,#,,,,,,,,
[3],,,,,,,,,,,,,,,,
女,：,我,知道,幼稚園,，,媽媽,帶,我,去過,。,,,,,,
neoi2,#,ngo5,zi1-dou3,jau3-zi6-jyun2,#,maa4-maa1,daai3,ngo5,heoi3-gwo3,#,,,,,,
daughter,#,I,know,kindergarten,#,mother,bring,me,went,#,,,,,,
[4],,,,,,,,,,,,,,,,
媽,：,係呀,，,媽媽,嗰陣,帶,你,去,面試,。,開學,之後,，,你,會,
maa1,#,hai6-aa3,#,maa4-maa1,go2-zan6,daai3,nei5,heoi3,min6-si5,#,hoi1-hok6,zi1-hau6,#,nei5,wui5,
mom,#,yes,#,mother,that time,bring,you,go,interview,#,start school,after,#,you,will,
[5],,,,,,,,,,,,,,,,
見,多啲,老師,，,又,可以,識,到,一班,好,朋友,，,到,嗰陣,你,,
gin3,do1-di1,lou5-si1,#,jau6,ho2-ji5,sik1,dou2,jat1-baan1,hou2,pang4-jau5,#,dou3,go2-zan6,nei5,,
meet,more,teacher,#,and,can,know,can,a group of,good,friend,#,when,that time,you,,
[6],,,,,,,,,,,,,,,,
可以,同,啲,朋友,一齊,玩,，,一齊,學習,……,,,,,,,
ho2-ji5,tung4,di1,pang4-jau5,jat1-cai4,waan2,#,jat1-cai4,hok6-zaap6,#,,,,,,,
can,with,some,friend,together,play,#,together,learn,#,,,,,,,
[7],,,,,,,,,,,,,,,,
女,：,我,知道,玩,！,但,咩,係,學習,？,學習,好,重要,嘅,咩,？
neoi2,#,ngo5,zi1-dou3,waan2,#,daan6,me1,hai6,hok6-zaap6,#,hok6-zaap6,hou2,zung6-jiu3,ge3,me1,#
daughter,#,I,know,play,#,but,what,is,learn,#,learn,very,important,-,(particle),#
