[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去,果園,玩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heoi3,gwo2-jyun4,waan2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go to,orchard,to play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,平時,好,忙,㗎,！,好多時,放工,返,到,屋企,，,仔仔,阿木,已經,瞓,咗,，,所以,每逢,放假,，,爸爸,媽媽,都會,帶,阿木,出街,玩,。,一來,想,有,多啲,親子,時間,同,阿木,相處,，,二來,都,想,阿木,開,下,眼界,，,學,多啲,嘢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,ping4-si4,hou2,mong4,gaa3,#,hou2-do1-si4,fong3-gung1,faan1,dou3,uk1-kei2,#,zai4-zai2,aa3-muk6,ji5-ging1,fan3,zo2,#,so2-ji5,mui5-fung4,fong3-gaa3,#,baa4-baa1,maa4-maa1,dou1-wui5,daai3,aa3-muk6,ceot1-gaai1,waan2,#,jat1-loi4,soeng2,jau5,do1-di1,can1-zi2,si4-gaan3,tung4,aa3-muk6,soeng1-cyu5,#,ji6-loi4,dou1,soeng2,aa3-muk6,hoi1,haa5,ngaan5-gaai3,#,hok6,do1-di1,je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,usually,very,busy,(particle),#,most of the time,get off work,return,to,home,#,son,Arden,already,sleep,-en,#,therefore,whenever,holiday,#,father,mother,always will,bring,Arden,go out,to play,#,on the one hand,want to,have,more,parent-child,time,with,Arden,to get along,#,on the other hand,also,want,Arden,broaden,a bit,horizon,#,learn,more,thing,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,星期,難得,有,長,假期,，,爸爸,話,要,趁,呢個,機會,去,遠,啲,，,於是,帶,咗,阿木,同,媽媽,去,新界,，,去,到,新界,最,篤篤,嘅,元朗,，,又,去,到,元朗,最,篤篤,嘅,一個,果園,，,嗰度,出,晒,名,有,好多,唔同,嘅,生果,，,好多,嘢,睇,㗎,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1-go3,sing1-kei4,naan4-dak1,jau5,coeng4,gaa3-kei4,#,baa4-baa1,waa6,jiu3,can3,nei1-go3,gei1-wui6,heoi3,jyun5,di1,#,jyu1-si6,daai3,zo2,aa3-muk6,tung4,maa4-maa1,heoi3,san1-gaai3,#,heoi3,dou3,san1-gaai3,zeoi3,duk1-duk1,ge3,jyun4-long5,#,jau6,heoi3,dou3,jyun4-long5,zeoi3,duk1-duk1,ge3,jat1-go3,gwo2-jyun4,#,go2-dou6,ceot1,saai3,meng2,jau5,hou2-do1,m4-tung4,ge3,saang1-gwo2,#,hou2-do1,je5,tai2,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,week,hard to come by,have,long,holiday,#,father,say,want to,take,this (measure),chance,to go,far,-er,#,so,bring,-en,Arden,and,mother,to go,New Territories,#,go,to,New Territories,most,deep (position),(linker),Yuen Long,#,again,to go,to,Yuen Long,most,deep (position),(linker),one (measure),orchard,#,there,be,all,fame,have,many,different,(linker),fruit,#,many,thing,to look,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然,香港,大部份,嘅,生果,都係,嚟自,世界,各地,，,但,爸爸,話,，,其實,仲有,唔少,人,好,努力,噉,喺,香港,種,緊,生果,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seoi1-jin4,hoeng1-gong2,daai6-bou6-fan6,ge3,saang1-gwo2,dou1-hai6,lei4-zi6,sai3-gaai3,gok3-dei6,#,daan6,baa4-baa1,waa6,#,kei4-sat6,zung6-jau5,m4-siu2,jan4,hou2,nou5-lik6,gam2,hai2,hoeng1-gong2,zung3,gan2,saang1-gwo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
although,Hong Kong,vast majority,(linker),fruit,all is,come from,world,everywhere,#,but,father,say,#,actually,still have,not few,people,very,try one's best,in that way,at,Hong Kong,plant,-ing,fruit,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,香港,有,百份之,九十八,嘅,嘢食,都係,外來,嘅,，,但,掉返轉,噉,講,，,即係,仲有,百份之,二,嘅,食物,，,係,好似,阿木,你,噉樣,土生土長,㗎,！,」,搭,緊,巴士,嗰陣,，,爸爸,噉樣,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hoeng1-gong2,jau5,baak3-fan6-zi1,gau2-sap6-baat3,ge3,je5-sik6,dou1-hai6,ngoi6-loi4,ge3,#,daan6,diu6-faan1-zyun3,gam2,gong2,#,zik1-hai6,zung6-jau5,baak3-fan6-zi1,ji6,ge3,sik6-mat6,#,hai6,hou2-ci5,aa3-muk6,nei5,gam2-joeng2,tou2-sang1-tou2-zoeng2,gaa3,#,#,daap3,gan2,baa1-si2,go2-zan2,#,baa4-baa1,gam2-joeng2,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hong Kong,have,percent,ninety-eight,(linker),food,also is,from outside,(particle),#,but,turned inverse,in this way,to say,#,that means,still have,percent,two,(linker),food,#,is,just like,Arden,you,in this way,born and grown locally,(particle),#,#,take,-ing,bus,that time,#,father,in this way,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,落車,啦,！,一,到,咗,果園,，,爸爸,就,問,仔仔,：,「,阿木,你,認唔認,到,咁,多,唔同,種類,嘅,生果,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,lok6-ce1,laa3,#,jat1,dou3,zo2,gwo2-jyun4,#,baa4-baa1,zau6,man6,zai4-zai2,#,#,aa3-muk6,nei5,jing6-m4-jing6,dou2,gam3,do1,m4-tung4,zung2-leoi6,ge3,saang1-gwo2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finally,get off,(particle),#,once,arrive,-en,orchard,#,father,then,ask,son,#,#,Arden,you,recognise or not,(suffix),so,many,different,type,(linker),fruit,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿木,即刻,答,：,「,我,知,！,香蕉,係,白色,㗎嘛,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-muk6,zik1-hak1,daap3,#,#,ngo5,zi1,#,hoeng1-ziu1,hai6,baak6-sik1,gaa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden,immediately,reply,#,#,I,know,#,banana,is,white,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,媽媽,即刻,笑,到,收唔到,聲,，,佢哋,指住,眼前,嘅,黃色,物體,話,畀,阿木,知,，,前面,嗰啲,就係,香蕉,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,maa4-maa1,zik1-hak1,siu3,dou3,sau1-m4-dou2,seng1,#,keoi5-dei6,zi2-zyu6,ngaan5-cin4,ge3,wong4-sik1,mat6-tai2,waa6,bei2,aa3-muk6,zi1,#,cin4-min6,go2-di1,zau6-hai6,hoeng1-ziu1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,mother,immediately,laugh,to,cannot hold,voice,#,they,point at,before one's eyes,(linker),yellow,object,tell,to,Arden,to know,#,front,those,then is,banana,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,，,香蕉,係,黃色,嘅,！,媽媽,平時,整,香蕉船,畀,阿木,食,嗰陣,，,啲,香蕉,全部,都,切,好,晒,，,所以,阿木,先,以為,香蕉,係,白色,嘅,。,不過,睇真啲,，,除咗,黃色,，,仲有,啲,香蕉,係,綠色,㗎,喎,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,#,hoeng1-ziu1,hai6,wong4-sik1,ge3,#,maa4-maa1,ping4-si4,zing2,hoeng1-ziu1-syun4,bei2,aa3-muk6,sik6,go2-zan6,#,di1,hoeng1-ziu1,cyun4-bou6,dou1,cit3,hou2,saai3,#,so2-ji5,aa3-muk6,sin1,ji5-wai4,hoeng1-ziu1,hai6,baak6-sik1,ge3,#,bat1-gwo3,tai2-zan1-di1,#,ceoi4-zo2,wong4-sik1,#,zung6-jau5,di1,hoeng1-ziu1,hai6,luk6-sik1,ga3,wo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,#,banana,is,yellow,(particle),#,mother,usually,make,banana boat,to,Arden,to eat,that time,#,those,banana,all,"all, also",cut,well,all,#,therefore,Arden,then,think,banana,is,white,(particle),#,however,look closer,#,except,yellow,#,still have,some,banana,is,green,(particle),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
