[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
春,日,飛,燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceon1,jat6,fei1,jin3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring,day,flying,swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
元朗,有,一,座,好,大,嘅,山,，,山,下,就,係,夏兒,屋企,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-long5,jau5,jat1,zo6,hou2,daai6,ge3,saan1,#,saan1,haa6,zau6,hai6,haa6-ji4,uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuen Long,have,one,(measure),very,big,-,hill,#,hill,under,then,is,Hailey,home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏兒,住,喺,一,條,好,細,嘅,村,，,每,間,屋,都,淨係,得,兩,層,高,，,好多,人,都,搬,晒,去,市區,住,喇,。,夏兒,一,家,係,少數,會,留,喺,呢,條,村,嘅,人,，,除咗,佢哋,，,仲有,啲,公公,婆婆,喺度,住,。
haa6-ji4,zyu6,hai2,jat1,tiu4,hou2,sai3,ge3,cyun1,#,mui5,gaan1,uk1,dou1,zing6-hai6,dak1,loeng5,cang4,gou1,#,hou2-do1,jan4,dou1,bun1,saai3,heoi3,si5-keoi1,zyu6,laa3,#,haa6-ji4,jat1,gaa1,hai6,siu2-sou3,wui5,lau4,hai2,nei1,tiu4,cyun1,ge3,jan4,#,ceoi4-zo2,keoi5-dei6,#,zung6-jau5,di1,gung1-gung1,po4-po2,hai2-dou6,zyu6,#
Hailey,to live,at,one,(measure),very,small,-,village,#,every,(measure),house,all,only,have,two,layer,tall,#,many,human,all,to move,all,to go,urban area,to live,already,#,Hailey,one,family,is,minority,will,to stay,at,this,(measure),village,-,human,#,except,they,#,still have,some,old man,old woman,right here,to live,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,媽媽,帶,夏兒,同,細佬,一齊,行山,，,佢哋,喺,山,上,見到,好多,唔同,嘅,花草,樹木,，,仲有,野豬,一,家,喺,水,邊,散步,。,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,#,maa4-maa1,daai3,haa6-ji4,tung4,sai3-lou2,jat1-cai4,haang4-saan1,#,keoi5-dei6,hai2,saan1,soeng6,gin3-dou2,hou2-do1,m4-tung4,ge3,faa1-cou2,syu6-muk6,#,zung6-jau5,je5-zyu1,jat1,gaa1,hai2,seoi2,bin1,saan3-bou6,#,,,,,,,,,,,,,,,,,,,,,,,,
today,#,mother,bring,Hailey,and,younger brother,together,to hike,#,they,at,hill,top,to see,many,different,-,flowers and plants,trees,#,still have,hog,one,family,at,water,side,go for a walk,#,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘩,！,有,馬騮,喺,樹,上,飛,嚟,飛,去,！,佢哋,嘅,手臂,好,長,啊,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waa3,#,jau5,maa5-lau1,hai2,syu6,soeng6,fei1,lai4,fei1,heoi3,#,keoi5-dei6,ge3,sau2-bei3,hou2,coeng4,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wow!,#,have,monkey,at,tree,top,to fly,to come,to fly,to go,#,they,s,arm,very,long,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,夏兒,見到,一,隻,雀仔,，,佢,瞓,喺,樹,上,郁,都,唔,郁,，,似,係,受,咗,傷,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,haa6-ji4,gin3-dou2,jat1,zek3,zoek3-zai2,#,keoi5,fan3,hai2,syu6,soeng6,juk1,dou1,m4,juk1,#,ci5,hai6,sau6,zo2,soeng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all at once,#,Hailey,to see,one,(measure),bird,#,she,to sleep,at,tree,go up,to move,all,not,to move,#,seem,is,get,-ed,injured,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,！,你,過,嚟,睇下,！,」,夏兒,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,maa4-maa1,#,nei5,gwo3,lai4,tai2-haa5,#,#,haa6-ji4,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mother,#,you,to pass,to come,to look,#,#,Hailey,to say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,咦,，,係,隻,燕子,喎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,waa6,#,#,ji2,#,hai6,zek3,jin3-zi2,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,to say,#,#,Look!,#,is,(measure),swallow,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,隻,燕子,冇,媽媽,睇住,，,可能,會,死,㗎,！,媽媽,，,我哋,可唔可以,帶,佢,返屋企,啊,？,」,夏兒,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zek3,jin3-zi2,mou5,maa4-maa1,tai2-zyu6,#,ho2-nang4,wui5,sei2,gaa3,#,maa4-maa1,#,ngo5-dei6,ho2-m4-ho2-ji5,daai3,keoi5,faan1-uk1-kei2,aa3,#,#,haa6-ji4,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(measure),swallow,don't have,mother,look after,#,possible,will,to die,(particle),#,mother,#,we,can or cannot,bring,it,to go home,(particle),#,#,Hailey,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,見,夏兒,好,想,救,隻,雀仔,，,就,畀,佢,帶,隻,雀仔,返去,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,gin3,haa6-ji4,hou2,soeng2,gau3,zek3,zoek3-zai2,#,zau6,bei2,keoi5,daai3,zek3,zoek3-zai2,faan1-heoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,see,Hailey,very,to want,to save,(measure),bird,#,then,to give,her,bring,(measure),bird,to go back,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏兒,將,隻,燕子,放,喺,一個,摸,上,手,好,舒服,嘅,紫,色,袋,入面,，,又,拎,咗,幾,粒,果子,畀,佢,食,。,,,,,,,,,,,,,,,,,,,,,,,,,,
haa6-ji4,zoeng1,zek3,jin3-zi2,fong3,hai2,jat1-go3,mo2,soeng5,sau2,hou2,syu1-fuk6,ge3,zi2,sik1,doi6,jap6-min6,#,jau6,ling1,zo2,gei2,lap1,gwo2-zi2,bei2,keoi5,sik6,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Hailey,to take,(measure),swallow,to put,at,one,to feel,on,hand,very,comfortable,-,purple,colour,bag,inside,#,again,take,-ed,a few,(particle),fruit,to give,it,to eat,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟住,媽媽,帶,佢哋,去,揾,大,伯伯,，,大,伯伯,養,咗,好多,雀仔,，,佢,應該,知道,點樣,救,燕子,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gan1-zyu6,maa4-maa1,daai3,keoi5-dei6,heoi3,wan2,daai6,baak3-baak3,#,daai6,baak3-baak3,joeng5,zo2,hou2-do1,zoek3-zai2,#,keoi5,jing1-goi1,zi1-dou3,dim2-joeng2,gau3,jin3-zi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and then,mother,bring,they,to go,to find,big,uncle,#,big,uncle,to keep (pet),-ed,many,bird,#,he,should,to know,how to,to save,swallow,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大,伯伯,一路,執,藥,入,布,袋,，,一路,話,：,「,通常,燕子,都,係,一家人,一齊,飛,，,呢,隻,蕩失路,嘅,小,燕子,，,可能,要,到,出年,先,可以,見,返,屋企人,喇,！,」,,,,,,,,,,,,,,
daai6,baak3-baak3,jat1-lou6,zap1,joek6,jap6,bou3,doi2,#,jat1-lou6,waa6,#,#,tung1-soeng4,jin3-zi2,dou1,hai6,jat1-gaa1-jan4,jat1-cai4,fei1,#,nei1,zek3,dong6-sat1-lou6,ge3,siu2,jin3-zi2,#,ho2-nang4,jiu3,dou3,ceot1-nin2,sin1,ho2-ji5,gin3,faan1,uk1-kei2-jan4,laa3,#,#,,,,,,,,,,,,,,
big,uncle,while,pick up,medicine,to enter,cloth,bag,#,while,to say,#,#,usually,swallow,all,is,whole family,together,to fly,#,this,(measure),lost,-,little,swallow,#,possible,to need,to,next year,then,can,to meet,back,family,(particle),#,#,,,,,,,,,,,,,,
[Line 13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,要,等,到,出年,咁,耐,？,」,夏兒,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,jiu3,dang2,dou3,ceot1-nin2,gam3,noi6,#,#,haa6-ji4,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,why,to want,to wait,to,next year,so,long time,#,#,Hailey,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,因為,冬天,就,到,喇,！,冬天,呢,，,地下,冇,晒,果子,同,蟲,仔,，,燕子,冇,嘢食,，,就,要,飛,去,暖,啲,嘅,地方,揾,食,。,」,大,伯伯,話,。,,,,,,,,,,,,,,,,
#,jan1-wai6,dung1-tin1,zau6,dou3,laa3,#,dung1-tin1,ne1,#,dei6-haa2,mou5,saai3,gwo2-zi2,tung4,cung4,zai2,#,jin3-zi2,mou5,je5-sik6,#,zau6,jiu3,fei1,heoi3,nyun5,di1,ge3,dei6-fong1,wan2,sik6,#,#,daai6,baak3-baak3,waa6,#,,,,,,,,,,,,,,,,
#,because,winter,almost,arrive,(particle),#,winter,(particle),#,floor,don't have,all,fruit,and,worm,little,#,swallow,don't have,food,#,then,need,to fly,to go,warm,-er,-,place,to find,to eat,#,#,big,uncle,to say,#,,,,,,,,,,,,,,,,
[Line 15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,即係,要,等,到,出年,春天,，,佢,先,可以,揾,返,屋企人,？,」,夏兒,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zik1-hai6,jiu3,dang2,dou3,ceot1-nin2,ceon1-tin1,#,keoi5,sin1,ho2-ji5,wan2,faan1,uk1-kei2-jan4,#,#,haa6-ji4,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,that means,need,to wait,to,next year,spring,#,it,then,can,to find,back,family,#,#,Hailey,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,啊,！,所以,呢,段,時間,，,隻,燕子,就,靠,晒,你,喇,！,」,大,伯伯,講,完,，,就,將,袋,住,紗布,同,藥,嘅,布,袋,畀,咗,夏兒,。,,,,,,,,,,,,,,,,,
#,hai6,aa3,#,so2-ji5,nei1,dyun6,si4-gaan3,#,zek3,jin3-zi2,zau6,kaau3,saai3,nei5,laa3,#,#,daai6,baak3-baak3,gong2,jyun4,#,zau6,zoeng1,doi6,zyu6,saa1-bou3,tung4,joek6,ge3,bou3,doi2,bei2,zo2,haa6-ji4,#,,,,,,,,,,,,,,,,,
#,yes,(particle),#,therefore,this,(particle),time,#,(measure),swallow,then,to depend on,all,you,(particle),#,#,big,uncle,to say,finish,#,then,to take,carry,-ing,gauze,and,medicine,-,cloth,bag,to give,-ed,Hailey,#,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
