[0],,,,,,,,,,,,,,
盒,,,,,,,,,,,,,,
hap2,,,,,,,,,,,,,,
box,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,
我,有,一個,細,木,盒,，,放,咗,喺,屋企,。,,,
ngo5,jau5,jat1-go3,sai3,muk6,hap2,#,fong3,zo2,hai2,uk1-kei2,#,,,
I,have,one,small,wood,box,#,put,-ed,at,home,#,,,
[1b],,,,,,,,,,,,,,
盒,入面,都係,我,鍾意,嘅,嘢,。,,,,,,,
hap2,jap6-min6,dou1-hai6,ngo5,zung1-ji3,ge3,je5,#,,,,,,,
box,inside,also,my,favourite,('s),thing,#,,,,,,,
[2],,,,,,,,,,,,,,
盒,入面,啲,公仔,好,靚,，,係,啲,豬仔,公仔,，,我,好鍾意,。
hap6,jap6-min6,di1,gung1-zai2,hou2,leng3,#,hai6,di1,zyu1-zai2,gung1-zai2,#,ngo5,hou2-zung1-ji3,#
box,inside,some,doll,very,beautiful,#,is,some,piglet,doll,#,I,like a lot,#
[3],,,,,,,,,,,,,,
我,成日,睇,麥兜,、,麥嘜,同,Peppa,Pig,。,,,,,
ngo5,sing4-jat6,tai2,mak6-dau1,#,mak6-mak1,tung4,Peppa,Pig,#,,,,,
I,always,watch,McDull,#,McMug,and,Peppa,Pig,#,,,,,
[4],,,,,,,,,,,,,,
啲,公仔,細,啲,，,佢哋,大隻,啲,。,,,,,,
di1,gung1-zai2,sai3,di1,#,keoi5-dei6,daai6-zek3,di1,#,,,,,,
some,doll,small,-er,#,they,big,-er,#,,,,,,
[5a],,,,,,,,,,,,,,
我,好鍾意,麥兜,、,麥嘜,同,Peppa,Pig,。,,,,,,
ngo5,hou2-zung1-ji3,mak6-dau1,#,mak6-mak1,tung4,Peppa,Pig,#,,,,,,
I,like a lot,McDull,#,McMug,and,Peppa,Pig,#,,,,,,
[5b],,,,,,,,,,,,,,
我,想,同,佢哋,做,朋友,，,同,佢哋,一齊,玩,。,,,
ngo5,soeng2,tung4,keoi5-dei6,zou6,pang4-jau5,#,tung4,keoi5-dei6,jat1-cai4,waan2,#,,,
I,want,and,them,make,friend,#,with,they,together,play,#,,,
[6a],,,,,,,,,,,,,,
盒,入面,有,好多,車仔,。,,,,,,,,,
hap2,jap6-min6,jau5,hou2-do1,ce1-zai2,#,,,,,,,,,
box,inside,have,many,little car,#,,,,,,,,,
[6b],,,,,,,,,,,,,,
我,好鍾意,玩,，,有,巴士,、,地鐵,、,小巴,同,電車,。,,
ngo5,hou2-zung1-ji3,waan2,#,jau5,baa1-si2,#,dei6-tit3,#,siu2-baa1,tung4,din6-ce1,#,,
I,like a lot,play,#,there is,bus,#,MTR,#,minibus,and,tram,#,,
[7a],,,,,,,,,,,,,,
我,全部,都,搭,過,。,,,,,,,,,
ngo5,cyun4-bou6,dou1,daap3,gwo3,#,,,,,,,,,
I,all,also,take,-ed,#,,,,,,,,,
[7b],,,,,,,,,,,,,,
我,鍾意,搭,車,，,我,都,鍾意,行路,。,,,,,
ngo5,zung1-ji3,daap3,ce1,#,ngo5,dou1,zung1-ji3,haang4-lou6,#,,,,,
I,like,take,car,#,I,also,like,walk,#,,,,,
[7c],,,,,,,,,,,,,,
我,想,去,多啲,地方,。,,,,,,,,,
ngo5,soeng2,heoi3,do1-di1,dei6-fong1,#,,,,,,,,,
I,want,to go,more,place,#,,,,,,,,,
[8],,,,,,,,,,,,,,
盒,入面,有,一張,紙,，,我,用,佢,嚟,畫,公仔,。,,
hap2,jap6-min6,jau5,jat1-zoeng1,zi2,#,ngo5,jung6,keoi5,lai4,waak6,gung1-zai2,#,,
box,inside,have,a piece,paper,#,I,use,it,to,draw,doll,#,,
[9a],,,,,,,,,,,,,,
我,鍾意,畫,公仔,。,,,,,,,,,,
ngo5,zung1-ji3,waak6,gung1-zai2,#,,,,,,,,,,
I,like,draw,doll,#,,,,,,,,,,
[9b],,,,,,,,,,,,,,
我,識,畫,火柴人,，,又,識,畫,雪人,。,,,,,
ngo5,sik1,waak6,fo2-caai4-jan4,#,jau6,sik1,waak6,syut3-jan4,#,,,,,
I,know,draw,fire-stickman,#,again,know,draw,snowman,#,,,,,
[10a],,,,,,,,,,,,,,
我,鍾意,雪人,多,過,火柴人,。,,,,,,,,
ngo5,zung1-ji3,syut3-jan4,do1,gwo3,fo2-caai4-jan4,#,,,,,,,,
I,like,snowman,more,than,fire-stickman,#,,,,,,,,
[10b],,,,,,,,,,,,,,
我,想,去,睇,雪,，,同,爸爸,媽媽,一齊,砌,雪人,。,,
ngo5,soeng2,heoi3,tai2,syut3,#,tung4,baa4-baa1,maa4-maa1,jat1-cai4,cai3,syut3-jan4,#,,
I,want,to go,see,snow,#,with,father,mother,together,build,snowman,#,,
