[2a],,,,,,,,,,,,,,,,,,
今日,，,我,同,爸爸,、,媽媽,、,細佬,，,一齊,出去,睇,婆婆,。,,,,
gam1-jat6,#,ngo5,tung4,baa4-baa1,#,maa4-maa1,#,sai3-lou2,#,jat1-cai4,ceot1-heoi3,tai2,po4-po2,#,,,,
today,#,I,with,father,#,mother,#,younger brother,#,together,go out,to see,grandma,#,,,,
[2b],,,,,,,,,,,,,,,,,,
我,好耐,冇,見,婆婆,喇,！,我,好,掛住,佢,。,,,,,,,
ngo5,hou2-noi6,mou5,gin3,po4-po2,laa3,#,ngo5,hou2,gwaa3-zyu6,keoi5,#,,,,,,,
I,a long time,didn't,see,grandma,already,#,I,very,miss,her,#,,,,,,,
[3a],,,,,,,,,,,,,,,,,,
婆婆,屋企,出面,有,個,大,花園,。,花園,度,有,芒果,樹,。,,,,,
po4-po2,uk1-kei2,ceot1-min6,jau5,go3,daai6,faa1-jyun2,#,faa1-jyun2,dou6,jau5,mong1-gwo2,syu6,#,,,,,
grandma,home,outside,there is,(measure),big,garden,#,garden,there,there is,mango,tree,#,,,,,
[3b],,,,,,,,,,,,,,,,,,
芒果,樹,上面,有,好多,雀仔,。,,,,,,,,,,,,
mong1-gwo2,syu6,soeng6-min6,jau5,hou2-do1,zoek3-zai2,#,,,,,,,,,,,,
mango,tree,above,there is,many,birds,#,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,
我,匿,咗,上去,芒果,樹,上面,，,靜靜,坐,喺度,。,,,,,,,
ngo5,nei1,zo2,soeng5-heoi3,mong1-gwo2,syu6,soeng6-min6,#,zing6-zing2,co5,hai2-dou6,#,,,,,,,
I,hide,-ed,up there,mango,tree,above,#,quietly,sit,right here,#,,,,,,,
[4b],,,,,,,,,,,,,,,,,,
呢度,好,正,，,冇,人,知道,我,匿,喺度,。,,,,,,,,
ni1-dou6,hou2,zeng3,#,mou5,jan4,zi1-dou3,ngo5,nei1,hai2-dou6,#,,,,,,,,
here,very,good,#,don't have,people,know,I,hide,right here,#,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,
爸爸,以為,我,匿,喺,水,井,度,，,佢,揾,唔到,我,。,,,,,
baa4-baa1,ji5-wai4,ngo5,nei1,hai2,seoi2,zeng2,dou6,#,keoi5,wan2,m4-dou2,ngo5,#,,,,,
father,think,I,hide,at,water,well,there,#,he,find,cannot,me,#,,,,,
[5b],,,,,,,,,,,,,,,,,,
媽媽,以為,我,匿,喺,啲,牛,度,，,佢,都,揾,唔到,我,。,,,,
maa4-maa1,ji5-wai4,ngo5,nei1,hai2,di1,ngau4,dou6,#,keoi5,dou1,wan2,m4-dou2,ngo5,#,,,,
mother,think,I,hide,at,those,cows,there,#,she,also,find,cannot,me,#,,,,
[6],,,,,,,,,,,,,,,,,,
啊,！,婆婆,隻,狗仔,揾到,我,！,佢,知道,我,喺度,！,,,,,,
aa1,#,po4-po2,zek3,gau2-zai2,wan2-dou2,ngo5,#,keoi5,zi1-dou3,ngo5,hai2-dou6,#,,,,,,
(particle),#,grandma,(measure),puppy,find,me,#,it,know,I,right here,#,,,,,,
[7a],,,,,,,,,,,,,,,,,,
原來,婆婆,見,唔到,我,，,佢,好,驚,。,佢,揾,緊,我,。,,,,
jyun4-loi4,po4-po2,gin3,m4-dou2,ngo5,#,keoi5,hou2,geng1,#,keoi5,wan2,gan2,ngo5,#,,,,
it turns out,grandma,see,cannot,me,#,she,very,afraid,#,she,find,-ing,me,#,,,,
[7b],,,,,,,,,,,,,,,,,,
我,落,返嚟,，,攬住,婆婆,，,叫,佢,唔使,驚,。,「,我,會,聽話,㗎喇,。,」
ngo5,lok6,faan1-lai4,#,laam2-zyu6,po4-po2,#,giu3,keoi5,m4-sai2,geng1,#,#,ngo5,wui5,teng1-waa6,gaa3-laa3,#,#
I,go down,back,#,hug,grandma,#,ask,her,need not,afraid,#,#,I,will,behave,(particle),#,#
[7c],,,,,,,,,,,,,,,,,,
聽到,我,噉,講,，,婆婆,對住,我,笑,。,,,,,,,,,
teng1-dou2,ngo5,gam2,gong2,#,po4-po2,deoi3-zyu6,ngo5,siu3,#,,,,,,,,,
hear,I,in this way,say,#,grandma,towards,me,smile,#,,,,,,,,,
