[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
懶,叔叔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laan5,suk1-suk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lazy,uncle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,鈴鈴,！,」,美美,同,信信,即刻,跑,去,門口,開門,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ling1-ling1,#,#,Mei5-mei5,tung4,Seon3-seon3,zik1-hak1,paau2,heoi3,mun4-hau2,hoi1-mun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(Bell rings),#,#,May,and,Samson,at once,run,to go,doorway,to open the door,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,叔叔,呀,！,」,兩,個,人,一齊,撲,上去,攬住,叔叔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hai6,suk1-suk1,aa3,#,#,loeng5,go3,jan4,jat1-cai4,pok3,soeng5-heoi3,laam2-zyu6,suk1-suk1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,is,uncle,(particle),#,#,two,(measure),human,together,pounce,on,to hug,uncle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叔叔,成日,都,帶,好多,禮物,送,畀,兩,個,小朋友,，,美美,同,信信,都,好,鍾意,叔叔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suk1-suk1,sing4-jat6,dou1,daai3,hou2-do1,lai5-mat6,sung3,bei2,loeng5,go3,siu2-pang4-jau5,#,Mei5-mei5,tung4,Seon3-seon3,dou1,hou2,zung1-ji3,suk1-suk1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,always,also,carry,many,gifts,to give,to,two,(measure),children,#,May,and,Samson,also,really,like,uncle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,叔叔,有,樣,嘢,唔好,，,就係,懶,。,佢,成日,坐,喺,梳化,睇,書,、,睇,電視,、,瞓覺,，,乜,都,唔做,。,,,,,,,,,,,,,,,,,,,,,,,
daan6,suk1-suk1,jau5,joeng6,je5,m4-hou2,#,zau6-hai6,laan5,#,keoi5,sing4-jat6,zo6,hai2,so1-faa2,tai2,syu1,#,tai2,din6-si6,#,fan3-gaau3,#,mat1,dou1,m4-zou6,#,,,,,,,,,,,,,,,,,,,,,,,
but,uncle,have,kind of,thing,not good,#,is,lazy,#,he,always,sit,at,sofa,to look,book,#,to look,television,#,to sleep,#,what,all,don't do,#,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,日,媽媽,忍唔住,問,叔叔,：,「,你,到底,坐,夠,未,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni1,jat6,maa4-maa1,jan2-m4-zyu6,man6,suk1-suk1,#,#,nei5,dou3-dai2,co5,gau3,mei6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,day,mother,cannot resist,to ask,uncle,#,#,you,exactly,sit,enough,not yet,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叔叔,望一望,媽媽,，,笑笑口,噉,話,：,「,差唔多,啦,。,聽日,我,就,要,上山,下海,同,睇,老虎,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,
suk1-suk1,mong6-jat1-mong6,maa4-maa1,#,siu3-siu3-hau2,gam2,waa6,#,#,caa1-m4-do1,laa1,#,ting1-jat6,ngo5,zau6,jiu3,soeng5-saan1,haa6-hoi2,tung4,tai2,lou5-fu2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,take a look,mother,#,smiling,in this way,to say,#,#,almost,(particle),#,tomorrow,I,then,need to,climb the mountain,go to sea,and,to look,tiger,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,講笑,你,就,識,！,」,媽媽,都,冇佢咁好氣,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gong2-siu3,nei5,zau6,sik1,#,#,maa4-maa1,dou1,mou5-keoi5-gam3-hou2-hei3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,kidding,you,then,know,#,#,mother,also,don't want to waste time on him,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二,日,，,叔叔,一個人,坐,喺,梳化,上,自言自語,：,「,嘩,！,好,靚,呀,！,喂,！,咪,埋嚟,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ji6,jat6,#,suk1-suk1,jat1-go3-jan4,zo6,hai2,so1-faa2,soeng5,zi6-jin4-zi6-jyu5,#,#,waa3,#,hou2,leng3,aa3,#,wai3,#,mai5,maai4-lai4,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
the next,day,#,uncle,alone,sit,at,sofa,above,talk to oneself,#,#,Wow!,#,very,good-looking,(particle),#,Hey!,#,don't,come over,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美美,同,信信,聽到,，,就,去,睇下,發生,咩,事,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei5-mei5,tung4,Seon3-seon3,teng1-dou2,#,zau6,heoi3,tai2-haa5,faat3-sang1,me1,si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,and,Samson,heard,#,as a result,to go,to see,happen,what,matter,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,叔叔,戴,咗,副,好,大,嘅,黑色,眼鏡,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,suk1-suk1,daai3,zo2,fu3,hou2,daai6,ge3,hak1-sik1,ngaan5-geng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,uncle,put on,-ed,pair of,very,big,-,black,eyeglasses,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美美,拍拍,叔叔,，,問,：,「,呢,副,係,咩,眼鏡,嚟,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei5-mei5,paak3-paak3,suk1-suk1,#,man6,#,#,ni1,fu3,hai6,me1,ngaan5-geng2,lai4,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,pat,uncle,#,ask,#,#,this,pair,is,what,eyeglasses,is,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叔叔,就,除低,眼鏡,畀,美美,試,戴,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suk1-suk1,zau6,ceoi4-dai1,ngaan5-geng2,bei2,Mei5-mei5,si3,daai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,then,take off,eyeglasses,to give,May,to try,to put on,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
眼鏡,好,黑,，,美美,咩,都,睇,唔到,。,然後,叔叔,撳,咗,一,個,掣,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaan5-geng2,hou2,hak1,#,Mei5-mei5,me1,dou1,tai2,m4-dou2,#,jin4-hau6,suk1-suk1,gam6,zo2,jat1,go3,zai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyeglasses,very,black,#,May,what,all,to look,cannot,#,then,uncle,to press,-ed,one,(measure),button,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哇,！,美美,入,咗,海底,世界,呀,！,下面,有,魚,，,左邊,有,龜,，,右邊,仲有,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waa3,#,Mei5-mei5,jap6,zo2,hoi2-dai2,sai3-gaai3,aa3,#,haa6-min6,jau5,jyu2,#,zo2-bin1,jau5,gwai1,#,jau6-bin1,zung6-jau5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wow,#,May,enter,-ed,undersea,world,(particle),#,below,have,fish,#,left,have,turtle,#,right,still have,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,啊,！,」,美美,大叫,咗,聲,，,係,好,大,嘅,鯊魚,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aa1,#,#,mei5-mei5,daai6-giu3,zo2,seng1,#,hai6,hou2,daai6,ge3,saa1-jyu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(particle),#,#,May,shout,-ed,sound,#,is,very,big,-,shark,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,又,要,睇,！,我,又,要,睇,！,」,喺,美美,隔籬,嘅,信信,都,想,試下,副,眼鏡,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jau6,jiu3,tai2,#,ngo5,jau6,jiu3,tai2,#,#,hai2,Mei5-mei5,gaak3-lei4,ge3,Seon3-seon3,dou1,soeng2,si3-haa5,fu3,ngaan5-geng2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,also,want to,look,#,I,also,want to,look,#,#,at,May,next to,-,Samson,also,want to,try,pair of,eyeglasses,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好,，,到你,戴,。,」,叔叔,幫,信信,戴,好,眼鏡,，,又,撳,咗,個,掣,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2,#,dou3-nei5,daai3,#,#,suk1-suk1,bong1,Seon3-seon3,daai3,hou2,ngaan5-geng2,#,jau6,gam6,zo2,go3,zai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,very,#,your turn,to put on,#,#,uncle,help,Samson,put on,well,eyeglasses,#,again,press,-ed,(measure),button,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嘩,，,係,鹿,同,馬騮,！,仲有,天鵝,喺度,飛,……,」,信信,睇到,嘅,係,一,片,樹林,，,耳,邊,仲,傳,嚟,好多,雀仔,聲,。,,,,,,,,,,,,,,,,,,,
#,waa3,#,hai6,luk2,tung4,maa5-lau1,#,zung6-jau5,tin1-ngo4,hai2-dou6,fei1,#,#,Seon3-seon3,tai2-dou2,ge3,hai6,jat1,pin3,syu6-lam4,#,ji5,bin1,zung6,cyun4,lai4,hou2-do1,zoek3-zai2,seng1,#,,,,,,,,,,,,,,,,,,,
#,Wow!,#,is,deer,and,monkey,#,still have,swan,right here,to fly,#,#,Samson,saw,-,is,a,(measure),woods,#,ear,side,even,pass on,to come,many,birds,sound,#,,,,,,,,,,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叔叔,救命,！,有,老虎,呀,！,」,信信,突然,大嗌,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,suk1-suk1,gau3-meng6,#,jau5,lou5-fu2,aa3,#,#,Seon3-seon3,dat6-jin4,daai6-aai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,uncle,Help!,#,have,tiger,(particle),#,#,Samson,suddenly,shout,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叔叔,搭住,信信,膊頭,，,笑,住,話,：,「,唔使,驚,，,VR,嚟,咋,，,你,不知幾,安全,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suk1-suk1,daap6-zyu6,Seon3-seon3,bok3-tau4,#,siu3,zyu6,waa6,#,#,m4-sai2,geng1,#,VR,lai4,zaa3,#,nei5,bat1-zi1-gei2,on1-cyun4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,hold,Samson,shoulder,#,laugh,-ing,to say,#,#,no need to,afraid,#,VR,is,only,#,you,very,safe,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,VR,？,」,美美,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,VR,#,#,Mei5-mei5,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,VR,#,#,May,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,VR,即係,『,虛擬現實,』,，,即係,唔係,真,嘅,，,但,整到,好似,真,嘅,一樣,。,好似,睇,電影,，,啲,畫面,係,喺,我哋,面前,，,只係,我哋,戴,咗,VR,眼鏡,，,感覺,就,好似,入,咗,電影,入面,噉,。,」,叔叔,解釋,。
#,VR,zik1-hai6,#,heoi1-ji5-jin6-sat6,#,#,zik1-hai6,m4-hai6,zan1,ge3,#,daan6,zing2-dou3,hou2-ci5,zan1,ge3,jat1-joeng6,#,hou2-ci5,tai2,din6-jing2,#,di1,waa2-min2,hai6,hai2,ngo5-dei6,min6-cin4,#,zi2-hai6,ngo5-dei6,daai3,zo2,VR,ngaan5-geng2,#,gam2-gok3,zau6,hou2-ci5,jap6,zo2,din6-jing2,jap6-min6,gam2,#,#,suk1-suk1,gaai2-sik1,#
#,VR,that means,#,Virtual Reality,#,#,that means,is not,true,-,#,but,made,seems,true,-,the same,#,seems,to watch,film,#,those,scenes,are,at,us,in front of,#,only,we,put on,-ed,VR,eyeglasses,#,feel,as a result,seems,to enter,-ed,film,inside,like,#,#,uncle,explain,#
[11a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點,呀,？,我哋,呢,個,暑假,一於,一齊,入,VR,世界,探險,啦,？,」,叔叔,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2,aa3,#,ngo5-dei6,ni1,go3,syu2-gaa3,jat1-jyu1,jat1-cai4,jap6,VR,sai3-gaai3,taam3-him2,laa1,#,#,suk1-suk1,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,how,(particle),#,we,this,(measure),summer vacation,let us,together,enter,VR,world,explore,(particle),#,#,uncle,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嗯,……,」,信信,除低,眼鏡,諗,咗,陣,，,就,話,：,「,但,我,都係,鍾意,真實,世界,多啲,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ng6,#,#,Seon3-seon3,ceoi4-dai,ngaan5-geng2,nam2,zo2,zan6,#,zau6,waa6,#,#,daan6,ngo5,dou1-hai6,zung1-ji3,zan1-sat6,sai3-gaai3,do1-di1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,um,#,#,Samson,take off,eyeglasses,to think,-ed,a while,#,then,say,#,#,but,I,still,like,real,world,more,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[11c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,吓,？,點解,呀,？,」,叔叔,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,haa2,#,dim2-gaai2,aa3,#,#,suk1-suk1,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,what?,#,why,(particle),#,#,uncle,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
