[0],,,,,,,,,,,,,,,,,
巴士,上面,有,個人,跌,咗,落嚟,,,,,,,,,,,
baa1-si2,soeng6-min6,jau5,go3-jan4,dit3,zo2,lok6-lai4,,,,,,,,,,,
bus,above,have,individual,to fall,-ed,to come down,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,
「,救命,！,」,,,,,,,,,,,,,,
#,gau3-meng6,#,#,,,,,,,,,,,,,,
#,Help!,#,#,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,
巴士,上面,有,個,阿叔,跌咗,落嚟,，,佢,喺度,喊,。,,,,,,
baa1-si2,soeng6-min6,jau5,go3,aa3-suk1,dit3-zo2,lok6-lai4,#,keoi5,hai2-dou6,haam3,#,,,,,,
bus,above,have,an,uncle,fell,down,#,he,right there,cry,#,,,,,,
[3],,,,,,,,,,,,,,,,,
我,問,佢,：,「,發生,咩,事,？,」,,,,,,,,
ngo5,man6,keoi5,#,#,faat3-sang1,me1,si6,#,#,,,,,,,,
I,ask,him,#,#,happen,what,matter,#,#,,,,,,,,
[4a],,,,,,,,,,,,,,,,,
佢,話,：,「,頭先,我,行,上去,，,上面,有,個,小朋友,，,,,,
keoi5,waa6,#,#,tau4-sin1,ngo5,haang4,soeng5-heoi3,#,soeng6-min6,jau5,go3,siu2-pang4-jau5,#,,,,
he,says,#,#,just now,I,to walk,go up,#,above,have,a,child,#,,,,
[4b],,,,,,,,,,,,,,,,,
喺度,又,跑,又,跳,，,跑,上,跑,落,。,,,,,,,
hai2-dou6,jau6,paau2,jau6,tiu3,#,paau2,soeng5,paau2,lok6,#,,,,,,,
right here,also,run,also,jump,#,run,up,run,down,#,,,,,,,
[4c],,,,,,,,,,,,,,,,,
跟住,一個,唔,小心,，,我嘅,鎖匙,同,電話,，,,,,,,,,
gan1-zyu6,jat1-go3,m4,siu2-sam1,#,ngo5-ge3,so2-si4,tung4,din6-waa2,#,,,,,,,,
and then,one,not,careful,#,my,key,and,telephone,#,,,,,,,,
[4d],,,,,,,,,,,,,,,,,
就,喺,袋,入面,跌咗,出嚟,，,一,跌,就,跌咗,落嚟,下面,。,,,,
zau6,hai2,doi2,jap6-min6,dit3-zo2,ceot1-lai4,#,jat1,dit3,zau6,dit3-zo2,lok6-lai4,haa6-min6,#,,,,
as a result,at,pocket,inside,fell,out,#,once,fell,as a result,fell,down,below,#,,,,
[4e],,,,,,,,,,,,,,,,,
我,想,落嚟,執,返,鎖匙,同,電話,，,行,落去,嗰陣,，,,,,,
ngo5,soeng2,lok6-lai4,zap1,faan1,so2-si4,tung4,din6-waa2,#,haang4,lok6-heoi3,go2-zan6,#,,,,,
I,want,to come down,pick up,back,key,and,telephone,#,walk,go down,that time,#,,,,,
[4f],,,,,,,,,,,,,,,,,
架,巴士,郁,咗,一,郁,，,跟住,我,就,跌親,。,」,,,,,
gaa3,baa1-si2,juk1,zo2,jat1,juk1,#,gan1-zyu6,ngo5,zau6,dit3-can1,#,#,,,,,
(measure),bus,move,-ed,once,move,#,and then,I,as a result,fell down,#,#,,,,,
[5a],,,,,,,,,,,,,,,,,
有,好多,人,過,咗,嚟,幫,佢,。,佢,話,眼,同,鼻,有啲,痛,，,
jau5,hou2-do1,jan4,gwo3,zo2,lai4,bong1,keoi5,#,keoi5,waa6,ngaan5,tung4,bei6,jau5-di1,tung3,#,
have,many,human,to pass,-ed,to come,to help,him,#,he,say,eye,and,nose,a bit,painful,#,
[5b],,,,,,,,,,,,,,,,,
手,同,腳,就,冇事,。,,,,,,,,,,,,
sau2,tung4,goek3,zau6,mou5-si6,#,,,,,,,,,,,,
hand,and,leg,as a result,alright,#,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,
有,人,幫,佢,執,返,鎖匙,同,電話,落,個,袋,裏面,。,,,,
jau5,jan4,bong1,keoi5,zap1,faan1,so2-si4,tung4,din6-waa2,lok6,go3,doi2,leoi5-min6,#,,,,
there is,people,help,him,pick up,back,key,and,telephone,down,(measure),bag,inside,#,,,,
[7],,,,,,,,,,,,,,,,,
又,有,人,企起身,畀,個,位,佢,坐,，,佢,坐低,咗,之後,就,瞓,咗,。
jau6,jau5,jan4,kei2-hei2-san1,bei2,go3,wai2,keoi5,zo6,#,keoi5,co5-dai1,zo2,zi1-hau6,zau6,fan3,zo2,#
again,there is,people,standing up,give,(measure),seat,him,to sit,#,he,sit down,-ed,after,as a result,sleep,-ed,#
[8],,,,,,,,,,,,,,,,,
有,個,婆婆,話,：,「,最,緊要,人,冇事,！,」,,,,,,
jau5,go3,po4-po2,waa6,#,#,zeoi3,gan2-jiu3,jan4,mou5-si6,#,#,,,,,,
there is,(measure),old woman,say,#,#,most,important,people,alright,#,#,,,,,,
[9],,,,,,,,,,,,,,,,,
之後,我,企,喺度,睇書,，,玩,咗,一陣,電話,，,又,聽,咗,一陣,歌,。,
zi1-hau6,ngo5,kei5,hai2-dou6,tai2-syu1,#,waan2,zo2,jat1-zan6,din6-waa2,#,jau6,teng1,zo2,jat1-zan6,go1,#,
after,I,stand,right here,read books,#,play,-ed,a while,telephone,#,again,listen,-ed,a while,song,#,
[10],,,,,,,,,,,,,,,,,
去,到,我,落車,嗰陣,阿叔,都,未,起身,。,,,,,,,,
heoi3,dou3,ngo5,lok6-ce1,go2-zan6,aa3-suk1,dou1,mei6,hei2-san1,#,,,,,,,,
go,to,my,get off station,that time,uncle,also,not,get up,#,,,,,,,,
[11a],,,,,,,,,,,,,,,,,
落車,之後,我,覺得,有啲,肚餓,，,,,,,,,,,,,
lok6-ce1,zi1-hau6,ngo5,gok3-dak1,jau5-di1,tou5-ngo6,#,,,,,,,,,,,
get off station,after,I,feel,a bit,hungry,#,,,,,,,,,,,
[11b],,,,,,,,,,,,,,,,,
就,去,咗,隔籬,街,一,間,餐廳,度,食飯,。,,,,,,,
zau6,heoi3,zo2,gaak3-lei4,gaai1,jat1,gaan1,caan1-teng1,dou6,sik6-faan6,#,,,,,,,
as a result,go,-ed,next to,street,one,(measure),restaurant,there,to have a meal,#,,,,,,,
