[1],,,,,,,,,,,,,,,,,
我,大個,仔,喇,！,,,,,,,,,,,,,
ngo5,daai6-go3,zai2,laa3,#,,,,,,,,,,,,,
I,grown up,boy,(particle),#,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,
「,我,叫,小智,，,我,五,歲,㗎喇,，,你哋,唔好,睇小,我,，,,,
#,ngo5,giu3,Siu2-Zi3,#,ngo5,ng5,seoi3,gaa3-laa3,#,nei5-dei6,m4-hou2,tai2-siu2,ngo5,#,,,
#,I,call,Archie,#,I,five,years old,(particle),#,you,do not,underestimate,me,#,,,
[2b],,,,,,,,,,,,,,,,,
我,識,做,好多,嘢,㗎,。,你哋,唔信,我,，,我,做,俾,你,睇,。,」
ngo5,sik1,zou6,hou2-do1,je5,gaa3,#,nei5-dei6,m4-seon3,ngo5,#,ngo5,zou6,bei2,nei5,tai2,#,#
I,know,to do,many,thing,(particle),#,you,don't believe,me,#,I,do,let,you,see,#,#
[3a],,,,,,,,,,,,,,,,,
小智,行,咗,去,樓梯口,，,慢慢,噉,爬,上,樓梯,。,,,,,,
Siu2-Zi3,haang4,zo2,heoi3,lau4-tai1-hau2,#,maan6-maan2,gam2,paa4,soeng5,lau4-tai1,#,,,,,,
Archie,walk,-ed,to,stairs,#,slowly,in this way,climb,up,stairs,#,,,,,,
[3b],,,,,,,,,,,,,,,,,
「,你,睇,，,我,叻唔叻,，,我,得咗,喇,！,」,,,,,,
#,nei5,tai2,#,ngo5,lek1-m4-lek1,#,ngo5,dak1-zo2,laa3,#,#,,,,,,
#,you,see,#,I,talented or not,#,I,succeed ,(particle),#,#,,,,,,
[4a],,,,,,,,,,,,,,,,,
小智,爬,到,上,最,高,喇,。,「,你,睇,我,幾,叻,。,,,
Siu2-Zi3,paa4,dou2,soeng5,zeoi3,gou1,laa3,#,#,nei5,tai2,ngo5,gei2,lek1,#,,,
Archie,climb,can,up,the most,tall,(particle),#,#,you,see,I,so,talented,#,,,
[4b],,,,,,,,,,,,,,,,,
我,唔識,落去,啊,。,下面,好,高,啊,，,我,好,驚,啊,！,」,,
ngo5,m4-sik1,lok6-heoi3,aa3,#,haa6-min6,hou2,gou1,aa3,#,ngo5,hou2,geng1,aa3,#,#,,
I,don't know,to go down,(particle),#,below,very,tall,(particle),#,I,very,afraid,(particle),#,#,,
[5a],,,,,,,,,,,,,,,,,
小智,想,俾,人,知,佢,大個,仔,，,佢,又,去,爬,上,張,櫈,度,。
Siu2-Zi3,soeng2,bei2,jan4,zi1,keoi5,daai6-go3,zai2,#,keoi5,jau6,heoi3,paa4,soeng5,zoeng1,dang3,dou6,#
Archie,want to,let,people,know,he,grown up,boy,#,he,again,go,to climb,up,(measure),chair,there,#
[5b],,,,,,,,,,,,,,,,,
「,我,要,俾,人,知,我,唔係,細路仔,喇,。,」,,,,,,
#,ngo5,jiu3,bei2,jan4,zi1,ngo5,m4-hai6,sai3-lou6-zai2,laa3,#,#,,,,,,
#,I,want to,let,people,know,I,am not,little boy,(particle),#,#,,,,,,
[6a],,,,,,,,,,,,,,,,,
小智,最後,都,爬,到,上去,，,但係,一,爬,到,上去,，,,,,,
Siu2-Zi3,zeoi3-hau6,dou1,paa4,dou2,soeng5-heoi3,#,daan6-hai6,jat1,paa4,dou3,soeng5-heoi3,#,,,,,
Archie,at the end,still,climb,can,up,#,but,once,climb,to,up,#,,,,,
[6b],,,,,,,,,,,,,,,,,
佢,又,開始,驚,喇,。,,,,,,,,,,,,
keoi5,jau6,hoi1-ci2,geng1,laa3,#,,,,,,,,,,,,
he,again,begin,afraid,(particle),#,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,
「,點解,咁,高,嘅,？,我,好,想,落去,啊,！,有冇,人,幫下,我,！,」
#,dim2-gaai2,gam3,gou1,ge2,#,ngo5,hou2,soeng2,lok6-heoi3,aa3,#,jau5-mou5,jan4,bong1-haa5,ngo5,#,#
#,why,so,tall,(particle),#,I,really,want to,go down,(particle),#,have or don't have,people,help,me,#,#
[7a],,,,,,,,,,,,,,,,,
小智,好,驚,啊,，,佢,要,爬,上去,張,枱,度,，,,,,,
Siu2-Zi3,hou2,geng1,aa3,#,keoi5,jiu3,paa4,soeng5-heoi3,zoeng1,toi2,dou6,#,,,,,
Archie,very,afraid,(particle),#,he,want to,climb,up,(measure),table,there,#,,,,,
[7b],,,,,,,,,,,,,,,,,
想,有,人,見到,佢,。,,,,,,,,,,,,
soeng2,jau5,jan4,gin3-dou2,keoi5,#,,,,,,,,,,,,
want to,have,people,see,him,#,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,
小智,再,望一望,下面,。,小智,喺度,喊,住,噉,講,：,,,,,,
Siu2-Zi3,zoi3,mong6-jat1-mong6,haa6-min6,#,Siu2-Zi3,hai2-dou6,haam3,zyu6,gam2,gong2,#,,,,,,
Archie,again,take a look,below,#,Archie,right here,cry,-ing,in this way,say,#,,,,,,
[8b],,,,,,,,,,,,,,,,,
「,好,驚,啊,，,好,高,啊,，,我,好,想,返,落去,啊,！,,
#,hou2,geng1,aa3,#,hou2,gou1,aa3,#,ngo5,hou2,soeng2,faan1,lok6-heoi3,aa3,#,,
#,very,afraid,(particle),#,very,tall,(particle),#,I,really,want to,go back,down,(particle),#,,
[8c],,,,,,,,,,,,,,,,,
有冇,人,嚟,幫,我,啊,？,」,,,,,,,,,,
jau5-mou5,jan4,lai4,bong1,ngo5,aa3,#,#,,,,,,,,,,
