[1],,,,,,,,,,,,,,,,,,,,,,,,,,,
短篇,故事,2,,,,,,,,,,,,,,,,,,,,,,,,,
dyun2-pin1,gu3-si6,ji6,,,,,,,,,,,,,,,,,,,,,,,,,
short story,story,2,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,
細妹,：,喂,！,你,做咩,用,隻,中指,對,住,我,？,拎開,！,,,,,,,,,,,,,
sai3-mui2,#,wai3,#,nei5,zou6-me1,jung6,zek3,zung1-zi2,deoi3,zyu6,ngo5,#,ling1-hoi1,#,,,,,,,,,,,,,
younger sister,#,Hey!,#,you,why,to use,(measure),middle finger,to point,-ing,I,#,to move away,#,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,：,我,都,唔想,㗎,，,但係,我,用,mouse,用,得,太,耐,，,隻,中指,梗,咗,。,,,,,,,
gaa1-ze1,#,ngo5,dou1,m4-soeng2,ga3,#,daan6-hai6,ngo5,jung6,mau1-si2,jung6,dak1,taai3,noi6,#,zek3,zung1-zi2,gang2,zo2,#,,,,,,,
elder sister,#,I,also,don't want,(particle),#,but,I,to use,mouse,to use,(adverb),too,long time,#,(measure),middle finger,stiff,-en,#,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,
細妹,：,噉,你,唔好,用,咁,耐,mouse,啦,……,喂,，,你,又,跌親,隻,腳,咩,？,做咩,放,喺,我,隻,腳,上面,？
sai3-mui2,#,gam2,nei5,m4-hou2,jung6,gam3,noi6,mau1-si2,laa1,#,wai3,#,nei5,jau6,dit3-can1,zek3,goek3,me1,#,zou6-me1,fong3,hai2,ngo5,zek3,goek3,soeng6-min6,#
younger sister,#,then,you,do not,to use,so,long time,mouse,(particle),#,Hey!,#,you,again,fall and hurt,(measure),"foot, leg",(particle),#,why,to put,at,I,(measure),"foot, leg",above,#
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,：,噉,又,冇,跌親,，,只係,覺得,放,喺,你,隻,腳,上面,好,舒服,啫,。,,,,,,,,,
