[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精衛,填,海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zing1-wai6,tin4,hoi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei,fill,ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,我,要,講,嘅,，,係,一個,為咗,向,大海,報復,，,可以,去,到,幾,盡,嘅,故事,⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,ngo5,jiu3,gong2,ge3,#,hai6,jat1-go3,wai6-zo2,hoeng3,daai6-hoi2,bou3-fuk6,#,ho2-ji5,heoi3,dou3,gei2,zeon6,ge3,gu3-si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,I,want to,tell,(linker),#,is,one (measure),in order to,towards,ocean,take revenge,#,can,go,to,how,far,(linker),story,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從前,有,一個,皇帝,，,佢,叫做,炎帝,。,炎帝,有,一個,女,，,叫做,女娃,。,女娃,平時,好,乖,，,炎帝,次次,見到,佢,都,忍唔住,讚,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung4-cin4,jau5,jat1-go3,wong4-dai3,#,keoi5,giu3-zou6,jim4-dai3,#,jim4-dai3,jau5,jat1-go3,neoi2,#,giu3-zou6,neoi5-waa1,#,neoi5-waa1,ping4-si4,hou2,gwaai1,#,jim4-dai3,ci3-ci3,gin3-dou2,keoi5,dou1,jan2-m4-zyu6,zaan3,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
once upon a time,have,one (measure),emperor,#,he,called,Yan Emperor,#,Yan Emperor,have,one (measure),daughter,#,called,Nuwa,#,Nuwa,usually,very,well-behaved,#,Yan Emperor,every time,see,she,"all, also",cannot resist,praise,she,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,炎帝,好,忙,，,佢,每日,都,要,出去,辦公,，,好多,嘢,做,，,所以,成日,都,唔,喺,屋企,。,女娃,見,爸爸,成日,唔,喺,屋企,，,就,成日,自己,一個,出去,玩,。,佢,有,一個,夢想,，,就係,去,東面,嘅,大海,睇,日出,。,但係,一來,佢,爸爸,成日,都,唔得閒,，,二來,大海,實在,太,遠,，,所以,女娃,一,次,都,冇,見,過,大海,。
daan6-hai6,jim4-dai3,hou2,mong4,#,keoi5,mui5-jat6,dou1,jiu3,ceot1-heoi3,baan6-gung1,#,hou2-do1,je5,zou6,#,so2-ji5,sing4-jat6,dou1,m4,hai2,uk1-kei2,#,neoi5-waa1,gin3,baa4-baa1,sing4-jat6,m4,hai2,uk1-kei2,#,zau6,sing4-jat6,zi6-gei2,jat1-go3,ceot1-heoi3,waan2,#,keoi5,jau5,jat1-go3,mung6-soeng2,#,zau6-hai6,heoi3,dung1-min6,ge3,daai6-hoi2,tai2,jat6-ceot1,#,daan6-hai6,jat1-loi4,keoi5,baa4-baa1,sing4-jat6,dou1,m4-dak1-haan4,#,ji6-loi4,daai6-hoi2,sat6-zoi6,taai3,jyun5,#,so2-ji5,neoi5-waa1,jat1,ci3,dou1,mou5,gin3,gwo3,daai6-hoi2,#
but,Yan Emperor,very,busy,#,he,every day,"all, also",have to,get out,to work,#,many,thing,to do,#,therefore,always,"all, also",not,at,home,#,Nuwa,see,father,always,not,at,home,#,then,always,oneself,one (measure),get out,to play,#,she,have,one (measure),dream,#,which is,go to,East,(linker),ocean,to see,sunrise,#,but,for one thing,she,father,always,"all, also",not free,#,secondly,ocean,really,too,far,#,therefore,Nuwa,one,time,"all, also",don't have,see,-ed,ocean,#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,女娃,冇,同,爸爸,講聲,，,就,自己,向住,太陽,升起,嘅,方向,，,撐艇仔,出海,。,不幸,嘅,係,，,海上,突然,刮,起,狂風,大浪,，,風浪,好似,山,一樣,咁,高,，,霎時間,就,打沉,咗,女娃,隻,艇仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-jat1-jat6,#,neoi5-waa1,mou5,tung4,baa4-baa1,gong2-seng1,#,zau6,zi6-gei2,hoeng3-zyu6,taai3-joeng4,sing1-hei2,ge3,fong1-hoeng3,#,caang1-teng5-zai2,ceot1-hoi2,#,bat1-hang6,ge3,hai6,#,hoi2-soeng6,dat6-jin4,gwaat3,hei2,kwong4-fung1,daai6-long6,#,fung1-long6,hou2-ci5,saan1,jat1-joeng6,gam3,gou1,#,saap3-si4-gaan3,zau6,daa2-cam4,zo2,neoi5-waa1,zek3,teng5-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one day,#,Nuwa,don't have,to,father,say,#,then,oneself,towards,sun,rise,(linker),direction,#,row a boat,to set sail for the ocean,#,unlucky,(linker),is,#,in the sea,suddenly,blow ,up,gale,strong wave,#,waves,seem,mountain,the same,so,tall,#,in a second,then,sink,-en,Nuwa,(measure),boat,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女娃,跌,咗,落,海,，,最終,俾,無情,嘅,大海,吞沒,，,永遠,都,返,唔到,嚟,。,炎帝,知道,消息,之後,好,傷心,。,但係,佢,個,女,死,咗,就係,死,咗,，,點,做,都,帶,唔,返,佢,個,女,返嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neoi5-waa1,dit3,zo2,lok6,hoi2,#,zeoi3-zung1,bei2,mou4-cing4,ge3,daai6-hoi2,tan1-mut6,#,wing5-jyun5,dou1,faan1,m4-dou2,lai4,#,jim4-dai3,zi1-dou3,siu1-sik1,zi1-hau6,hou2,soeng1-sam1,#,daan6-hai6,keoi5,go3,neoi2,sei2,zo2,zau6-hai6,sei2,zo2,#,dim2,zou6,dou1,daai3,m4,faan1,keoi5,go3,neoi2,faan1-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuwa,fall,-en,down,sea,#,eventually,by,merciless,(linker),ocean,swallow,#,forever,"all, also",come,cannot,back,#,Yan Emperor,know,news,after,very,sad,#,but,he,(measure),daughter,die,-en,which is,die,-en,#,how,to do,"all, also",bring,cannot,back,he,(measure),daughter,come back,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女娃,死,咗,之後,，,佢,嘅,靈魂,變,咗,一,隻,雀仔,。,呢,隻,雀仔,嘅,叫聲,好似,講緊,「,精衛,」,呢,兩個,字,噉,，,所以,佢,個,名,叫,「,精衛,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neoi5-waa1,sei2,zo2,zi1-hau6,#,keoi5,ge3,ling4-wan4,bin3,zo2,jat1,zek3,zoek3-zai2,#,nei1,zek3,zoek3-zai2,ge3,giu3-sing1,hou2-ci5,gong2-gan2,#,zing1-wai6,#,nei1,loeng5-go3,zi6,gam2,#,so2-ji5,keoi5,go3,meng2,giu3,#,zing1-wai6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuwa,die,-en,after,#,she,(linker),soul,change,-en,one,(measure),little bird,#,this,(measure),little bird,(linker),chirp,seems,saying,#,Jingwei,#,this,two,character,that way,#,therefore,she,(measure),name,is called,#,Jingwei,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精衛,痛恨,無情,嘅,大海,奪走,咗,自己,嘅,生命,，,佢,決心,要,復仇,！,佢,飛,向,西面,嘅,大,山,，,擔,咗,一塊,石仔,，,之後,再,飛,向,東面,嘅,大海,。,佢,一路,飛,，,一路,悲,鳴,，,一,鬆,口,，,石仔,就,跌,入,大海,。,,,,,,,,,,,,,,,,,,,,
zing1-wai6,tung3-han6,mou4-cing4,ge3,daai6-hoi2,dyut6-zau2,zo2,zi6-gei2,ge3,sang1-ming6,#,keoi5,kyut3-sam1,jiu3,fuk6-sau4,#,keoi5,fei1,hoeng3,sai1-min6,ge3,daai6,saan1,#,daam1,zo2,jat1-faai3,sek6-zai2,#,zi1-hau6,zoi3,fei1,hoeng3,dung1-min6,ge3,daai6-hoi2,#,keoi5,jat1-lou6,fei1,#,jat1-lou6,bei1,ming4,#,jat1,sung1,hau2,#,sek6-zai2,zau6,dit3,jap6,daai6-hoi2,#,,,,,,,,,,,,,,,,,,,,
Jingwei,hate,merciless,(linker),ocean,take away,-en,oneself,(linker),life,#,she,determine to,have to,take revenge,#,she,fly,towards,West,(linker),big,mountain,#,carry,-en,a piece of,pebble,#,after,again,fly,towards,East,(linker),ocean,#,she,while,fly,#,while,sadly,cry,#,once,release,mouth,#,pebble,then,fall,into,ocean,#,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,精衛,係,想,填平,大海,。,大海,忍唔住,恥笑,佢,：,「,雀仔,呀,雀仔,，,你,無謂,嘥心機,喇,——,就算,你,做,一千,年,、,一萬,年,，,都,唔使旨意,將,我,填平,呀,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,zing1-wai6,hai6,soeng2,tin4-ping4,daai6-hoi2,#,daai6-hoi2,jan2-m4-zyu6,ci2-siu3,keoi5,#,#,zoek3-zai2,aa3,zoek3-zai2,#,nei5,mou4-wai6,saai1-sam1-gei1,laa3,#,zau6-syun3,nei5,zou6,jat1-cin1,nin4,#,jat1-maan6,nin4,#,dou1,m4-sai2-zi2-ji3,zoeng1,ngo5,tin4-ping4,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,Jingwei,is,want to,fill up,ocean,#,ocean,cannot resist,mock,she,#,#,little bird,(particle),little bird,#,you,do not waste time,waste effort,(particle),#,even if,you,do,one thousand,year,#,ten thousands,year,#,"all, also",do not expect to,take,I,fill up,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精衛,答,：,「,就算,我,做,一千,年,、,一萬,年,，,做,到,世界末日,，,做,到,宇宙,滅亡,，,我,都,要,將,你,填平,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zing1-wai6,daap3,#,#,zau6-syun3,ngo5,zou6,jat1-cin1,nin4,#,jat1-maan6,nin4,#,zou6,dou3,sai3-gaai3-mut6-jat6,#,zou6,dou3,jyu5-zau6,mit6-mong4,#,ngo5,dou1,jiu3,zoeng1,nei5,tin4-ping4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
