[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同,公公,婆婆,食飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung4,gung4-gung1,po4-po2,sik6-faan6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
with,grandfather,grandmother,have a meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,有,一,個,細妹,同,哥哥,，,我哋,唔係,喺,香港,出世,，,我哋,喺,美國,出世,，,我哋,都係,喺,美國,學校,讀書,，,我哋,少,講,廣東話,，,講,英文,多啲,。,,,,,,,,,,,,,
ngo5,jau5,jat1,go3,sai3-mui2,tung4,go4-go1,#,ngo5-dei6,m4-hai6,hai2,Hoeng1-Gong2,ceot1-sai3,#,ngo5-dei6,hai2,Mei5-Gwok3,ceot1-sai3,#,ngo5-dei6,dou1-hai6,hai2,Mei5-Gwok3,hok6-haau6,duk6-syu1,#,ngo5-dei6,siu2,gong2,Gwong2-Dung1-Waa2,#,gong2,Jing1-Man2,do1-di1,#,,,,,,,,,,,,,
I,have,one,(measure),younger sister,and,elder brother,#,we,are not,in,Hong Kong,born,#,we,in,America,born,#,we,also,in,America,school,study,#,we,less,speak,Cantonese,#,speak,English,more,#,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每,年,暑假,我哋,都,同,爸爸,媽媽,一齊,返,香港,，,去,同,公公,婆婆,一齊,食飯,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mui5,nin4,syu2-gaa3,ngo5-dei6,dou1,tung4,baa4-baa1,maa4-maa1,jat1-cai4,faan1,Hoeng1-Gong2,#,heoi3,tung4,gung4-gung1,po4-po2,jat1-cai4,sik6-faan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
every,year,summer vacation,we,also,with,father,mother,together,return,Hong Kong,#,go to,with,grandfather,grandmother,together,to have a meal,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,暑假,喇,！,今日,我哋,返,香港,喇,，,我哋,好,開心,。,第一,日,落機,有啲,攰,，,第二,日,先,去,睇,公公,婆婆,。,,,,,,,,,,,,,,,,,,,,
dou3,syu2-gaa3,laa3,#,gam1-jat6,ngo5-dei6,faan1,Hoeng1-Gong2,laa3,#,ngo5-dei6,hou2,hoi1-sam1,#,dai6-jat1,jat6,lok6-gei1,jau5-di1,gui6,#,dai6-ji6,jat6,sin1,heoi3,tai2,gung4-gung1,po4-po2,#,,,,,,,,,,,,,,,,,,,,
arrived,summer vacation,already,#,today,we,return,Hong Kong,(particle),#,we,very,happy,#,the first,day,get off the plane,a bit,tired,#,the next,day,then,go to,see,grandfather,grandmother,#,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二,日,，,我哋,去,咗,公公,婆婆,屋企,同,佢哋,食飯,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ji6,jat6,#,ngo5-dei6,heoi3,zo2,gung4-gung1,po4-po2,uk1-kei2,tung4,keoi5-dei6,sik6-faan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the next,day,#,we,go to,-ed,grandfather,grandmother,home,with,them,to have a meal,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飯枱,上面,有,好多,餸,，,有,菜,、,有,肉,、,有,魚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faan6-toi2,soeng6-min6,jau5,hou2-do1,sung3,#,jau5,coi3,#,jau5,juk6,#,jau5,jyu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dining table,above,there are,many,dishes,#,there is,vegetables,#,there is,meat,#,there is,fish,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,問,我,：,「,你,鍾意,食,乜嘢,？,」,我,好,開心,噉,講,：,「,都係,我,鍾意,食,嘅,嘢,。,我,喺,美國,成日,食,肉,，,返到,香港,想,食,菜,，,一陣,我,食,多,幾,碗,飯,先,。,」
po4-po2,man6,ngo5,#,#,nei5,zung1-ji3,sik6,mat1-je5,#,#,ngo5,hou2,hoi1-sam1,gam2,gong2,#,#,dou1-hai6,ngo5,zung1-ji3,sik6,ge3,je5,#,ngo5,hai2,Mei5-Gwok3,sing4-jat6,sik6,juk6,#,faan1-dou3,Hoeng1-Gong2,soeng2,sik6,coi3,#,jat1-zan6,ngo5,sik6,do1,gei2,wun2,faan6,sin1,#,#
grandmother,ask,me,#,#,you,like,to eat,what,#,#,I,very,happy,in this way,say,#,#,all,I,like,to eat,-,things,#,I,in,America,always,eat,meat,#,returned,Hong Kong,want to,eat,vegetables,#,later,I,eat,more,few,bowls of,rice,then,#,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,門鐘,有,聲,。,係,媽媽,嘅,細佬,都,嚟,咗,同,我哋,一齊,食飯,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
