[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田忌,賽馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tin4-gei6,coi3-maa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Ji,horse racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二,千,幾,年,前,嘅,中國,，,有,一個,齊,國,，,國王,齊威王,好,鍾意,賽馬,，,佢,成日,同,佢,嘅,大臣,田忌,比賽,，,而,田忌,次次,都,輸,，,點解,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji6,cin1,gei2,nin4,cin4,ge3,zung1-gwok3,#,jau5,jat1-go3,cai4,gwok3,#,gwok3-wong4,cai4-wai1-wong4,hou2,zung1-ji3,coi3-maa5,#,keoi5,seng4-jat6,tung4,keoi5,ge3,daai6-san4,tin4-gei6,bei2-coi3,#,ji4,tin4-gei6,ci3-ci3,dou1,syu1,#,dim2-gaai2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two,thousand,several,years,before,(linker),China,#,have,one (measure),Qi,country,#,king,King Wei of Qi,very,like,horse racing,#,he,all the time,with,he,’s,minister,Tian Ji,compete,#,and,Tian Ji,every time,"all, also",lose,#,why,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,佢哋,會,將,自己,嘅,馬,分成,三,等,，,分別,係,上等,馬,、,中等,馬,，,同埋,下等,馬,，,然後,舉行,三,場,比賽,。,而,齊威王,嘅,上等,馬,，,次次,都,跑,得,快,過,田忌,嘅,上等,馬,少少,，,中等,馬,同,下等,馬,都,一樣,，,所以,田忌,每,次,都,輸,。,為咗,唔好,失,咗,個,氣勢,，,田忌,次次,都,落,重,注,，,於是,佢,次次,都,輸,好多,錢,。
jyun4-loi4,keoi5-dei6,wui5,zoeng1,zi6-gei2,ge3,maa5,fan1-sing4,saam1,dang2,#,fan1-bit6,hai6,soeng6-dang2,maa5,#,zung1-dang2,maa5,#,tung4-maai4,haa6-dang2,maa5,#,jin4-hau6,geoi2-hang4,saam1,coeng4,bei2-coi3,#,ji4,cai4-wai1-wong4,ge3,soeng6-dang2,maa5,#,ci3-ci3,dou1,paau2,dak1,faai3,gwo3,tin4-gei6,ge3,soeng6-dang2,maa5,siu2-siu2,#,zung1-dang2,maa5,tung4,haa6-dang2,maa5,dou1,jat1-joeng6,#,so2-ji5,tin4-gei6,mui5,ci3,dou1,syu1,#,wai6-zo2,m4-hou2,sat1,zo2,go3,hei3-sai3,#,tin4-gei6,ci3-ci3,dou1,lok6,cung5,zyu3,#,jyu1-si6,keoi5,ci3-ci3,dou1,syu1,hou2-do1,cin2,#
it turns out,they,will,take,oneself,’s,horse,divide into,three,level,#,respectively,is,upper-rank,horse,#,middle-rank,horse,#,and,lower-rank,horse,#,then,hold,three,(measure),competition,#,and,King Wei of Qi,’s,upper-rank,horse,#,every time,"all, also",run,(suffix),fast,than,Tian Ji,’s,upper-rank,horse,a bit,#,middle-rank,horse,and,lower-rank,horse,"all, also",the same,#,therefore,Tian Ji,every,time,"all, also",lose,#,in order to,do not,lose,-en,(measure),imposing manner,#,Tian Ji,every time,"all, also",place,heavy,bet,#,as a result,he,every time,"all, also",lose,a lot,money,#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,田忌,遇到,一,位,好,聰明,嘅,將軍,，,佢,叫做,孫臏,。,孫臏,話,：,「,田忌,，,你,唔使,驚,，,我,有,一個,方法,，,包,你,次次,賽馬,都,贏,，,等,你,唔使,輸,錢,之餘,，,仲,次次,都會,贏,錢,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-jat1-jat6,#,tin4-gei6,jyu6-dou2,jat1,wai2,hou2,cung1-ming4,ge3,zoeng1-gwan1,#,keoi5,giu3-zou6,syun1-ban3,#,syun1-ban3,waa6,#,#,tin4-gei6,#,nei5,m4-sai2,geng1,#,ngo5,jau5,jat1-go3,fong1-faat3,#,baau1,nei5,ci3-ci3,coi3-maa5,dou1,jeng4,#,dang2,nei5,m4-sai2,syu1,cin2,zi1-jyu4,#,zung6,ci3-ci3,dou1-wui5,jeng4,cin2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
