[1],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,想,揾,最好,嘅,月餅,畀,八,個,仔女,。,,,,,,,,,,,,
lung4,maa4-maa1,soeng2,wan2,zeoi3-hou2,ge3,jyut6-beng2,bei2,baat3,go3,zai2-neoi2,#,,,,,,,,,,,,
dragon,mother,want to,find,best,-,moon cake,for,eight,(measure),children,#,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,話,：,「,我,要,去,月亮,揾,最好,嘅,月餅,。,」,,,,,,,,,
lung4,maa4-maa1,waa6,#,#,ngo5,jiu3,heoi3,jyut6-loeng6,wan2,zeoi3-hou2,ge3,jyut6-beng2,#,#,,,,,,,,,
dragon,mother,say,#,#,I,have to,go to,the moon,find,best,-,moon cake,#,#,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,可以,飛,上,天空,，,可以,飛,上,月亮,。,,,,,,,,,,,,
lung4,maa4-maa1,ho2-ji5,fei1,soeng5,tin1-hung1,#,ho2-ji5,fei1,soeng5,jyut6-loeng6,#,,,,,,,,,,,,
dragon,mother,can,fly,go up,the sky,#,can,fly,go up,the moon,#,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,
不過,佢,攰,喇,，,佢,問,獅子,先生,借,架,太空,船,用,。,,,,,,,,,
bat1-gwo3,keoi5,gui6,laa3,#,keoi5,man6,si1-zi2,sin1-saang1,ze3,gaa3,taai3-hung1,syun4,jung6,#,,,,,,,,,
but,she,tired,already,#,she,ask,lion,Mr.,borrow,(measure),space,ship,to use,#,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,
獅子,先生,話,：,,,,,,,,,,,,,,,,,,,,
si1-zi2,sin1-saang1,waa6,#,,,,,,,,,,,,,,,,,,,,
lion,Mr.,say,#,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,
「,好,啊,，,你,用,我,架,太空,船,啦,。,我,架,太空,船,新,㗎,，,用,電,嘅,。,」
#,hou2,aa3,#,nei5,jung6,ngo5,gaa3,taai3-hung1,syun4,laa1,#,ngo5,gaa3,taai3-hung1,syun4,san1,gaa3,#,jung6,din6,ge3,#,#
#,good,(particle),#,you,use,I,(measure),space,ship,(particle),#,I,(measure),space,ship,new,(particle),#,use,electricity,-,#,#
[4c],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,話,：,「,唔該晒,獅子,先生,，,我,一陣,返,。,」,,,,,,,,,,
lung4,maa4-maa1,waa6,#,#,m4-goi1-saai3,si1-zi2,sin1-saang1,#,ngo5,jat1-zan6,faan1,#,#,,,,,,,,,,
dragon,mother,say,#,#,thank you very much,lion,Mr.,#,I,a while,return,#,#,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,
獅子,先生,問,：,「,你,去,邊度,啊,？,」,,,,,,,,,,,,,
si1-zi2,sin1-saang1,man6,#,#,nei5,heoi3,bin1-dou6,aa3,#,#,,,,,,,,,,,,,
lion,Mr.,ask,#,#,you,go to,where,(particle),#,#,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,答,：,「,唔,講,得,㗎,。,」,,,,,,,,,,,,,
lung4,maa4-maa1,daap3,#,#,m4,gong2,dak1,gaa3,#,#,,,,,,,,,,,,,
dragon,mother,reply,#,#,not,say,(suffix),(particle),#,#,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,
獅子,先生,話,：,,,,,,,,,,,,,,,,,,,,
si1-zi2,sin1-saang1,waa6,#,,,,,,,,,,,,,,,,,,,,
lion,Mr.,say,#,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,
「,我,會,睇住,你,嘅,小朋友,。,不過,，,用,之前,一定,要,叉電,。,」,,,,,,,
#,ngo5,wui5,tai2-zyu6,nei5,ge3,siu2-pang4-jau5,#,bat1-gwo3,#,jung6,zi1-cin4,jat1-ding6,jiu3,caa1-din6,#,#,,,,,,,
#,I,will,look after,you, 's,children,#,but,#,use,before,must,have to,battery charging,#,#,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,
龍,媽媽,趕,時間,，,冇,聽,獅子,先生,話,。,,,,,,,,,,,,,
lung4,maa4-maa1,gon2,si4-gaan3,#,mou5,teng1,si1-zi2,sin1-saang1,waa6,#,,,,,,,,,,,,,
dragon,mother,hurry,time,#,didn't,hear,lion,Mr.,words,#,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,
佢,坐,太空,船,，,好,快,噉,飛,咗,上,月亮,。,,,,,,,,,,,
keoi5,co5,taai3-hung1,syun4,#,hou2,faai3,gam2,fei1,zo2,soeng5,jyut6-loeng6,#,,,,,,,,,,,
she,sit,space,ship,#,very,fast,in this way,fly,-ed,go up,the moon,#,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,,,,
喺,嗰度,，,佢,揾到,最好,嘅,月餅,。,,,,,,,,,,,,,,,
hai2,go2-dou6,#,keoi5,wan2-dou2,zeoi3-hou2,ge3,jyut6-beng2,#,,,,,,,,,,,,,,,
at,there,#,she,find,best,-,moon cake,#,,,,,,,,,,,,,,,
[9b],,,,,,,,,,,,,,,,,,,,,,,
佢,放,啲,月餅,入,一,個,大,袋,，,想,返,屋企,。,,,,,,,,,,
keoi5,fong3,di1,jyut6-beng2,jap6,jat1,go3,daai6,doi2,#,soeng2,faan1,uk1-kei2,#,,,,,,,,,,
she,put,those,moon cakes,enter,one,(measure),big,bag,#,want to,return,home,#,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,
佢,撳,掣,，,太空,船,唔郁,。,,,,,,,,,,,,,,,,
keoi5,gam6,zai3,#,taai3-hung1,syun4,m4-juk1,#,,,,,,,,,,,,,,,,
she,press,button,#,space,ship,don't move,#,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,
佢,見到,太空,船,冇,晒,電,！,,,,,,,,,,,,,,,,
keoi5,gin3-dou2,taai3-hung1,syun4,mou5,saai3,din6,#,,,,,,,,,,,,,,,,
