[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
儲錢,大計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cou5-cin2,daai6-gai3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
save money,big plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,食飯,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sik6-faan6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,have meal,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,係,今年,最後,一,日,返學,，,同學仔,食飯,嘅,時候,，,黃,老師,問,大家,唔使,返學,會,做,啲,咩,。,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,hai6,gam1-nin4,zeoi3-hau6,jat1,jat6,faan1-hok6,#,tung4-hok6-zai2,sik6-faan6,ge3,si4-hau6,#,Wong4,lou5-si1,man6,daai6-gaa1,m4-sai2,faan1-hok6,wui5,zou6,di1,me1,#,,,,,,,,,,,,,,,,,,,,,,,,,
today,is,this year,the last,one,day,to go to school,#,little classmates,have meal,(linker),time,#,Wong,teacher,ask,everyone,no need,to go to school,will,do,some,what,#,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,會,日日,踢波,，,我,要,好似,啲,港超,足球,員,一樣,咁,叻,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,wui5,jat6-jat6,tek3-bo1,#,ngo5,jiu3,hou2-ci5,di1,gong2-ciu1,zuk1-kau4,jyun4,jat1-joeng6,gam3,lek1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,will,every day,play football,#,I,need,to be similar,those,HK Premier League,football,player,the same,so,brilliant,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,要,整,好多,玩具,出嚟,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jiu3,zing2,hou2-do1,wun6-geoi6,ceot1-lei4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,want,to make,many,toys,out,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,就,要,食,好多,好多,嘢,，,雞蛋仔,、,燒賣,、,魚蛋,、,啄啄糖,我,都,要,食,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,zau6,jiu3,sik6,hou2-do1,hou2-do1,je5,#,gai1-daan6-zai2,#,siu1-maai2,#,jyu4-daan2,#,doeng1-doeng1-tong2,ngo5,dou1,jiu3,sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,just,want,to eat,many,many,thing,#,Egg Waffle,#,Shumai (dim sum),#,Fish ball,#,Deuk Deuk Tong (traditional candy),I,"all, also",want,to eat,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
