[0],,,,,,,,,,,,,
新手,父母,,,,,,,,,,,,
san1-sau2,fu6-mou5,,,,,,,,,,,,
newbie,parents,,,,,,,,,,,,
[1a],,,,,,,,,,,,,
二零一五年,呢,條,𡃁仔,啱啱,出世,,,,,,,,
ji6-ling4-jat1-ng5-nin4,nei1,tiu4,leng1-zai2,ngaam1-ngaam1,ceot1-sai3,,,,,,,,
Year 2015,this,(measure),lad,just now,be born,,,,,,,,
[1b],,,,,,,,,,,,,
一,對,新手,父母,騰晒雞,連,奶,都,唔識,餵,,,,
jat1,deoi3,san1-sau2,fu6-mou5,tang4-saai3-gai1,lin4,naai5,dou1,m4-sik1,wai3,,,,
one,pair of,newbie,parents,all panicking,even,milk,"all, also",don't know,feed,,,,
[1c],,,,,,,,,,,,,
尿片,奶粉,醫療,保險,條,數,大,到,唔識,計,,,,
niu6-pin2,naai5-fan2,ji1-liu4,bou2-him2,tiu4,sou3,daai6,dou3,m4-sik1,gai3,,,,
diaper,powdered milk,medical treatment,insurance,(measure),number,big,that,don't know,calculate,,,,
[1d],,,,,,,,,,,,,
佢哋,死慳死抵,，,為,你,做,嘅,一切,一切,,,,,
keoi5-dei6,sei2-haan1-sei2-dai2,#,wai6,nei5,zou6,ge3,jat1-cai3,jat1-cai3,,,,,
they,act very frugally,#,for,you,do,(linker),everything,everything,,,,,
[2a],,,,,,,,,,,,,
睇住,你,一日,一日,長大,就,將,你,一日,一日,寵壞,,,
tai2-zyu6,nei5,jat1-jat6,jat1-jat6,zoeng2-daai6,zau6,zoeng1,nei5,jat1-jat6,jat1-jat6,cung2-waai6,,,
look,you,one day,one day,grow up,then,take,you,one day,one day,spoil,,,
[2b],,,,,,,,,,,,,
個,責任,落,喺,膊頭,冇得,後悔,亦都,冇得,抵賴,,,,
go3,zaak3-jam6,lok6,hai2,bok3-tau4,mou5-dak1,hau6-fui3,jik6-dou1,mou5-dak1,dai2-laai6,,,,
(measure),responsibility,fall,at,shoulder,don't get to,regret,also,don't get to,deny,,,,
[2c],,,,,,,,,,,,,
由,你,擘,大,眼,開始,到,你,終於,戒,片,戒,奶,
jau4,nei5,maak3,daai6,ngaan5,hoi1-ci2,dou3,nei5,zung1-jyu1,gaai3,pin2,gaai3,naai5,
from,you,open,big,eye,begin,till,you,finally,get weaned off,diaper,get weaned off,milk,
[2d],,,,,,,,,,,,,
讀書,識字,到,大學,畢業,都係,一身,兒女,債,,,,,
duk6-syu1,sik1-zi6,dou3,daai6-hok6,bat1-jip6,dou1-hai6,jat1-san1,ji4-neoi5,zaai3,,,,,
study,learn to write,till,university,to graduate,also is,whole life,children,debt,,,,,
[Line 11],,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,
二零一六年,呢,條,𡃁仔,啱啱,一,歲,,,,,,,
ji6-ling4-jat1-luk6-nin4,nei1,tiu4,leng1-zai2,ngaam1-ngaam1,jat1,seoi3,,,,,,,
Year 2016,this,(measure),lad,just now,one,year-old,,,,,,,
[3b],,,,,,,,,,,,,
睇,佢,由,爬下爬下,到,扶住,梳化,起身,放膽,行,出去,,,
tai2,keoi5,jau4,paa4-haa5-paa4-haa5,dou3,fu4-zyu6,so1-faa2,hei2-san1,fong3-daam2,haang4,ceot1-heoi3,,,
see,he,from,crawling,to,holding,sofa,to get up,summon up courage,to walk,to get out,,,
[3c],,,,,,,,,,,,,
行,前,兩,步,就,會,坐低,牙牙學語,一,句,一,句,,
walk,cin4,loeng5,bou6,zau6,wui5,co5-dai1,ngaa4-ngaa4-hok6-jyu5,jat1,geoi3,jat1,geoi3,,
walk,forward,two,step,then,will,sit down,babbling,one,sentence,one,sentence,,
[3d],,,,,,,,,,,,,
無論,幾,難,都,要,堅持,學習,因為,不進則退,,,,,
mou4-leon6,gei2,naan4,dou1,jiu3,gin1-ci4,hok6-zaap6,jan1-wai6,bat1-zeon3-zak1-teoi3,,,,,
no matter,how,difficult,"all, also",have to,persist,to learn,because,you fall back if you stop moving forward,,,,,
[4a],,,,,,,,,,,,,
二零一七年,你,兩,歲,幾,要,準備,入,幼兒班,,,,,
ji6-ling4-jat1-cat1-nin4,nei5,loeng5,seoi3,gei2,jiu3,zeon2-bei6,jap6,jau3-ji4-baan1,,,,,
Year 2017,you,two,year old,something,have to,prepare,to enter,pre-school,,,,,
[4b],,,,,,,,,,,,,
成,個,區,要,周圍,遞,表,話之佢,有,幾多,間,,,
seng4,go3,keoi1,jiu3,zau1-wai4,dai6,biu2,waa6-zi1-keoi5,jau5,gei2-do1,gaan1,,,
whole,(measure),district,have to,around,submit,application form,nevermind,have,how many,(measure),,,
[4c],,,,,,,,,,,,,
身水身汗,逐,間,面試,總之,阿仔,要,有得,返,,,,,
san1-seoi2-san1-hon6,zuk6,gaan1,min6-si5,zung2-zi1,aa3-zai2,jiu3,jau5-dak1,faan1,,,,,
getting soaked in sweat,each,(measure),interview,no matter what,son,have to,get to,attend (school),,,,,
[4d],,,,,,,,,,,,,
唔理,上,下午,班,你,返學,我,先,偷得浮生半日閒,,,,,
m4-lei5,soeng6,haa6-ng5,baan1,nei5,faan1-hok6,ngo5,sin1,tau1-dak1-fau4-sang1-bun3-jat6-haan4,,,,,
don't care,morning,afternoon,class,you,go to school,I,then,snatch a little leisure from a busy life,,,,,
[5a],,,,,,,,,,,,,
二零一八年,你,讀,K1,開始,識到,朋友仔,,,,,,,
ji6-ling4-jat1-baat3-nin4,nei5,duk6,kei1-one,hoi1-ci2,sik1-dou2,pang4-jau5-zai2,,,,,,,
Year 2018,you,study,kindergarten 1,begin,meet,little friends,,,,,,,
[5b],,,,,,,,,,,,,
每日,放學,聽到,你,同,邊個,同學,一齊,傾下計,,,,,
mui5-jat6,fong3-hok6,teng1-dou2,nei5,tung4,bin1-go3,tung4-hok6,jat1-cai4,king1-haa5-gai2,,,,,
every day,after school,heard,you,and,which,schoolmate,together,chatting,,,,,
[5c],,,,,,,,,,,,,
邊個,同學,有啲,曳,，,邊個,坐唔定,喺,位,,,,,
bin1-go3,tung4-hok6,jau5-di1,jai5,#,bin1-go3,co5-m4-ding6,hai2,wai2,,,,,
which,schoolmate,a bit,naughty,#,who,cannot sit still,at,seat,,,,,
[5d],,,,,,,,,,,,,
邊個,上堂,賴尿,拎,返屋企,邊個,同,佢,洗,,,,,
bin1-go3,soeng5-tong4,laai6-niu6,ling1,faan1-uk1-kei2,bin1-go3,tung4,keoi5,sai2,,,,,
who,attend class,wet oneself,take,to go home,who,for,he / she,wash,,,,,
[6a],,,,,,,,,,,,,
二零一九年,你,升,K2,本來,都係,開心,嘅,,,,,,
ji6-ling4-jat1-gau2-nin4,nei5,sing1,kei1-two,bun2-loi4,dou1-hai6,hoi1-sam1,ge3,,,,,,
Year 2019,you,rise to,kindergarten 2,originally,also is,happy,(particle),,,,,,
[6b],,,,,,,,,,,,,
突如其來,一個,新冠肺炎,香港,瀨,咗,嘢,,,,,,,
dat6-jyu4-kei4-loi4,jat1-go3,san1-gun1-fai3-jim4,hoeng1-gong2,laai2,zo2,je5,,,,,,,
come unexpectedly,one (measure),COVID-19,Hong Kong,get into,-en,mess,,,,,,,
[6c],,,,,,,,,,,,,
搶,油,搶,米,搶,鹽,搶,口罩,冇,就,要,問,人,借
coeng2,jau4,coeng2,mai5,coeng2,jim4,coeng2,hau2-zaau3,mou5,zau6,jiu3,man6,jan4,ze3
snatch,oil,snatch,rice,snatch,salt,snatch,mask,don't have,then,have to,ask,people,to borrow
[6d],,,,,,,,,,,,,
憂,柴,憂,米,憂,自己,家人,接觸,帶病者,,,,,
jau1,caai4,jau1,mai5,jau1,zi6-gei2,gaa1-jan4,zip3-zuk1,daai3-beng6-ze2,,,,,
worry,firewood,worry,rice,worry,oneself,family member,contact,carrier of a pathogen,,,,,
[7a],,,,,,,,,,,,,
二零二零年,嘅,K3,可以話,係,冇,返,一半,學,,,,,
ji6-ling4-ji6-ling4-nin4,ge3,kei1-three,ho2-ji5-waa6,hai6,mou5,faan1,jat1-bun3,hok6,,,,,
Year 2020,(linker),kindergarten 3,can be said,is,don't have,attend,half,school,,,,,
[7b],,,,,,,,,,,,,
停工,停課,火車,遊輪,飛機,唔,畀,起飛,與,降落,,,,
ting4-gung1,ting4-fo3,fo2-ce1,jau4-leon4,fei1-gei1,m4,bei2,hei2-fei1,jyu5,gong3-lok6,,,,
suspend work,suspend school,train,cruise ship,airplane,not,allow,take off,and,descend,,,,
[7c],,,,,,,,,,,,,
一個,疫情,影響,全世界,呢,鋪,真係,夠,大鑊,,,,,
jat1-go3,jik6-cing4,jing2-hoeng2,cyun4-sai3-gaai3,nei1,pou1,zan1-hai6,gau3,daai6-wok6,,,,,
one (measure),pandemic,influence,whole world,this,(measure),really,enough,big trouble,,,,,
[7d],,,,,,,,,,,,,
我哋,小,市民,仲要,驚住,失業,加倍,咁,頻撲,,,,,
ngo5-dei6,siu2,si5-man4,zung6-jiu3,geng1-zyu6,sat1-jip6,gaa1-pui5,gam3,pan4-pok3,,,,,
we,small,citizen,even have to,fearing,unemployement,extra,so,work busily,,,,,
[8a],,,,,,,,,,,,,
二零二一年,你,升,小學,希望,疫情,有,好轉,,,,,,
ji6-ling4-ji6-jat1-nin4,nei5,sing1,siu2-hok6,hei1-mong6,jik6-cing4,jau5,hou2-zyun2,,,,,,
Year 2021,you,rise to,primary school,hope,pandemic,have,to improve,,,,,,
[8b],,,,,,,,,,,,,
你,問,我,點解,身邊,咁,多,同學,移民,移,到,咁鬼,遠,
nei5,man6,ngo5,dim2-gaai2,san1-bin1,gam3,do1,tung4-hok6,ji4-man4,ji4,dou3,gam3-gwai2,jyun5,
you,ask,I,why,around us,so,many,schoolmate,migrate,move,to,so,far,
[8c],,,,,,,,,,,,,
嚟緊,嘅,日子,點樣,過,，,將來,應該,點,打算,,,,
