[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
演唱會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jin2-coeng3-wui2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿哥,⋯⋯,幫下手,啦,⋯⋯,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aa3-go1,#,bong1-haa5-sau2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,elder brother,#,give a helping hand,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔得,呀,，,你,揾,其他,人,幫手,啦,。,」,阿妹,入,咗,嚟,我,間,房,，,求,我,幫手,買,演唱會,飛,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-dak1,aa3,#,nei5,wan2,kei4-taa1,jan4,bong1-sau2,laa1,#,#,aa3-mui2,jap6,zo2,lai4,ngo5,gaan1,fong2,#,kau4,ngo5,bong1-sau2,maai5,jin2-coeng3-wui2,fei1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,not okay,(particle),#,you,find,other,people,to help,(particle),#,#,younger sister,enter,-en,come,I,(measure),room,#,beg,I,to help,to buy,concert,ticket,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿哥,啊,～,唔係,噉,都,托我手㬹,下話,？,」,佢,大半,年,前,開始,迷上,Twelve,呢,隊,男,歌手,組合,（,香港,依家,最,紅,嗰,隊,）,，,然後,日日,喺,我,面前,講,嗰,十二,個,人,唱歌,有,幾,好聽,，,跳舞,有,幾,好睇,，,同埋,有,幾,靚仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aa3-go1,aa3,#,m4-hai6,gam2,dou1,tok3-ngo5-sau2-zaang1,haa6-waa5,#,#,keoi5,daai6-bun3,nin4,cin4,hoi1-ci2,mai4-soeng5,Twelve,ni1,deoi6,naam4,go1-sau2,zou2-hap6,#,hoeng1-gong2,ji1-gaa1,zeoi3,hung4,go2,deoi6,#,#,jin4-hau6,jat6-jat6,hai2,ngo5,min6-cin4,gong2,go2,sap6-ji6,go3,jan4,coeng3-go1,jau5,gei2,hou2-teng1,#,tiu3-mou5,jau5,gei2,hou2-tai2,#,tung4-maai4,jau5,gei2,leng3-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,elder brother,(particle),#,is not,this way,"all, also",refuse my request,right?,#,#,she,over half of,year,before,begin,being drawn to,Twelve,this,team of,male,singer,group,#,Hong Kong,now,most,popular,that,team,#,#,then,every day,at,I,in front of,say,that,twelve,(meaure),people,sing song,have,how,pleasent to listen to,#,dance,have,how,pleasent to watch,#,and,have,how,handsome,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,都,話,我,聽朝,約咗,人,咯,。,」,阿妹,想,我,聽朝,十,點,開,齊,晒,電腦,、,手機,，,幫,佢,上網,搶,Twelve,嘅,演唱會,飛,。,其實,我,明,佢,諗,咩,嘅,，,話晒,Twelve,真係,好,紅,：,佢哋,前排,開,咗,個,小型,演唱會,，,啲,黃牛飛,都,炒,到,成,四,五,千,蚊,一,張,；,今次,佢哋,去,到,紅館,連,開,四,日,演唱會,喎,，,聽朝,賣,飛,一定,全,香港,爭崩頭,。
#,dou1,waa6,ngo5,ting1-ziu1,joek3-zo2,jan4,lok3,#,#,aa3-mui2,soeng2,ngo5,ting1-ziu1,sap6,dim2,hoi1,cai4,saai3,din6-nou5,#,sau2-gei1,#,bong1,keoi5,soeng5-mong5,coeng2,Twelve,ge3,jin2-coeng3-wui2,fei1,#,kei4-sat6,ngo5,ming4,keoi5,nam2,me1,ge3,#,waa6-saai3,Twelve,zan1-hai6,hou2,hung4,#,keoi5-dei6,cin4-paai2,hoi1,zo2,go3,siu2-jing4,jin2-coeng3-wui2,#,di1,wong4-ngau4-fei1,dou1,caau2,dou3,seng4,sei3,ng5,cin1,man1,jat1,zoeng1,#,gam1-ci3,keoi5-dei6,heoi3,dou3,hung4-gun2,lin4,hoi1,sei3,jat6,jin2-coeng3-wui2,wo3,#,ting1-ziu1,maai6,fei1,jat1-ding6,cyun4,hoeng1-gong2,zaang1-bang1-tau4,#
