[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老鼠仔,班班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-syu2-zai2,baan1-baan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little mouse,Bandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班班,係,一,隻,住,喺,樹林,入面,嘅,老鼠仔,，,屋企,有,媽咪,，,仲有,十七,個,兄弟姊妹,。,佢,好,犀利,㗎,，,成日,橫衝直撞,，,天不怕地不怕,。,,,,,,,,,,,,,,
baan1-baan1,hai6,jat1,zek3,zyu6,hai2,syu6-lam4,jap6-min6,ge3,lou5-syu2-zai2,#,uk1-kei2,jau5,maa1-mi4,#,zung6-jau5,sap6-cat1,go3,hing1-dai6-zi2-mui6,#,keoi5,hou2,sai1-lei6,gaa3,#,sing4-jat6,waang4-cung1-zik6-zong6,#,tin1-bat1-paa3-dei6-bat1-paa3,#,,,,,,,,,,,,,,
Bandi,is,one,(measure),live,at,woods,inside,(linker),little mouse,#,home,have,mommy,#,still have,seventeen,(measure),siblings,#,she,very,superb,(particle),#,always,crash around,#,fear nothing,#,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直到,有,一,次,，,班班,喺,附近,農場,中,咗,陷阱,，,差啲,甩,唔到,身,，,佢,先,開始,識,驚,，,唔,敢,四圍,去,農場,度,揾,粟米,食,。,,,,,,,,,,
zik6-dou3,jau5,jat1,ci3,#,baan1-baan1,hai2,fu6-gan6,nung4-coeng4,zung3,zo2,haam6-zeng6,#,caa1-di1,lat1,m4-dou2,san1,#,keoi5,sin1,hoi1-ci2,sik1,geng1,#,m4,gam2,sei3-wai4,heoi3,nung4-coeng4,dou6,wan2,suk1-mai5,sik6,#,,,,,,,,,,
until,have,one,time,#,Bandi,at,nearby,farm,step (into a trap),-en,trap,#,almost,escape,cannot,body,#,she,then,begin,to know,afraid,#,not,dare,around,go,farm,place,to find,corn,to eat,#,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,冇,嘢食,個,肚,仔,又,會,餓,……,佢,問,媽咪,點算,好,，,媽咪,問,返,佢,轉頭,︰,「,你,最,叻,係,咩,先,？,」,,,,,,,,,,,,,
daan6,mou5,je5-sik6,go3,tou5,zai2,jau6,wui5,ngo6,#,keoi5,man6,maa1-mi4,dim2-syun3,hou2,#,maa1-mi4,man6,faan1,keoi5,zyun3-tau4,#,#,nei5,zeoi3,lek1,hai6,me1,sin1,#,#,,,,,,,,,,,,,
but,no,food,(measure),tummy,little,again,will,hungry,#,she,ask,mommy,what to do,well,#,mommy,ask,back,she,inversely,#,#,you,most,brilliant,is ,what,then,#,#,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,挖,地,洞,！,我,最,叻,就係,挖,地,洞,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,waat3,dei6,dung6,#,ngo5,zeoi3,lek1,zau6-hai6,waat3,dei6,dung6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dig,ground,hole,#,I,most,brilliant,which is,dig,ground,hole,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,佢,每日,就,帶,住,太陽眼鏡,、,望遠鏡,、,放大鏡,，,仲有,藥水膠布,去,挖,地,洞,，,想,出去,睇,下,其他,地方,有冇,好,嘢,食,。,,,,,,,,,,,,,
jyu1-si6,#,keoi5,mui5-jat6,zau6,daai3,zyu6,taai3-joeng4-ngaan5-geng2,#,mong6-jyun5-geng3,#,fong3-daai6-geng3,#,zung6-jau5,joek6-seoi2-gaau1-bou3,heoi3,waat3,dei6,dung6,#,soeng2,ceot1-heoi3,tai2,haa5,kei4-taa1,dei6-fong1,jau5-mou5,hou2,je5,sik6,#,,,,,,,,,,,,,
so,#,she,every day,then,carry,-ing,sunglasses,#,telescope,#,magnifier,#,even have,band-aid,to go,to dig,ground,hole,#,want,to get out,to look,a bit,other,place,have or haven't,good,thing,to eat,#,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班班,挖,呀,挖,，,挖,呀,挖,，,挖,到,唔知,自己,去,咗,邊,，,就,諗住,伸,個,頭,出去,睇,下,。,估,唔到,頭,一,伸,，,就,嚇,咗,一,大,跳,！,,,,,
baan1-baan1,waat3,aa3,waat3,#,waat3,aa3,waat3,#,waat3,dou3,m4-zi1,zi6-gei2,heoi3,zo2,bin1,#,zau6,nam2-zyu6,san1,go3,tau4,ceot1-heoi3,tai2,haa5,#,gu2,m4-dou3,tau4,jat1,san1,#,zau6,haak3,zo2,jat1,daai6,tiu3,#,,,,,
Bandi,dig,(particle),dig,#,dig,(particle),dig,#,dig,to,don't know,oneself,go,-en,where,#,then,thinking about,stretch,(measure),head,out,to look,a bit,#,guess,cannot,head,once,stretch,#,then,frighten,-en,one,big,jump,#,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前面,有,一,隻,好,大,嘅,眼睛,望住,自己,，,佢,心諗,︰,「,死,喇,，,俾,人,發現,咗,添,！,」,,,,,,,,,,,,,,,,,,,
cin4-min6,jau5,jat1,zek3,hou2,daai6,ge3,ngaan5-zing1,mong6-zyu6,zi6-gei2,#,keoi5,sam1-nam2,#,#,sei2,laa3,#,bei2,jan4,faat3-jin6,zo2,tim1,#,#,,,,,,,,,,,,,,,,,,,
front,have,one,(measure),very,big,(linker),eye,staring,oneself,#,she,think,#,#,oh no,(particle),#,by,people,find out,-en,(particle),#,#,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,喂,，,老鼠仔,，,你,邊度,嚟,㗎,，,叫,咩,名,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wai3,#,lou5-syu2-zai2,#,nei5,bin1-dou6,lai4,gaa3,#,giu3,me1,meng2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hey!,#,little mouse,#,you,where,come,(particle),#,called,what,name,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班班,眨,一,眨眼,，,發現,講嘢,嘅,係,一個,巨人,，,佢,笑,住,噉,望住,自己,。,,,,,,,,,,,,,,,,,,,,,,,,,
baan1-baan1,zaam2,jat1,zaap3-ngaan5,#,faat3-jin6,gong2-je5,ge3,hai6,jat1-go3,geoi6-jan4,#,keoi5,siu3,zyu6,gam2,mong6-zyu6,zi6-gei2,#,,,,,,,,,,,,,,,,,,,,,,,,,
Bandi,blink,one,blink,#,find out,speaking,(linker),is,one (measure),giant,#,he,smile,-ing,-ly,staring,oneself,#,,,,,,,,,,,,,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,叫,家明,，,係,一個,探險家,，,你呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,giu3,gaa1-ming4,#,hai6,jat1-go3,taam3-him2-gaa1,#,nei5-ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,am called,Ka Ming,#,is,one (measure),explorer,#,How about you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔使,驚,喎,，,我,好,鍾意,動物,㗎,。,」,家明,繼續,講,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-sai2,geng1,wo3,#,ngo5,hou2,zung1-ji3,dung6-mat6,gaa3,#,#,gaa1-ming4,gai3-zuk6,gong2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no need,afraid,(particle),#,I,very,like,animal,(particle),#,#,Ka Ming,continue,to say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,真,、,真,、,真係,？,」,班班,有啲,驚青,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zan1,#,zan1,#,zan1-hai6,#,#,baan1-baan1,jau5-di1,geng1-ceng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,real,#,real,#,really,#,#,Bandi,a bit,flinch,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,梗係,冇,呃,你,啦,！,」,家明,拍,晒,心口,話,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gang2-hai6,mou5,aak1,nei5,laa1,#,#,gaa1-ming4,paak3,saai3,sam1-hau2,waa6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,of course,don't have,deceive,you,(particle),#,#,Ka Ming,hit,all,chest,say,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,叫,班班,……,都係,嚟,探險,㗎,！,」,班班,唔,驚,喇,，,仲,好,大聲,噉,答,。,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,giu3,baan1-baan1,#,dou1-hai6,lai4,taam3-him2,gaa3,#,#,baan1-baan1,m4,geng1,laa3,#,zung6,hou2,daai6-seng1,gam2,daap3,#,,,,,,,,,,,,,,,,,,,,,,
#,I,am called,Bandi,#,also is,come,adventure,(particle),#,#,Bandi,not,afraid,(particle),#,even,very,loud,-ly,reply,#,,,,,,,,,,,,,,,,,,,,,,
[3h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉就,好,喇,！,我,啱啱,揾到,一,條,路,，,應該,係,通去,啲,好,有趣,嘅,地方,，,你,一唔一齊,嚟,呀,？,我,可以,保護,你,！,」,,,,,,,,,,,,
#,gam2-zau6,hou2,laa3,#,ngo5,ngaam1-ngaam1,wan2-dou2,jat1,tiu4,lou6,#,jing1-goi1,hai6,tung1-heoi3,di1,hou2,jau5-ceoi3,ge3,dei6-fong1,#,nei5,jat1-m4-jat1-cai4,lai4,aa3,#,ngo5,ho2-ji5,bou2-wu6,nei5,#,#,,,,,,,,,,,,
#,then,good,(particle),#,I,just now,found,one,(measure),road,#,should,be,lead to,some,very,interesting,(linker),place,#,you,together ot not,come,(particle),#,I,can,protect,you,#,#,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,班班,跟住,家明,，,大大方方,上,返,路面,行,。,佢哋,穿過,森林,，,經過,河流,，,翻,過,山谷,，,去,咗,好多,唔同,嘅,地方,。,班班,對,新,嘢,好,有,興趣,，,問,咗,家明,好多,問題,。
jyu1-si6,#,baan1-baan1,gan1-zyu6,gaa1-ming4,#,daai6-daai6-fong1-fong1,soeng5,faan1,lou6-min2,haang4,#,keoi5-dei6,cyun1-gwo3,sam1-lam4,#,ging1-gwo3,ho4-lau4,#,faan1,gwo3,saan1-guk1,#,heoi3,zo2,hou2-do1,m4-tung4,ge3,dei6-fong1,#,baan1-baan1,deoi3,san1,je5,hou2,jau5,hing3-ceoi3,#,man6,zo2,gaa1-ming4,hou2-do1,man6-tai4,#
so,#,Bandi,follow,Ka Ming,#,naturally and calmly,go up,back,road surface,walk,#,they,go through,woods,#,pass by,river,#,turn over,pass,valley,#,go,-en,many,different,(linker),place,#,Bandi,to,new,thing,very,have,interest,#,ask,-en,Ka Ming,many,question,#
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢,隻,咩,嚟,㗎,？,」,班班,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei1,zek3,me1,lai4,gaa3,#,#,baan1-baan1,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,this,(measure),what,(particle),(particle),#,#,Bandi,ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢,隻,係,羚羊,，,佢,頭,上,有,角,，,唔止,跳,得,遠,，,仲,跑,得,好,快,添,。,」,家明,好,細心,噉,答,。,,,,,,,,,,,,,
#,nei1,zek3,hai6,ling4-joeng4,#,keoi5,tau4,soeng6,jau5,gok3,#,m4-zi2,tiu3,dak1,jyun5,#,zung6,paau2,dak1,hou2,faai3,tim1,#,#,gaa1-ming4,hou2,sai3-sam1,gam2,daap3,#,,,,,,,,,,,,,
#,this,(measure),is,antelope,#,it,head,top,have,horn,#,not only,jump,(suffix),far,#,even,run,(suffix),very,fast,(particle),#,#,Ka Ming,very,careful,-ly,reply,#,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,羚羊,先生,你好,，,我,叫,班班,……,」,但,一,句,話,都,未,講,完,，,羚羊,就,跳,走,咗,。,,,,,,,,,,,,,,,,,,,
#,ling4-joeng4,sin1-saang1,nei5-hou2,#,ngo5,giu3,baan1-baan1,#,#,daan6,jat1,geoi3,waa6,dou1,mei6,gong2,jyun4,#,ling4-joeng4,zau6,tiu3,zau2,zo2,#,,,,,,,,,,,,,,,,,,,
#,antelope,Mr.,how are you,#,I,am called,Bandi,#,#,but,one,sentence,word,"all, also",not yet,say,finish,#,antelope,then,jump,away,-en,#,,,,,,,,,,,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嘩,，,真係,好,快,呀,！,」,班班,大叫,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,waa1,#,zan1-hai6,hou2,faai3,aa3,#,#,baan1-baan1,daai6-giu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wow!,#,really,very,fast,(particle),#,#,Bandi,shout,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,繼續,行,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,gai3-zuk6,haang4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,continue,to walk,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,家明,，,你,聞唔聞到,，,附近,啲,果實,好,香,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gaa1-ming4,#,nei5,man4-m4-man4-dou2,#,fu6-gan6,di1,gwo2-sat6,hou2,hoeng1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ka Ming,#,you,can or cannot smell,#,nearby,some,fruit,very,smell good,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班班,四圍,望,，,發現,樹,上面,有,好多,果實,，,就,好,興奮,噉,問,家明,係,咩,嚟,。,,,,,,,,,,,,,,,,,,,,,,,
baan1-baan1,sei3-wai4,mong6,#,faat3-jin6,syu6,soeng6-min6,jau5,hou2-do1,gwo2-sat6,#,zau6,hou2,hing1-fan5,gam2,man6,gaa1-ming4,hai6,me1,lai4,#,,,,,,,,,,,,,,,,,,,,,,,
Bandi,around,look,#,find out,tree,above,have,many,fruit,#,then,very,excited,-ly,ask,Ka Ming,is,what,(particle),#,,,,,,,,,,,,,,,,,,,,,,,
[6d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢啲,係,木橘,，,味道,香甜,，,食,咗,可以,幫助,消化,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei1-di1,hai6,muk6-gwat1,#,mei6-dou6,hoeng1-tim4,#,sik6,zo2,ho2-ji5,bong1-zo6,siu1-faa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,these,is,Indian bael,#,taste,sweet,#,eat,-en,can,help,digestion,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,眼甘甘,望住,啲,木橘,，,好,想,食,，,但,摘,唔到,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,ngaan5-gam1-gam1,mong6-zyu6,di1,muk6-gwat1,#,hou2,soeng2,sik6,#,daan6,zaak6,m4-dou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,an expectant look,staring,the,Indian bael,#,very,want to,eat,#,but,pick,cannot,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,有,隻,大,馬騮,爬,咗,上,樹,，,摘,咗,兩個,木橘,，,然後,去,到,佢哋,面前,。,,,,,,,,,,,,,,,,,,,,,
nei1-go3,si4-hau6,#,jau5,zek3,daai6,maa5-lau1,paa4,zo2,soeng5,syu6,#,zaak6,zo2,loeng5-go3,muk6-gwat1,#,jin4-hau6,heoi3,dou3,keoi5-dei6,min6-cin4,#,,,,,,,,,,,,,,,,,,,,,
this,time,#,have,(measure),big,monkey,climb,-en,up,tree,#,pick,-en,two,Indian bael,#,then,go,to,they,in front of,#,,,,,,,,,,,,,,,,,,,,,
[6g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,家明,，,請,你哋,食,啦,。,」,大,馬騮,遞上,木橘,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gaa1-ming4,#,ceng2,nei5-dei6,sik6,laa1,#,#,daai6,maa5-lau1,dai6-soeng5,muk6-gwat1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ka Ming,#,treat,you (plural),to eat,(particle),#,#,big,monkey,hand over,Indian bael,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,，,原來,係,葉猴,伯伯,！,」,家明,大嗌,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,o2,#,jyun4-loi4,hai6,jip6-hau4,baak3-baak3,#,#,gaa1-ming4,daai6-aai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,it turns out,is,leaf monkey,grandpa,#,#,Ka Ming,shout,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咦,，,今日,有,新,朋友,喎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ji2,#,gam1-jat6,jau5,san1,pang4-jau5,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Look!,#,today,have,new,friend,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你好,，,我,叫,班班,，,多謝,葉猴,伯伯,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-hou2,#,ngo5,giu3,baan1-baan1,#,do1-ze6,jip6-hau4,baak3-baak3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,how are you,#,I,am called,Bandi,#,thank you,leaf monkey,grandpa,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6k],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,乖,，,你哋,慢慢食,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gwaai1,#,nei5-dei6,maan6-maan2-sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,well-behaved,#,you (plural),eat slowly,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6l],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,一路,食,一路,傾,，,傾,下,傾,下,，,食,下,食,下,，,個,天,開始,變,黑,，,係,時候,返屋企,喇,。,,,,,,,,,,,,,,,,,
keoi5-dei6,jat1-lou6,sik6,jat1-lou6,king1,#,king1,haa5,king1,haa5,#,sik6,haa5,sik6,haa5,#,go3,tin1,hoi1-ci2,bin3,hak1,#,hai6,si4-hau6,faan1-uk1-kei2,laa3,#,,,,,,,,,,,,,,,,,
they,while,eat,while,chat,#,chat,a bit,chat,a bit,#,eat, a bit,eat,a bit,#,(measure),sky,begin,change,black/dark,#,is,time,to go home,(particle),#,,,,,,,,,,,,,,,,,
[6m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班班,返,到,屋企,，,將,今日,遇到,巨人,嘅,事,話,咗,畀,媽咪,聽,。,媽咪,聽,完,都,好,驚訝,呢個,世界,仲有,好,嘅,巨人,。,,,,,,,,,,,,,,
baan1-baan1,faan1,dou3,uk1-kei2,#,zoeng1,gam1-jat6,jyu6-dou2,geoi6-jan4,ge3,si6,waa6,zo2,bei2,maa1-mi4,teng1,#,maa1-mi4,teng1,jyun4,dou1,hou2,ging1-ngaa5,ni1-go3,sai3-gaai3,zung6-jau5,hou2,ge3,geoi6-jan4,#,,,,,,,,,,,,,,
Bandi,back,to,home,#,take,today,bump into,giant,(linker),matter,tell,-en,to,mommy,hear,#,mommy,hear,finish,also,very,surprised,this,world,still have,good,(linker),giant,#,,,,,,,,,,,,,,
[6n],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
