[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上,有,巫婆,，,下,有,怪獸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soeng6,jau5,mou4-po4,#,haa6,jau5,gwaai3-sau3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
above,have,witch,#,below,have,monster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,細佬,，,你,喺度,望,緊,啲,咩,呀,？,」,家姐,見到,細佬,望,住,個,天,，,走,過嚟,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sai3-lou2,#,nei5,hai2-dou6,mong6,gan2,di1,me1,aa3,#,#,gaa1-ze1,gin3-dou2,sai3-lou2,mong6,zyu6,go3,tin1,#,zau2,gwo3-lai4,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,younger brother,#,you,right here,stare,-ing,some,what,(particle),#,#,elder sister,saw,younger brother,stare,-ing,(measure),sky,#,walk,over,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,家姐,你,喺度,就,啱,喇,，,我,有,個,問題,想,問,你,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gaa1-ze1,nei5,hai2-dou6,zau6,ngaam1,laa3,#,ngo5,jau5,go3,man6-tai4,soeng2,man6,nei5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,elder sister,you,right here,then,right,(particle),#,I,have,(measure),question,want,to ask,you,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,如果,我,將,啲,嘢,拋,上,天,，,啲,嘢,唔係,應該,會,飛,上,天,嘅咩,？,點解,會,自己,跌,返,落嚟,嘅,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jyu4-gwo2,ngo5,zoeng1,di1,je5,paau1,soeng5,tin1,#,di1,je5,m4-hai6,jing1-goi1,wui5,fei1,soeng5,tin1,ge3-me1,#,dim2-gaai2,wui5,zi6-gei2,dit3,faan1,lok6-lai4,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
