[1],,,,,,,,,,,,,,,,,,,,
咩,都,鬥,一,餐,,,,,,,,,,,,,,,,
me1,dou1,dau3,jat1,caan1,,,,,,,,,,,,,,,,
what,all,compete,one,meal,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,
我,叫,小紅,，,佢,係,我,朋友,，,叫,阿細,，,係,一,隻,狗仔,。,,,,
ngo5,giu3,Siu2-Hung4,#,keoi5,hai6,ngo5,pang4-jau5,#,giu3,Aa3-Sai3,#,hai6,jat1,zek3,gau2-zai2,#,,,,
I,call,Joy,#,it,is,I,friend,#,call,Riri,#,is,one,(measure),puppy,#,,,,
[3],,,,,,,,,,,,,,,,,,,,
我,成日,同,佢,講,我,叻,過,佢,，,佢,唔肯,信,。,,,,,,,
ngo5,sing4-jat6,tung4,keoi5,gong2,ngo5,lek1,gwo3,keoi5,#,keoi5,m4-hang2,seon3,#,,,,,,,
I,always,with,it,say,I,brilliant,than,it,#,it,is not willing to,believe,#,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,
我,笑笑口,講,：,「,你,睇下,！,我,有,個,鼻,。,」,,,,,,,
ngo5,siu3-siu3-hau2,gong2,#,#,nei5,tai2-haa5,#,ngo5,jau5,go3,bei6,#,#,,,,,,,
I,smile,say,#,#,you,look,#,I,have,(measure),nose,#,#,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,
阿細,指,住,個,鼻,，,同,緊,我,講,：,「,我,都,有,啦,。,」,,,
Aa3-Sai3,zi2,zyu6,go3,bei6,#,tung4,gan2,ngo5,gong2,#,#,ngo5,dou1,jau5,laa1,#,#,,,
Riri,point,-ing,(measure),nose,#,with,-ing,me,say,#,#,I,also,have,(particle),#,#,,,
[5a],,,,,,,,,,,,,,,,,,,,
我,話,：,「,叻仔,喎,，,噉,你,有冇,耳仔,先,？,」,,,,,,,
ngo5,waa6,#,#,lek1-zai2,wo3,#,gam2,nei5,jau5-mou5,ji5-zai2,sin1,#,#,,,,,,,
I,say,#,#,smart boy,(particle),#,then,you,have or don't have,ear,(particle),#,#,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,
佢,又,掂下,自己,隻,耳仔,，,同,緊,我,講,：,,,,,,,,,
keoi5,jau6,dim3-haa5,zi6-gei2,zek3,ji5-zai2,#,tung4,gan2,ngo5,gong2,#,,,,,,,,,
it,again,touch ,itself,(measure),ear,#,with,-ing,me,say,#,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,
「,你,有,嘅,嘢,我,都,有,。,」,,,,,,,,,,,
#,nei5,jau5,ge3,je5,ngo5,dou1,jau5,#,#,,,,,,,,,,,
#,you,have,-,things,I,also,have,#,#,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,
我,話,：,「,你,睇下,我,對,眼,幾,大,。,」,,,,,,,,
ngo5,waa6,#,#,nei5,tai2-haa5,ngo5,deoi3,ngaan5,gei2,daai6,#,#,,,,,,,,
I,say,#,#,you,look,I,pair of,eyes,how,big,#,#,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,
佢,慢慢,企,起身,，,眨下,自己,對,眼,，,佢,大啲,。,,,,,,,,
keoi5,maan6-maan2,kei5,hei2-san1,#,zaam2-haa5,zi6-gei2,deoi3,ngaan5,#,keoi5,daai6-di1,#,,,,,,,,
it,slowly,stand,to get up,#,wink ,itself,pair of,eyes,#,it,bigger,#,,,,,,,,
[7a],,,,,,,,,,,,,,,,,,,,
我,話,：,「,犀利,喎,！,我,有,一,對,腳,，,你,跟住,我,一齊,跳,好唔好,？,」
ngo5,waa6,#,#,sai1-lei6,wo3,#,ngo5,jau5,jat1,deoi3,goek3,#,nei5,gan1-zyu6,ngo5,jat1-cai4,tiu3,hou2-m4-hou2,#,#
I,say,#,#,superb,(particle),#,I,have,one,pair of,feet,#,you,follow,me,together,to jump,good or not good,#,#
[7b],,,,,,,,,,,,,,,,,,,,
佢,好,開心,噉,跑,跑,跳,跳,，,,,,,,,,,,,,
keoi5,hou2,hoi1-sam1,gam2,paau2,paau2,tiu3,tiu3,#,,,,,,,,,,,,
it,very,happy,in this way ,run,run,jump,jump,#,,,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,,,,,
想,同,我,講,梗係,冇,問題,啦,。,,,,,,,,,,,,
soeng2,tung4,ngo5,gong2,gang2-hai6,mou5,man6-tai4,laa1,#,,,,,,,,,,,,
want to,with,me,say,of course,no,problem,(particle),#,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,
我,話,：,「,唉,，,你,睇下,我,條,脷,幾,短,。,」,,,,,,
ngo5,waa6,#,#,aai2,#,nei5,tai2-haa5,ngo5,tiu4,lei6,gei2,dyun2,#,#,,,,,,
I,say,#,#,Sigh!,#,you,look,I,(measure),tongue,how,short,#,#,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,
佢,坐,咗,喺度,，,望,住,自己,條,脷,想,講,：,,,,,,,,
keoi5,co5,zo2,hai2-dou6,#,mong6,zyu6,zi6-gei2,tiu4,lei6,soeng2,gong2,#,,,,,,,,
it,sit,-ed,right here,#,look,-ing,itself,(measure),tongue,want to,say,#,,,,,,,,
[8c],,,,,,,,,,,,,,,,,,,,
「,唔緊要,，,我,都,一樣,咁,短,」,,,,,,,,,,,,
#,m4-gan2-jiu3,#,ngo5,dou1,jat1-joeng6,gam3,dyun2,#,,,,,,,,,,,,
#,doesn't matter,#,I,also,the same,in this way,short,#,,,,,,,,,,,,
[9a],,,,,,,,,,,,,,,,,,,,
我,話,：,「,哈哈,，,多謝,你,。,我,係唔係,醒,過,你,啊,？,」,,,,
ngo5,waa6,#,#,haa1-haa1,#,do1-ze6,nei5,#,ngo5,hai6-m4-hai6,sing2,gwo3,nei5,aa3,#,#,,,,
I,say,#,#,haha,#,thank,you,#,I,am or am not,smart,than,you,(particle),#,#,,,,
[9b],,,,,,,,,,,,,,,,,,,,
佢,諗,咗,一陣,，,望一望,我,，,想,話,佢,醒啲,。,,,,,,,,
keoi5,nam2,zo2,jat1-zan6,#,mong6-jat1-mong6,ngo5,#,soeng2,waa6,keoi5,sing2-di1,#,,,,,,,,
it,think,-ed,a while,#,glance at,me,#,want to,say,it,smarter,#,,,,,,,,
[10a],,,,,,,,,,,,,,,,,,,,
我,話,：,「,最後,喇,，,我,有,一,對,手,。,」,,,,,,,
ngo5,waa6,#,#,zeoi3-hau6,laa3,#,ngo5,jau5,jat1,deoi3,sau2,#,#,,,,,,,
I,say,#,#,lastly,(particle),#,I,have,one,pair of,hands,#,#,,,,,,,
[10b],,,,,,,,,,,,,,,,,,,,
佢,轉,咗,去,後面,，,笑,返,我,，,佢,有,條,尾,，,我,冇,。,,,
keoi5,zyun3,zo2,heoi3,hau6-min6,#,siu3,faan1,ngo5,#,keoi5,jau5,tiu4,mei5,#,ngo5,mou5,#,,,
