[0],,,,,,,,,,,,,,,,,,,,
兔仔,要,走,喇,,,,,,,,,,,,,,,,,
tou3-zai2,jiu3,zau2,laa3,,,,,,,,,,,,,,,,,
rabbit,have to,go,(particle),,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,
兔仔,住,喺,呢個,樹林,好,開心,，,佢,成日,同,佢,班,好,同學,一齊,玩,。,,,
tou3-zai2,zyu6,hai2,ni1-go3,syu6-lam4,hou2,hoi1-sam1,#,keoi5,sing4-jat6,tung4,keoi5,baan1,hou2,tung4-hok6,jat1-cai4,waan2,#,,,
rabbit,live,at,this (measure),woods,very,happy,#,it,always,with,it,class of,good,schoolmate,together,to play,#,,,
[1b],,,,,,,,,,,,,,,,,,,,
上晝,一齊,温書,，,下晝,一齊,去,打波,。,,,,,,,,,,,,
soeng6-zau3,jat1-cai4,wan1-syu1,#,haa6-zau3,jat1-cai4,heoi3,daa2-bo1,#,,,,,,,,,,,,
morning,together,to study,#,afternoon,together,to go,play basketball,#,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,
佢哋,一齊,去,好多,唔同,嘅,地方,玩,。,,,,,,,,,,,,
keoi5-dei6,jat1-cai4,heoi3,hou2-do1,m4-tung4,ge3,dei6-fong1,waan2,#,,,,,,,,,,,,
they,together,to go,many,different,(linker),place,to play,#,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,
有一日,，,兔仔,喺度,沖涼,，,媽媽,喺,廁所,出面,大叫,︰,,,,,,,,,
jau5-jat1-jat6,#,tou3-zai2,hai2-dou6,cung1-loeng4,#,maa4-maa1,hai2,ci3-so2,ceot1-min6,daai6-giu3,#,,,,,,,,,
one day,#,rabbit,right here,take a shower,#,mother,at,toilet,outside,shout,#,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,
「,出嚟,去,爸爸,媽媽,間,房,，,我哋,有,嘢,要,同,你,講,。,」,,,,
#,ceot1-lai4,heoi3,baa4-baa1,maa4-maa1,gaan1,fong2,#,ngo5-dei6,jau5,je5,jiu3,tung4,nei5,gong2,#,#,,,,
#,come out,to go,father,mother,(measure),room,#,we,have,thing,want to,to,you,say,#,#,,,,
[2a],,,,,,,,,,,,,,,,,,,,
「,我哋,要,離開,呢個,樹林,，,呢度,啲,樹,越嚟越少,，,好,難,揾,嘢,食,。,」,,
#,ngo5-dei6,jiu3,lei4-hoi1,ni1-go3,syu6-lam4,#,ni1-dou6,di1,syu6,jyut6-lai4-jyut6-siu2,#,hou2,naan4,wan2,je5,sik6,#,#,,
#,we,have to,leave,this (measure),woods,#,here,some,tree,fewer and fewer,#,very,difficult,to find,thing,to eat,#,#,,
[2b],,,,,,,,,,,,,,,,,,,,
爸爸,話,畀,兔仔,知,。,「,你,明唔明白,？,」,,,,,,,,,,
baa4-baa1,waa6,bei2,tou3-zai2,zi1,#,#,nei5,ming4-m4-ming4-baak6,#,#,,,,,,,,,,
father,say,to,rabbit,to know,#,#,you,understand or not,#,#,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,
兔仔,點點頭,，,但係,有啲,唔,開心,。,,,,,,,,,,,,,
tou3-zai2,dim2-dim2-tau4,#,daan6-hai6,jau5-di1,m4,hoi1-sam1,#,,,,,,,,,,,,,
rabbit,nod,#,but,a bit,not,happy,#,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,
佢,打電話,畀,佢,班,同學仔,，,兔仔,話,︰,「,我,聽日,朝早,十,點鐘,要,走,喇,。,」
keoi5,daa2-din6-waa2,bei2,keoi5,baan1,tung4-hok6-zai2,#,tou3-zai2,waa6,#,#,ngo5,ting1-jat6,ziu1-zou2,sap6,dim2-zung1,jiu3,zau2,laa3,#,#
it,call on phone,to,it,class of,little schoolmate,#,rabbit,say,#,#,I,tomorrow,morning,ten,o'clock,have to,leave,(particle),#,#
[3a],,,,,,,,,,,,,,,,,,,,
而家,兔仔,間,屋,好,亂,。,佢,放,咗,……,,,,,,,,,,
ji4-gaa1,tou3-zai2,gaan1,uk1,hou2,lyun6,#,keoi5,fong3,zo2,#,,,,,,,,,,
now,rabbit,(measure),house,very,messy,#,it,put,-en,#,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,
一,盞,燈,、,兩,張,櫈,、,,,,,,,,,,,,,
jat1,zaan2,dang1,#,loeng5,zoeng1,dang3,#,,,,,,,,,,,,,
one,(measure),lamp,#,two,(measure),chair,#,,,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,
三,個,碗,、,四,隻,碟,、,五,隻,杯,、,,,,,,,,,
saam1,go3,wun2,#,sei3,zek3,dip2,#,ng5,zek3,bui1,#,,,,,,,,,
three,(measure),bowl,#,four,(measure),plate,#,five,(measure),cup,#,,,,,,,,,
[3d],,,,,,,,,,,,,,,,,,,,
六,對,鞋,、,七,對,襪,、,八,條,褲,、,九,件,衫,、,,,,,
luk6,deoi3,haai4,#,cat1,deoi3,mat6,#,baat3,tiu4,fu3,#,gau2,gin6,saam1,#,,,,,
six,pair of,shoe,#,seven,pair of,socks,#,eight,(measure),pants,#,nine,(measure),clothes,#,,,,,
[3e],,,,,,,,,,,,,,,,,,,,
同埋,十,個,毛公仔,，,,,,,,,,,,,,,,,,
tung4-maai4,sap6,go3,mou4-gung1-zai2,#,,,,,,,,,,,,,,,,
and,ten,(measure),stuffed animals,#,,,,,,,,,,,,,,,,
[3f],,,,,,,,,,,,,,,,,,,,
喺,一個,好,大,好,大,嘅,袋,入面,。,,,,,,,,,,,
hai2,jat1-go3,hou2,daai6,hou2,daai6,ge3,doi2,jap6-min6,#,,,,,,,,,,,
at,one (measure),very,big,very,big,(linker),bag,inside,#,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,
佢,班,好,同學,一,大,朝早,企,喺,兔仔,屋企,門口,，,,,,,,,,
keoi5,baan1,hou2,tung4-hok6,jat1,daai6,ziu1-zou2,kei5,hai2,tou3-zai2,uk1-kei2,mun4-hau2,#,,,,,,,,
it,class of,good,schoolmate,one,big,morning,stand,at,rabbit,home,doorway,#,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,
有,個,男仔,話,︰,「,你,不如,唔好,走,啦,！,」,,,,,,,,
jau5,go3,naam4-zai2,waa6,#,#,nei5,bat1-jyu4,m4-hou2,zau2,laa1,#,#,,,,,,,,
have,(measure),boy,say,#,#,you,how about,do not,leave,(particle),#,#,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,
有,個,女仔,話,︰,「,你,不如,唔好,走,啦,！,」,,,,,,,,
jau5,go3,neoi5-zai2,waa6,#,#,nei5,bat1-jyu4,m4-hou2,zau2,laa1,#,#,,,,,,,,
have,(measure),girl,say,#,#,you,how about,do not,leave,(particle),#,#,,,,,,,,
[4d],,,,,,,,,,,,,,,,,,,,
兔仔,同埋,佢,班,同學仔,，,大家,一齊,喊,。,,,,,,,,,,,
tou3-zai2,tung4-maai4,keoi5,baan1,tung4-hok6-zai2,#,daai6-gaa1,jat1-cai4,haam3,#,,,,,,,,,,,
rabbit,and,it,class of,little schoolmate,#,everyone,together,cry,#,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,
「,我,都,同,你哋,一樣,，,好,唔想,走,。,」,兔仔,喊,住,講,。,,,,
#,ngo5,dou1,tung4,nei5-dei6,jat1-joeng6,#,hou2,m4-soeng2,zau2,#,#,tou3-zai2,haam3,zyu6,gong2,#,,,,
#,I,also,with,you (plural),the same,#,very,don't want,to leave,#,#,rabbit,cry,-ing,to say,#,,,,
[5b],,,,,,,,,,,,,,,,,,,,
「,對唔住,……,我,要,同,我,爸爸,媽媽,一齊,。,」,,,,,,,,,
#,deoi3-m4-zyu6,#,ngo5,jiu3,tung4,ngo5,baa4-baa1,maa4-maa1,jat1-cai4,#,#,,,,,,,,,
#,Sorry!,#,I,have to,with,I,father,mother,together,#,#,,,,,,,,,
[5c],,,,,,,,,,,,,,,,,,,,
「,多謝,晒,……,拜拜,……,我哋,一定,會,再,見,㗎,！,」,,,,,,,
#,do1-ze6,saai3,#,baai1-baai3,#,ngo5-dei6,jat1-ding6,wui5,zoi3,gin3,gaa3,#,#,,,,,,,
#,thank you,all,#,bye bye,#,we,surely,will,again,see,(particle),#,#,,,,,,,
