[1],,,,,,,,,,,,,,,,,,
今日,(雞先生),同,(An鴨),想,出,市區,玩,。,,,,,,,,,,
gam1-jat6,Gai1-sin1-saang1,tung4,En1-aap2,soeng2,ceot1,si5-keoi1,waan2,#,,,,,,,,,,
today,Mr. Chicken,and,An Duck,want to,go out,downtown,to play,#,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,
(雞先生),問,：,「,點樣,搭,車,出去,呀,？,」,(An鴨),答,：,「,唔知,呀,！,」
Gai1-sin1-saang1,man6,#,#,dim2-joeng2,daap3,ce1,ceot1-heoi3,aa3,#,#,En1-aap2,daap3,#,#,m4-zi1,aa3,#,#
Mr. Chicken,ask,#,#,how to,take,car,to go out,(particle),#,#,An Duck,reply,#,#,don't know,(particle),#,#
[3],,,,,,,,,,,,,,,,,,
(雞先生),話,：,「,我哋,可唔可以,行路,去,呢,？,」,,,,,,,,
Gai1-sin1-saang1,waa6,#,#,ngo5-dei6,ho2-m4-ho2-ji5,haang4-lou6,heoi3,ne1,#,#,,,,,,,,
Mr. Chicken,say,#,#,we,can or cannot,walk,to go,(particle),#,#,,,,,,,,
[4],,,,,,,,,,,,,,,,,,
雖然,唔使,錢,，,但係,太,遠,喇,，,佢哋,行,唔到,！,,,,,,
seoi1-jin4,m4-sai2,cin2,#,daan6-hai6,taai3,jyun5,laa3,#,keoi5-dei6,haang4,m4-dou2,#,,,,,,
although,don't need,money,#,but,too,far,(particle),#,they,walk,cannot,#,,,,,,
[5],,,,,,,,,,,,,,,,,,
(An鴨),話,：,「,噉,不如,我哋,搭,地鐵,吖,！,」,,,,,,,
En1-aap2,waa6,#,#,gam2,bat1-jyu4,ngo5-dei6,daap3,dei6-tit3,aa1,#,#,,,,,,,
An Duck,say,#,#,then,how about,we,take,MTR,(particle),#,#,,,,,,,
[6],,,,,,,,,,,,,,,,,,
雖然,地鐵,可以,去,到,好多,地方,，,但係,地鐵站,閂,咗,，,佢哋,冇得,搭,呀,！,
seoi1-jin4,dei6-tit3,ho2-ji5,heoi3,dou2,hou2-do1,dei6-fong1,#,daan6-hai6,dei6-tit3-zaam6,saan1,zo2,#,keoi5-dei6,mou5-dak1,daap3,aa3,#,
although,MTR,can,go,can,many,places,#,but,MTR station,close,-ed,#,they,don't get to,take,(particle),#,
[7],,,,,,,,,,,,,,,,,,
(雞先生),話,：,「,噉,我哋,可唔可以,搭,小巴,呢,？,」,,,,,,,
Gai1-sin1-saang1,waa6,#,#,gam2,ngo5-dei6,ho2-m4-ho2-ji5,daap3,siu2-baa1,ne1,#,#,,,,,,,
Mr. Chicken,say,#,#,then,we,can or cannot,take,minibus,(particle),#,#,,,,,,,
[8],,,,,,,,,,,,,,,,,,
雖然,小巴,好,快,，,但係,好少,位,，,要,排,好耐,隊,！,,,,,
seoi1-jin4,siu2-baa1,hou2,faai3,#,daan6-hai6,hou2-siu2,wai2,#,jiu3,paai4,hou2-noi6,deoi2,#,,,,,
although,minibus,very,fast,#,but,few,seats,#,need to,queue,a long time,queue,#,,,,,
[9],,,,,,,,,,,,,,,,,,
(An鴨),話,：,「,噉,我哋,可唔可以,踩,單車,去,呢,？,」,,,,,,
En1-aap2,waa6,#,#,gam2,ngo5-dei6,ho2-m4-ho2-ji5,caai2,daan1-ce1,heoi3,ne1,#,#,,,,,,
An Duck,say,#,#,then,we,can or cannot,ride,bicycle,to go,(particle),#,#,,,,,,
[10],,,,,,,,,,,,,,,,,,
但係,佢哋,對,腳,太,短,喇,，,踩,唔到,單車,。,,,,,,,
daan6-hai6,keoi5-dei6,deoi3,goek3,taai3,dyun2,laa3,#,caai2,m4-dou2,daan1-ce1,#,,,,,,,
but,they,pair of,legs,too,short,(particle),#,ride,cannot,bicycle,#,,,,,,,
[11],,,,,,,,,,,,,,,,,,
最後,佢哋,發現,，,原來,附近,有,巴士站,呀,！,可以,搭,巴士,去,呀,！,,,
zeoi3-hau6,keoi5-dei6,faat3-jin6,#,jyun4-loi4,fu6-gan6,jau5,baa1-si2-zaam6,aa3,#,ho2-ji5,daap3,baa1-si2,heoi3,aa3,#,,,
at the end,they,found out,#,it turns out,nearby,have,bus stop,(particle),#,can,take,bus,to go,(particle),#,,,
[12],,,,,,,,,,,,,,,,,,
嘟,咗,八達通,，,坐,好,巴士,，,佢哋,出街,玩,喇,！,,,,,,
dyut1,zo2,baat3-daat6-tung1,#,co5,hou2,baa1-si2,#,keoi5-dei6,ceot1-gaai1,waan2,laa3,#,,,,,,
beep,-ed,Octopus Card,#,sit,well,bus,#,they,go out,to play,(particle),#,,,,,,
